"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",81.8575164,0.0480303127762753,1.82590673354116,77.447915,80.87875,82.24625,83.1809,84.3753375,1445.19466876598,1.00120747498698
"CL",4.82159042,0.00163899675641972,0.0909762773451601,4.64314125,4.75974,4.82043,4.8812625,5.0009425,3081.05985799351,1.00016015527012
"Q",7.571893565,0.012446589062678,0.589453684503104,6.47755425,7.1859025,7.56319,7.9451925,8.80619375,2242.84195347677,1.00028283461528
"V1",21.101879575,0.0652815439944719,2.53217812847139,15.9127,19.452875,21.15595,22.8239,25.940525,1504.55362554626,1.00134450581669
"V2",76.414362175,0.107799598977123,5.51708525040549,66.1142,72.5352,76.26755,80.09575,87.5725325,2619.29913206085,1.00012727883448
"ka",1.23133235125,0.00449851379509366,0.174964823289913,0.8995712,1.11405,1.22847,1.345585,1.58539175,1512.73679897302,1.00178517550124
"sigma",0.108829072075,0.000220890517199661,0.0116857988790668,0.0893615125,0.100535,0.10771,0.115971,0.134317975,2798.74074797142,1.00019394385774
