"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",16.91562388375,0.0472239274830291,2.15699351436275,11.55906,15.763175,17.34725,18.4902,19.8843075,2086.28421381738,1.00345312738851
"CL",5.39675551,0.00678582198974326,0.42785029694379,4.47970875,5.144685,5.41346,5.6718225,6.2052185,3975.38092918293,1.00088883956009
"Q",8.55509826625,0.0200981653770377,1.2836715788425,6.33410375,7.71018,8.461745,9.2490425,11.48963,4079.38806214119,0.999865896107118
"V1",22.206802075,0.054481767045667,3.3706832212076,16.1578975,19.8947,22.02575,24.25435,29.408655,3827.66136484161,1.00212469655778
"V2",55.626285975,0.175747749690883,11.0140943082713,38.0852175,48.1036,54.2518,61.6944,81.527295,3927.51665835585,1.00079151329991
"ka",1.584609506,0.00605116065469101,0.357848672296457,1.05536225,1.3426625,1.53047,1.7636225,2.45325475,3497.20792401376,1.00120325265873
"sigma",0.1414346469,0.000678355522084093,0.0365950745281755,0.0903264925,0.1157895,0.1348025,0.159566,0.23366255,2910.25163948143,1.00150083044415
