lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,z_init.1.1,z_init.2.1,z_init.1.2,z_init.2.2,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.3.1,z.2.3.1,z.1.4.1,z.2.4.1,z.1.5.1,z.2.5.1,z.1.6.1,z.2.6.1,z.1.7.1,z.2.7.1,z.1.8.1,z.2.8.1,z.1.9.1,z.2.9.1,z.1.10.1,z.2.10.1,z.1.11.1,z.2.11.1,z.1.12.1,z.2.12.1,z.1.13.1,z.2.13.1,z.1.14.1,z.2.14.1,z.1.15.1,z.2.15.1,z.1.16.1,z.2.16.1,z.1.17.1,z.2.17.1,z.1.18.1,z.2.18.1,z.1.19.1,z.2.19.1,z.1.20.1,z.2.20.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.3.2,z.2.3.2,z.1.4.2,z.2.4.2,z.1.5.2,z.2.5.2,z.1.6.2,z.2.6.2,z.1.7.2,z.2.7.2,z.1.8.2,z.2.8.2,z.1.9.2,z.2.9.2,z.1.10.2,z.2.10.2,z.1.11.2,z.2.11.2,z.1.12.2,z.2.12.2,z.1.13.2,z.2.13.2,z.1.14.2,z.2.14.2,z.1.15.2,z.2.15.2,z.1.16.2,z.2.16.2,z.1.17.2,z.2.17.2,z.1.18.2,z.2.18.2,z.1.19.2,z.2.19.2,z.1.20.2,z.2.20.2
# Adaptation terminated
# Step size = 0.0149478
# Diagonal elements of inverse mass matrix:
# 0.0668223, 0.0820512, 0.0626457, 0.0812732, 0.593702, 0.707798, 0.58271, 0.762692, 0.0390059, 0.0436707, 0.254321, 0.0470141, 0.0303, 0.0324137, 0.285899, 0.221645
-17.2558,0.980884,0.0149478,8,255,0,23.7821,0.35517,0.982408,0.00941067,0.034737,1.21671,0.472314,0.0720985,0.027355,26.299,7.74304,33.0016,27.7898,1.1555,0.366954,0.28772,0.991113,24.119,8.82136,16.9209,11.9518,11.7258,17.7018,10.0222,25.9322,10.4139,32.3258,12.1638,28.1015,15.0449,17.1356,18.9308,10.3352,23.3227,7.94377,26.3261,8.03443,23.9781,10.0641,16.7481,14.3992,11.6483,21.5239,10.0114,29.8349,10.442,31.8784,12.2212,22.6664,15.1287,13.111,19.0359,8.76776,23.4253,7.74052,26.3497,8.77511,62.7962,21.6415,82.3452,17.8354,66.8743,16.5747,42.6775,18.706,26.1571,26.2511,17.3597,38.5145,13.6234,44.5261,13.6611,39.9147,18.5657,31.7266,33.5555,24.5046,63.5954,19.4822,82.3391,16.8741,66.2651,17.0918,42.1643,21.577,25.8614,32.1222,17.2169,42.964,13.5805,43.2011,13.7119,35.969,18.7797,27.9568,34.1201,21.7571
-15.2176,0.963436,0.0149478,6,127,0,26.5493,0.343388,1.17925,0.00931589,0.0372245,1.21126,0.369477,0.0692593,0.0218998,26.5668,6.65294,34.0609,27.9122,1.21616,0.375425,0.291815,1.09263,24.1967,8.4904,17.4871,12.6433,12.5397,20.0979,10.8098,30.1583,11.1345,35.0117,12.8112,25.7459,15.5874,13.954,19.3048,8.26875,23.4767,6.48926,26.4466,6.77007,24.8122,8.82875,18.299,13.3093,12.9446,21.1709,10.888,31.2189,11.0159,34.6535,12.5488,24.2012,15.2,13.0092,18.8182,7.92151,22.9888,6.43328,26.2577,6.9093,61.0281,22.6905,77.4877,19.6632,63.9523,19.3198,42.1102,23.1256,26.5706,33.3445,18.0108,45.7976,14.256,48.4182,14.1474,42.258,18.5424,34.1627,31.5968,27.2139,57.5639,22.2305,77.2291,19.473,66.5313,19.5018,44.5035,23.9365,28.0276,34.8733,18.7464,46.7322,14.5069,48.0098,13.9636,41.343,17.6768,33.2872,29.3488,26.5416
-20.8138,0.920177,0.0149478,8,255,0,25.4855,0.223477,2.47831,0.00791461,0.0981163,1.43656,0.148899,0.113705,0.00803608,13.9617,7.541,39.8515,23.4603,0.774294,0.300511,0.408265,0.909957,12.5331,9.87797,11.2859,14.9564,10.6269,23.8852,10.5867,34.7729,11.0479,38.1576,11.8741,28.6273,12.9206,17.0835,13.9934,10.4415,14.7983,7.63514,14.9509,7.02734,14.2023,8.08867,12.8199,11.2073,11.4905,17.4911,10.705,27.6115,10.5508,37.35,10.9243,36.0773,11.6897,24.3844,12.7059,14.3022,13.793,9.17957,14.6793,7.23486,42.7949,21.649,39.2354,20.5646,32.222,20.6572,25.4509,22.5509,20.6163,26.2824,17.9914,29.7974,17.4909,30.7741,19.2246,29.5203,23.5896,27.3011,30.6772,24.9226,38.5825,22.7933,42.7547,21.1877,40.3433,20.4355,33.6704,21.0611,26.6525,23.6448,21.3893,27.6383,18.3372,30.4423,17.4212,30.5362,18.6916,28.8342,22.5062,26.4978
-23.7366,0.987525,0.0149478,7,255,0,35.7341,0.205494,1.34032,0.00573217,0.0488406,1.49242,0.301295,0.0901349,0.0175226,18.7339,7.7676,78.1652,23.7586,0.801646,0.323396,0.510137,0.734138,14.4952,10.1259,12.0429,14.9197,11.3494,22.7274,11.7943,31.4268,12.9885,32.9529,14.7384,23.6526,16.9242,13.9345,19.3866,8.9809,21.7543,7.28775,23.1305,7.54113,21.9915,9.53866,18.0207,13.8245,13.9751,21.1026,11.8359,30.0692,11.357,33.61,11.9379,25.7335,13.2283,15.3524,15.0537,9.58295,17.296,7.4299,19.7769,7.37078,77.9145,20.5007,57.0401,18.8104,36.4115,19.2745,23.0754,22.9888,15.7765,30.4235,12.3293,37.3256,11.5154,38.1417,13.284,34.2783,19.1315,29.1453,32.9315,24.495,57.9625,20.9896,80.1921,18.9815,75.4058,18.986,53.45,22.0124,33.8402,28.8945,21.6014,36.4409,15.0291,38.456,12.0443,35.1579,11.6051,30.0772,13.8612,25.2703
-19.899,0.979728,0.0149478,7,127,0,27.3607,0.180922,1.69571,0.00584325,0.0589492,1.61753,0.255282,0.098822,0.0133496,18.2309,7.48527,56.7384,26.1201,0.910815,0.326512,0.469552,1.14193,15.441,9.75101,13.4443,14.9784,12.6424,24.4976,12.7913,36.4285,13.6042,39.1691,14.8853,26.7155,16.4888,14.5996,18.2457,8.97098,19.8615,7.20458,20.786,7.63765,20.247,10.189,18.0051,15.8644,15.2358,25.9064,13.3358,37.5505,12.6234,38.2968,12.8359,24.9667,13.6931,13.6304,15.0057,8.61027,16.629,7.15443,18.388,7.81857,59.3237,22.6435,48.564,20.6055,34.645,20.6695,23.9943,24.0851,17.4612,31.4898,14.1104,38.2391,13.1649,38.7419,14.5262,34.9197,18.9972,30.0469,28.3316,25.6464,43.3272,22.3177,57.5431,20.4849,58.8339,20.8693,47.4138,24.7764,33.619,32.4836,23.3177,38.6477,17.0832,38.4356,13.9498,34.353,13.1851,29.4841,14.7559,25.1879
-18.7778,0.92916,0.0149478,8,255,0,26.6346,0.272464,1.59261,0.00847626,0.0558002,1.36091,0.235783,0.107723,0.0141605,14.682,7.39995,43.7829,24.1644,1.06429,0.350025,0.478683,0.654206,12.8913,10.2132,11.1887,15.6958,10.2749,24.3904,10.1995,33.0926,10.7871,32.5675,11.8568,21.9711,13.216,12.6526,14.5733,8.09592,15.4379,6.49234,15.2006,6.61643,13.7259,8.28705,11.8545,12.0614,10.5622,18.8812,10.1395,28.361,10.4622,34.49,11.3438,28.8376,12.6046,17.5836,14.0096,10.3141,15.1629,7.18515,15.4694,6.36391,49.7904,21.569,46.4626,20.3925,37.5542,21.3255,28.8136,25.4264,22.7646,32.4803,19.6957,37.9432,19.461,38.0751,22.3342,34.6748,29.0467,30.2963,39.2621,26.2144,48.2361,22.9664,48.9732,20.8904,41.6854,20.4619,32.3542,22.5549,25.0194,28.0901,20.6772,35.2419,19.2115,38.6198,20.6605,36.9455,25.6175,32.9156,34.561,28.5614
-21.8479,0.998719,0.0149478,7,127,0,25.9912,0.266493,1.69591,0.00837752,0.0679426,1.2605,0.247903,0.128137,0.0115691,10.4101,6.47396,47.9105,21.5474,1.06187,0.29478,0.384102,1.13008,9.07112,9.15469,8.18995,15.4259,7.91324,27.9509,8.15468,46.0342,8.79235,51.7459,9.70667,32.0596,10.7437,14.8667,11.6525,8.04918,12.0502,6.00968,11.5793,6.18638,10.3473,8.31878,9.01943,13.5814,8.16495,24.4879,7.9139,42.0492,8.17557,53.0079,8.8282,37.2933,9.75176,17.6224,10.7894,8.99828,11.6844,6.23112,12.0493,5.99158,47.1988,18.3618,40.1784,16.4434,31.7648,16.3742,25.0892,19.5854,20.9911,27.6207,19.4247,35.4677,20.4104,35.8794,24.3764,31.7482,31.8004,26.8014,41.3862,22.4068,48.0591,18.9758,46.9854,16.7419,39.7987,16.1737,31.4172,18.47,24.8504,25.4846,20.8682,34.273,19.4127,36.3688,20.5192,32.8286,24.6331,27.8856,32.2054,23.315
-17.427,0.884067,0.0149478,8,255,0,28.4649,0.276132,1.79984,0.00964764,0.0507875,1.13321,0.235592,0.0769884,0.0104873,18.1403,7.39547,41.2619,31.6708,0.832669,0.350347,0.402021,0.934641,15.3976,10.0532,12.7646,16.3403,11.2478,28.6472,10.8631,45.8536,11.3495,51.3416,12.4978,33.4857,14.1529,16.6058,16.1274,9.35129,18.07,7.07529,19.3085,7.26913,18.9298,9.67207,16.6737,15.5125,13.798,27.1567,11.7535,44.2945,10.9075,51.9867,11.0471,35.5729,11.9292,17.7515,13.3833,9.76648,15.2493,7.16839,17.2663,7.16217,48.5493,27.3563,45.9706,24.7197,37.0106,24.5757,27.7351,28.6886,20.8995,38.5543,16.7898,48.0941,15.0398,48.9548,15.5163,44.0383,18.6714,37.8195,25.5354,32.1582,36.2936,27.7065,46.4579,24.8834,48.2577,24.4413,41.2322,28.0412,31.5351,37.434,23.5133,47.5122,18.259,49.2171,15.5278,44.6158,15.0234,38.4097,16.9175,32.6569
-15.4838,0.998535,0.0149478,6,63,0,22.3347,0.342766,1.69122,0.00956446,0.0554818,1.17831,0.232274,0.0767726,0.0136192,21.4463,7.07456,45.9532,26.464,0.93911,0.278223,0.438535,0.753547,17.6612,9.6665,13.1786,15.0212,10.7394,24.0309,10.2411,33.9143,11.0608,34.3614,12.8619,23.0621,15.4571,12.9192,18.5405,8.07883,21.2553,6.42937,21.7152,6.60364,18.3989,8.43812,13.7599,12.6179,10.9701,20.2593,10.2196,30.6477,10.8655,35.9577,12.5289,27.8366,15.0152,16.0386,18.0589,9.39352,20.9255,6.7905,21.8841,6.35631,64.6427,23.4538,64.4456,21.912,48.9623,22.5716,33.3808,26.6448,23.1115,34.193,17.7199,40.3267,16.103,40.5855,18.2537,36.9364,26.0699,32.239,42.6909,27.879,62.6276,24.4324,65.8935,22.2807,51.6304,21.998,35.4596,24.6475,24.3393,31.1548,18.2836,38.6402,16.1245,41.1357,17.6289,38.5418,24.361,34.0029,39.5581,29.4233
-18.3957,0.842859,0.0149478,7,255,0,24.5028,0.297159,1.96637,0.00970783,0.071124,1.06508,0.212506,0.0776658,0.0136145,16.2325,7.00905,44.4963,25.0996,0.943549,0.354079,0.435996,0.936611,13.7641,9.23064,11.637,13.938,10.5096,21.6786,10.3404,29.5007,10.924,28.9483,12.0922,19.6731,13.6945,11.6512,15.5092,7.76733,17.1151,6.53858,17.8043,7.03059,16.8843,9.28636,14.5968,14.0433,12.2365,21.8268,10.7645,29.585,10.3032,28.8393,10.6609,19.5064,11.6534,11.5549,13.132,7.72902,14.9109,6.53373,16.6494,7.0526,49.2604,22.6146,45.2825,21.337,36.6376,21.9187,28.2229,25.2127,22.1213,30.7606,18.5771,34.7666,17.3915,34.6208,18.6274,31.8234,22.8687,28.299,30.8565,25.0504,41.3736,22.5818,48.6803,21.3291,47.3902,21.9495,39.6334,25.293,30.7753,30.854,23.8335,34.7982,19.4711,34.5891,17.5262,31.7663,17.9303,28.2405,21.0917,25.0015
-16.5491,0.999375,0.0149478,8,255,0,25.501,0.372417,1.43114,0.0117521,0.0484878,1.23467,0.276278,0.116957,0.0155638,15.6144,7.14138,18.7466,24.8856,1.28816,0.305393,0.250285,0.847871,16.5745,9.76664,13.2068,15.1763,8.63047,24.4052,6.48852,35.1997,6.1994,36.9008,6.98339,24.909,8.57317,13.5578,10.8916,8.25401,13.7504,6.49375,16.2721,6.65878,15.9773,8.51391,11.5773,12.7259,7.67048,20.4727,6.24504,31.4342,6.35374,38.1527,7.4102,30.2169,9.24051,17.0784,11.769,9.69363,14.676,6.88209,16.6446,6.40804,37.0449,21.4718,64.0474,19.6902,65.7047,20.2235,45.1912,24.4644,27.2523,33.1933,16.9933,41.1335,12.1884,41.7509,10.9942,37.2928,13.4727,31.6315,22.9584,26.5262,45.9805,22.5895,68.61,20.14,59.9823,19.6789,38.6012,22.3176,23.2046,29.5179,14.9782,38.8278,11.4546,42.3723,11.3158,39.2762,15.4546,33.7595,28.6755,28.3356
-15.9613,0.998573,0.0149478,8,255,0,22.5943,0.237479,1.91036,0.00678438,0.0850833,1.48331,0.203551,0.134597,0.0104496,13.4177,7.44426,47.6303,19.4774,0.98678,0.268377,0.371365,0.770645,11.7704,10.529,9.94463,17.0593,8.84097,28.4721,8.57583,41.2184,8.95557,41.0929,9.79847,26.1933,10.9608,13.9774,12.2707,8.46435,13.4255,6.61384,13.8964,6.75635,13.1255,8.71129,11.3278,13.3571,9.6171,22.343,8.71327,35.5899,8.61275,43.6687,9.11126,34.062,10.0387,18.9193,11.2523,10.4919,12.5608,7.20016,13.6153,6.47692,59.4073,17.4151,57.8431,16.3485,46.0016,16.848,33.4167,19.8556,24.5201,25.3391,19.569,29.5226,17.9025,29.5132,19.3895,26.9524,24.9022,23.7394,35.9353,20.738,51.0205,18.3097,60.3722,16.713,55.693,16.3577,42.9575,18.0297,31.033,22.5255,23.0783,27.9784,18.9222,29.9914,17.9493,28.3606,20.2322,25.3012,26.8761,22.1338
-16.7296,0.956829,0.0149478,8,255,0,25.629,0.320982,1.33445,0.00947523,0.0415659,1.37388,0.370908,0.0617035,0.0183674,30.8667,8.31714,24.7584,33.0223,0.906679,0.435747,0.330982,0.879058,31.0505,9.19416,25.4271,12.6957,18.747,19.8861,15.4312,31.1179,15.0714,39.9519,16.6249,33.188,19.5704,18.8717,23.593,10.9943,28.0995,8.44794,31.4006,8.79905,30.1554,11.6609,23.6143,17.9355,17.5957,28.4579,15.1191,38.9827,15.3021,36.0673,17.2294,21.618,20.4687,12.136,24.689,8.70915,29.1227,8.51926,31.6557,10.788,43.5664,26.668,64.5175,22.3975,63.0438,20.7104,44.9681,22.7298,28.8223,30.5711,19.2411,42.4245,14.7835,47.0045,14.1079,42.211,17.6011,34.6287,28.3143,27.8963,49.4347,23.1319,66.7512,20.819,59.2471,21.8703,40.4554,28.2854,25.8972,40.027,17.7493,47.0007,14.2894,43.7041,14.5126,36.2848,19.3727,29.2208,32.5768,23.982
-14.2676,0.964366,0.0149478,7,127,0,22.5951,0.3094,1.60841,0.0089244,0.0409696,1.37428,0.255334,0.0645547,0.0123458,28.9582,7.28489,29.7329,33.7186,0.934199,0.253238,0.260603,1.06412,27.9703,10.129,22.808,16.4105,17.6607,28.0131,15.2506,42.9077,15.1879,45.9137,16.7261,29.4614,19.4391,14.8926,22.9914,8.6395,26.7343,6.68798,29.0851,6.93433,27.5142,9.168,22.0812,14.4132,17.2123,24.5753,15.1352,39.4613,15.301,47.3596,17.0006,34.2381,19.8358,17.6226,23.4581,9.65444,27.1419,6.92814,29.1508,6.70166,48.4918,29.0075,64.0754,26.3508,59.1481,26.6915,42.6511,32.0817,28.5304,43.9983,20.077,54.8341,16.2342,55.3161,16.1037,49.234,20.3228,41.8041,31.6022,35.1581,51.0239,30.011,64.6613,26.7839,57.3779,26.2365,40.6499,30.1155,27.203,40.6037,19.3887,52.9829,16.0242,56.0829,16.3513,51.017,21.2483,43.6294,33.6148,36.6919
-18.0179,0.925356,0.0149478,7,191,0,26.2191,0.240886,1.54134,0.00799217,0.0689116,1.68398,0.297898,0.120688,0.0170961,17.9232,10.7853,28.5616,21.3171,0.847761,0.587718,0.286803,0.69076,17.0515,12.5039,14.3734,16.1696,11.8551,21.4259,10.7056,25.9786,10.7688,25.7373,11.664,20.4213,13.1302,14.7791,14.9496,11.5352,16.7757,10.6242,17.8943,11.6483,17.2259,14.5886,14.6465,19.3848,12.0341,24.6412,10.7543,26.564,10.7234,22.6963,11.5545,16.6367,12.977,12.4324,14.7748,10.7221,16.6226,11.0531,17.8497,13.2726,44.7614,19.2593,55.8996,18.2178,49.9503,18.6252,35.6673,20.8162,23.9512,24.2606,17.0964,26.8353,14.1027,26.8466,14.2191,24.8655,17.9508,22.2436,27.3339,19.9233,43.2051,18.4571,55.5551,18.2784,51.0773,19.7996,36.9673,22.9505,24.8196,26.1423,17.5473,27.1439,14.2443,25.7387,14.0763,23.2151,17.4117,20.7046,26.1697,18.8713
