# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = lv_group_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = lv.data.R
# init = 2 (Default)
# random
#   seed = 2530739542
# output
#   file = sample1.mpi.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,z_init.1.1,z_init.2.1,z_init.1.2,z_init.2.2,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,z.1.1,z.2.1,z.1.2,z.2.2,z.1.3,z.2.3,z.1.4,z.2.4,z.1.5,z.2.5,z.1.6,z.2.6,z.1.7,z.2.7,z.1.8,z.2.8,z.1.9,z.2.9,z.1.10,z.2.10,z.1.11,z.2.11,z.1.12,z.2.12,z.1.13,z.2.13,z.1.14,z.2.14,z.1.15,z.2.15,z.1.16,z.2.16,z.1.17,z.2.17,z.1.18,z.2.18,z.1.19,z.2.19,z.1.20,z.2.20,z.1.21,z.2.21,z.1.22,z.2.22,z.1.23,z.2.23,z.1.24,z.2.24,z.1.25,z.2.25,z.1.26,z.2.26,z.1.27,z.2.27,z.1.28,z.2.28,z.1.29,z.2.29,z.1.30,z.2.30,z.1.31,z.2.31,z.1.32,z.2.32,z.1.33,z.2.33,z.1.34,z.2.34,z.1.35,z.2.35,z.1.36,z.2.36,z.1.37,z.2.37,z.1.38,z.2.38,z.1.39,z.2.39,z.1.40,z.2.40
# Adaptation terminated
# Step size = 0.0356857
# Diagonal elements of inverse mass matrix:
# 0.0641954, 0.193296, 0.0736145, 0.0781179, 0.114776, 0.124979, 0.0936746, 0.0488365, 0.00727316, 0.096628, 0.0703669, 0.0430692, 0.0278558, 0.0294831, 0.0352262, 0.0277137
31.8274,0.995881,0.0356857,7,127,0,-18.4621,1.19255,1.41833,0.0479525,0.0481344,0.388238,0.325178,0.0202136,0.139579,6.15787,6.46341,22.1821,27.9327,0.290024,0.253934,0.354294,0.374714,7.93738,17.288,12.3569,14.314,21.1133,13.4953,34.9072,16.0265,44.5275,24.8726,32.1788,37.9665,15.1527,40.8922,8.03204,34.598,6.07329,26.9212,6.44327,20.6563,8.82443,16.2842,14.2329,13.8524,24.4662,13.7621,38.7934,17.668,43.4847,28.5468,26.6914,40.1672,12.3772,39.6686,7.17183,32.4478,5.9867,25.0319,6.87145,19.2733,4.51129,45.6167,1.73962,49.8043,0.768415,42.2618,0.51734,33.2531,0.520184,25.7708,0.715481,20.2411,1.22557,16.6591,2.36977,15.3129,4.51778,17.6823,6.47027,28.1847,4.45673,45.8307,1.71336,49.7393,0.761113,42.1186,0.51589,33.1224,0.521634,25.6698,0.720444,20.1703,1.23738,16.6193,2.39499,15.3145,4.55766,17.767,6.47591,28.4392
31.8993,0.879065,0.0356857,7,127,0,-24.8439,1.13724,0.708908,0.0374639,0.0235576,0.356343,0.630464,0.0178489,0.156475,8.38223,7.67247,24.0488,19.4041,0.291996,0.339376,0.323394,0.302282,11.5143,20.0384,17.6957,18.1111,27.86,18.9333,39.385,24.2572,40.6454,35.6117,26.7902,46.0524,14.4074,46.0509,8.97546,39.4111,7.38576,31.812,7.91775,25.466,10.4141,20.9327,15.6462,18.4044,24.7288,18.3635,36.6226,22.2233,42.1097,32.0862,31.1344,44.0906,16.9904,47.0229,9.94492,41.4723,7.57125,33.7965,7.59272,27.0182,8.20718,37.409,5.23466,58.6493,2.62211,56.2368,1.6808,41.2918,1.52157,28.0536,1.78577,19.249,2.46247,14.201,3.68929,12.1314,5.60144,13.2417,7.80471,20.2147,8.09639,39.1505,4.98916,59.3537,2.51255,55.3367,1.65129,40.2292,1.5277,27.2891,1.81893,18.7818,2.52884,13.9627,3.80113,12.0934,5.75927,13.4851,7.92812,21.089
30.9834,0.981836,0.0356857,7,127,0,-24.6338,1.08323,0.668365,0.0329831,0.019111,0.398036,0.589716,0.021126,0.161793,6.32748,6.41337,27.1153,51.4358,0.308899,0.347363,0.35657,0.421039,8.48214,21.2191,13.2531,17.8257,22.1529,17.2535,35.3145,21.1711,43.5391,33.5615,31.3426,51.4172,15.0795,55.5342,8.0741,47.01,6.03717,36.4559,6.2247,27.786,8.19344,21.657,12.6664,18.0308,21.1257,17.16,34.0513,20.5287,43.5294,31.987,33.0957,50.0967,16.164,55.8838,8.44151,47.9878,6.11222,37.3723,6.13628,28.4787,3.936,66.1346,2.2531,59.4289,1.6236,44.6396,1.53533,31.7919,1.78637,22.9649,2.37446,17.7404,3.38556,15.5754,4.88064,16.7527,6.56089,23.5139,7.07657,40.4856,5.12902,61.8766,2.8777,64.6203,1.82731,51.6927,1.52874,37.3467,1.62935,26.6184,2.05194,19.7902,2.85142,16.2223,4.12181,15.7058,5.80186,19.3751,7.11374,31.0293
28.0557,0.997118,0.0356857,6,63,0,-21.8354,1.00972,0.573812,0.0425009,0.0160968,0.439119,0.6348,0.0227712,0.149501,6.30284,6.38306,19.6951,54.3817,0.304132,0.302913,0.298888,0.43962,8.34857,14.9427,12.9604,12.202,21.6515,11.5567,34.9848,14.1054,44.8709,23.1362,33.488,37.9999,15.78,42.2091,8.20521,35.1895,6.08851,26.5303,6.31542,19.6284,8.3846,14.9002,13.0337,12.182,21.7806,11.564,35.1494,14.1637,44.8828,23.2913,33.2552,38.1401,15.6388,42.1698,8.15978,35.0876,6.0804,26.439,6.32823,19.5621,4.27021,63.9044,2.82098,56.8368,2.229,43.5745,2.16454,31.9115,2.4655,23.8088,3.11218,19.062,4.13925,17.2883,5.5234,18.8027,6.93067,25.3901,7.35441,39.9755,5.88928,58.2298,3.82836,63.4414,2.6133,53.7778,2.17457,40.472,2.20614,29.6225,2.58893,22.3754,3.32403,18.3665,4.44536,17.3161,5.88598,19.819,7.17576,28.1027
30.4318,0.982829,0.0356857,7,127,0,-20.8231,1.32585,0.672484,0.0283161,0.0218717,0.311633,0.726429,0.0164021,0.178619,7.90973,7.04166,39.9918,15.4547,0.2975,0.287549,0.345284,0.333907,10.5172,33.9548,15.9631,30.7492,25.2135,31.3955,36.1212,38.1162,38.2769,52.4723,26.3614,66.0332,14.6188,67.0891,9.09987,59.2537,7.35359,49.4792,7.73637,40.9015,10.0678,34.5552,15.1016,30.9648,23.8827,31.0472,34.9678,36.8674,38.8979,50.4422,28.1293,64.9467,15.6999,67.6108,9.52078,60.4209,7.43679,50.6484,7.59121,41.8454,8.54604,31.1668,6.18263,59.7017,2.94904,63.3433,1.73854,45.5166,1.52071,29.1885,1.77999,18.8415,2.47323,13.2276,3.73728,11.0301,5.71766,12.2802,7.99227,20.3348,8.0242,43.7948,4.503,65.951,2.22177,56.197,1.56716,37.5692,1.5853,23.9124,2.02787,15.8696,2.95131,11.8742,4.52513,11.0755,6.7698,14.5837,8.52549,28.4444
31.447,0.977211,0.0356857,7,127,0,-23.4803,1.68169,1.16552,0.0680596,0.0348072,0.249394,0.352045,0.0125829,0.147997,6.71065,4.83229,21.6836,51.1236,0.321445,0.275456,0.291015,0.36414,9.20446,18.6299,14.9258,16.8237,25.8491,16.8389,40.6398,19.9435,44.7846,27.2068,29.0531,34.1347,14.4989,34.6458,8.25983,30.951,6.31604,26.3593,6.5255,22.2278,8.67018,19.0146,13.789,16.9974,23.8434,16.681,38.5741,19.2158,45.6394,25.9381,31.8662,33.46,16.0637,34.9434,8.83006,31.6136,6.44469,27.033,6.3813,22.7928,2.13047,59.2912,0.967986,51.608,0.624416,40.6083,0.57839,31.1397,0.715004,24.0433,1.08665,19.2482,1.87632,16.74,3.37122,17.181,5.47912,23.2278,6.0512,39.9995,3.40696,57.7029,1.41973,56.729,0.750417,46.3864,0.577977,35.8653,0.619712,27.5003,0.852826,21.5064,1.39007,17.7665,2.47653,16.4887,4.34631,19.0337,6.17499,29.6307
35.7267,0.996809,0.0356857,7,127,0,-26.5824,1.92998,0.864697,0.0550286,0.0263527,0.212727,0.539771,0.0103382,0.117562,7.04347,9.74098,31.16,25.1665,0.252847,0.289275,0.356121,0.364413,9.74186,27.4114,15.9146,25.2027,27.6446,25.3813,42.9489,29.5889,46.0177,38.6355,29.5884,46.5528,15.032,47.0194,8.66354,42.7334,6.59856,37.2901,6.7344,32.2443,8.84374,28.1959,13.9891,25.5609,24.243,25.045,39.5218,28.0979,47.4676,36.1803,34.19,45.2571,17.6844,47.5227,9.67235,43.9709,6.85541,38.6035,6.53497,33.3876,9.14877,47.0644,4.85012,62.6048,2.37773,54.4599,1.63294,39.777,1.60355,27.9068,2.04057,20.0585,3.04716,15.6613,4.90285,14.424,7.73861,17.5405,10.1241,29.8739,8.06734,53.5454,3.9203,62.1588,2.0653,50.4751,1.57405,36.1519,1.67618,25.3938,2.24815,18.5482,3.45393,15.002,5.58788,14.7254,8.57145,19.6572,10.1325,35.6938
35.741,0.908008,0.0356857,7,127,0,-29.8747,1.47329,0.944252,0.0320384,0.0318882,0.29123,0.476699,0.0139083,0.139089,6.51311,7.44771,39.1852,26.3367,0.272632,0.32764,0.313638,0.340169,9.06769,32.5431,14.9769,28.6004,26.5824,28.3128,43.4704,34.3777,49.9618,50.6011,31.7302,67.9355,14.7375,69.1686,8.0146,60.0466,6.07513,49.3286,6.36173,40.1109,8.63685,33.1827,14.0493,28.8981,24.8854,28.0953,41.5464,33.2039,50.6038,48.2634,34.3405,66.6258,16.0799,69.7887,8.4631,61.2876,6.16446,50.5199,6.23561,41.0677,6.25589,44.3807,3.23555,52.8958,1.69165,45.4304,1.22218,34.277,1.22788,25.1304,1.57666,18.8825,2.3656,15.3248,3.81105,14.4898,5.95403,17.6435,7.52336,28.6267,5.80216,46.8162,2.90224,52.5047,1.57642,43.7883,1.19997,32.7533,1.2573,24.0289,1.66097,18.1945,2.53185,15.0199,4.09055,14.6458,6.28434,18.6454,7.51441,31.1375
35.638,0.963583,0.0356857,6,127,0,-28.6478,1.57071,0.621239,0.0380156,0.0193906,0.257496,0.672009,0.0131315,0.152607,7.55161,8.14405,35.3245,31.1667,0.231728,0.262523,0.398275,0.301893,10.4289,30.643,16.5407,28.15,27.2651,28.8601,39.9244,34.7821,41.2934,46.798,26.8808,57.0615,14.2675,57.3011,8.63937,51.178,6.85139,43.6711,7.14974,36.9352,9.37399,31.7454,14.4307,28.5781,23.8314,28.2464,36.8066,32.4837,42.9013,43.1052,31.4242,55.1184,16.9638,58.1494,9.68533,53.1631,7.09909,45.725,6.88934,38.6658,6.80957,51.6525,4.12249,60.4417,2.56808,50.5406,2.06183,36.4029,2.12135,25.4372,2.59393,18.5195,3.50654,14.9722,4.93161,14.4595,6.7591,17.9765,8.10574,29.0356,7.11914,49.1954,4.41647,60.598,2.69116,52.2759,2.08782,38.0516,2.09063,26.5734,2.51256,19.1829,3.366,15.2503,4.72582,14.3433,6.52726,17.2269,8.02788,27.0802
32.1227,0.832852,0.0356857,6,127,0,-26.906,1.61565,0.50268,0.0355567,0.0149861,0.244229,0.830882,0.0130749,0.15157,7.89698,9.45521,39.8409,30.3733,0.232476,0.300243,0.390572,0.340951,10.5388,35.1175,16.0299,32.6027,25.2774,33.3214,35.7696,39.0105,37.3318,50.0785,26.0887,59.8538,14.9274,60.9416,9.34557,55.651,7.37477,48.4913,7.47858,41.7769,9.40967,36.464,13.8296,33.1389,21.8309,32.6322,32.662,36.4738,38.4984,46.0645,30.4848,57.4231,17.9798,61.5442,10.6688,57.7795,7.75075,50.8757,7.25166,43.8678,8.41605,53.2787,5.48845,66.7458,3.52912,56.4725,2.84852,39.4148,2.89654,26.3535,3.4426,18.4537,4.46352,14.5462,5.98667,13.9036,7.88462,17.2927,9.3846,28.2985,8.69412,50.4161,5.82094,66.5408,3.6821,58.4088,2.88319,41.3107,2.86298,27.6142,3.35368,19.1573,4.31659,14.8343,5.781,13.8037,7.65559,16.5966,9.28179,26.4068
37.2389,0.972593,0.0356857,6,63,0,-27.5228,1.43867,0.444377,0.0328171,0.0136712,0.282795,0.995902,0.0139068,0.191287,7.49851,8.18178,36.839,23.2799,0.300786,0.301098,0.267273,0.259536,10.3876,31.35,16.5647,28.3609,27.6215,28.8862,41.4758,35.2633,44.343,49.4253,28.9332,62.7181,14.8685,63.4497,8.73568,55.9554,6.82172,46.8399,7.08547,38.8043,9.29458,32.6899,14.3578,28.9202,23.9245,28.2712,37.778,32.6497,45.7139,44.7693,34.1374,59.9843,17.9721,64.4622,9.90625,58.4704,7.10128,49.404,6.8251,40.9291,8.23363,42.8345,6.09514,63.7976,3.94668,60.4422,3.02972,42.7675,2.93884,27.6869,3.36207,18.5524,4.21428,14.0497,5.48212,13.0362,7.05269,15.9315,8.35133,26.025,7.96609,47.6014,5.60662,65.3072,3.6842,57.4523,2.96278,39.4611,2.98443,25.515,3.49164,17.3889,4.42405,13.603,5.76536,13.2352,7.35211,17.1316,8.45862,29.242
34.5768,0.789407,0.0356857,7,127,0,-30.4862,1.18948,0.683858,0.0615196,0.0210524,0.377348,0.594834,0.0177125,0.151414,6.6313,7.2438,15.5177,35.7105,0.302223,0.317504,0.331256,0.339367,9.35319,12.2127,15.4629,10.3645,27.225,10.2691,44.3721,13.2368,51.0726,21.9437,31.0161,31.8819,13.6565,31.7969,7.50405,26.0154,6.01184,20.0243,6.70877,15.3248,9.55478,12.0896,15.8815,10.3146,27.9654,10.3244,45.1649,13.505,50.6366,22.5052,29.8708,32.1319,13.1646,31.5831,7.36002,25.7088,6.00185,19.7642,6.791,15.1353,5.57683,53.3505,3.33706,57.2297,2.17303,47.2715,1.81557,35.0158,1.91428,25.4982,2.37858,19.3765,3.2546,16.2804,4.6086,16.1902,6.27666,20.3505,7.28803,31.9578,6.09548,50.074,3.74798,57.9766,2.34101,49.9715,1.84752,37.5399,1.86113,27.2849,2.24448,20.445,3.02316,16.7135,4.27206,15.9186,5.91509,18.9382,7.21333,28.6151
33.2128,0.927471,0.0356857,7,127,0,-28.7429,1.27517,0.55171,0.0693051,0.0175353,0.353263,0.798487,0.0181481,0.160763,7.26429,9.02263,16.3979,24.2656,0.400151,0.337988,0.384573,0.24817,9.33975,13.3452,14.2201,11.547,23.2965,11.3181,35.853,13.5802,41.4373,19.7065,29.0583,26.7875,15.0832,27.7623,8.85884,24.0009,7.06068,19.3924,7.58508,15.5105,10.264,12.762,16.0809,11.3179,26.3351,11.6,38.6492,14.7454,39.7769,21.7384,24.8389,27.7268,12.8624,27.0617,8.11009,22.8124,7.00525,18.3098,8.03968,14.6974,8.53701,46.9946,5.34705,65.2718,3.09578,56.4661,2.33515,38.7713,2.33345,25.2067,2.81649,17.0562,3.77757,12.951,5.29419,11.9897,7.31965,14.8024,9.0892,25.2856,8.38485,48.678,5.15157,65.4573,3.0137,55.3891,2.31779,37.7541,2.35039,24.5492,2.86198,16.6947,3.85547,12.8019,5.40851,12.0362,7.45334,15.1675,9.14568,26.3651
30.5242,0.999237,0.0356857,7,127,0,-21.2399,1.07095,1.25668,0.0532797,0.0428835,0.411356,0.333182,0.0211963,0.108732,7.20559,7.41236,17.3879,33.0807,0.358497,0.302366,0.360661,0.490321,9.25682,13.6694,13.908,11.5154,22.404,11.1272,34.522,13.4396,41.8393,20.4792,31.2409,30.3429,16.1835,32.852,9.14973,28.124,7.03583,22.0044,7.32563,16.9231,9.60496,13.3684,14.5996,11.3836,23.5548,11.2162,35.7888,13.9204,41.629,21.5262,29.4335,31.0921,15.0777,32.5758,8.76298,27.4756,6.97287,21.4038,7.46676,16.4756,4.59387,46.4681,2.07516,47.0361,1.12189,39.7221,0.857152,31.5827,0.903737,24.8502,1.22359,19.935,1.9651,16.9059,3.43366,16.1159,5.78916,18.9515,7.55736,28.663,5.61338,43.5187,2.61946,48.1544,1.30059,42.1694,0.89517,33.8885,0.863774,26.6576,1.09498,21.1967,1.68608,17.5959,2.90279,16.0658,5.02943,17.5748,7.31256,24.8797
30.0315,0.879864,0.0356857,7,127,0,-22.163,0.987963,0.830473,0.0438107,0.0283839,0.467771,0.524739,0.0242292,0.160569,7.42815,6.64164,19.137,25.6993,0.281328,0.296137,0.500299,0.431464,9.58565,14.6664,14.3951,12.2047,22.9983,11.9233,34.8094,15.0135,40.6757,24.1678,28.6916,36.1477,14.6027,37.641,8.63753,30.8387,7.12491,23.2465,7.91456,17.4019,10.8543,13.6159,16.8183,11.8383,26.8042,12.4768,38.2905,17.2912,38.464,28.5586,23.0924,38.1306,11.8387,35.7957,7.7964,28.1642,7.16938,21.0485,8.63634,15.9021,5.80223,43.0326,3.2785,52.6672,1.80641,46.0426,1.31783,34.7087,1.30063,25.2244,1.60958,18.7713,2.29754,15.1098,3.50456,14.1339,5.24245,16.795,6.66779,26.2996,5.70418,43.768,3.18732,52.6546,1.77073,45.5805,1.30956,34.2493,1.30723,24.8889,1.63026,18.5615,2.33719,15.0122,3.56896,14.1598,5.32105,17.0271,6.68914,26.9183
32.078,0.999912,0.0356857,6,63,0,-26.9774,0.989327,0.93594,0.0445337,0.0272992,0.416658,0.496028,0.0208285,0.175555,7.56029,6.59466,15.2092,25.4884,0.300606,0.317632,0.464832,0.38483,11.1325,12.126,18.1067,10.76,29.9095,11.5941,43.9101,16.5658,44.3231,28.5607,25.2783,39.3115,11.8413,37.384,7.10507,29.734,6.02083,22.3841,6.81223,16.818,9.475,13.0866,14.9786,11.0605,24.8849,10.9464,39.0401,13.9911,47.131,23.2911,33.0018,36.6152,15.5357,39.3163,8.26461,32.7573,6.1675,24.9643,6.31944,18.6871,6.13476,50.7308,2.88747,67.9295,1.27168,58.0054,0.829483,42.086,0.804354,29.4601,1.03889,21.0076,1.60894,16.0401,2.73617,14.1566,4.65956,16.3051,6.74783,27.3995,5.8204,53.829,2.6173,67.8335,1.1895,56.2922,0.812641,40.5304,0.817081,28.3658,1.08107,20.3221,1.6979,15.6906,2.90192,14.1546,4.90659,16.9158,6.86394,29.5287
32.216,0.970767,0.0356857,7,127,0,-21.1363,1.2213,0.833425,0.0297396,0.0246938,0.345293,0.56761,0.0205077,0.134518,6.19206,8.17203,33.0347,20.6985,0.361732,0.319926,0.299803,0.319208,8.64026,27.134,13.7953,24.0402,22.9482,24.6259,34.496,31.4821,36.8104,47.7266,23.2261,63.4259,11.5295,63.2382,6.81606,53.5784,5.5229,42.8889,5.99872,34.0847,8.15799,27.8093,12.8446,24.2881,21.3909,24.2469,33.0194,29.9673,37.6401,44.9708,25.4559,62.0559,12.6856,64.1178,7.20959,55.1344,5.58235,44.3221,5.83787,35.1863,9.24029,39.5961,5.76849,63.7535,2.66203,61.9097,1.60553,46.0654,1.42495,31.822,1.69945,22.1546,2.44459,16.4935,3.87826,14.1719,6.23369,15.6952,8.90234,24.8298,8.54528,48.2702,4.52447,66.2359,2.17933,57.3702,1.48831,41.1666,1.46636,28.32,1.87424,20.0004,2.80442,15.4213,4.51129,14.1524,7.12102,17.3992,9.33838,30.5423
29.279,0.999976,0.0356857,7,127,0,-24.6535,0.840189,1.17519,0.0682899,0.0348974,0.544059,0.397418,0.0258184,0.112915,7.86555,9.51292,9.41932,28.5599,0.299446,0.387598,0.428865,0.358247,10.5187,6.89666,16.011,5.59594,25.5911,5.50206,38.8658,7.31288,46.1314,13.161,31.9603,21.8085,15.2824,22.763,8.77779,17.7314,7.27397,12.5775,8.17296,8.8719,11.2533,6.58172,17.3802,5.48447,27.7689,5.64506,41.1305,7.97637,45.2252,14.7375,28.3118,22.7329,13.516,22.0743,8.26831,16.7391,7.28415,11.8064,8.5466,8.36935,7.46164,53.6845,2.88508,63.128,1.21342,52.4034,0.798403,39.2244,0.796975,28.768,1.08422,21.4347,1.81363,16.871,3.39483,15.0516,6.35584,17.2989,9.55572,29.0773,7.32309,54.309,2.80788,63.0015,1.19282,52.0423,0.794431,38.9069,0.800666,28.5352,1.0966,21.2798,1.84202,16.7859,3.45364,15.0472,6.45213,17.4483,9.59406,29.6075
35.1844,0.996726,0.0356857,7,127,0,-22.9915,0.849135,0.743771,0.0236084,0.0246081,0.552818,0.608601,0.0269973,0.166398,6.72208,7.30434,29.5212,24.2293,0.360659,0.284934,0.3289,0.330179,8.74745,20.8304,13.325,16.0305,21.8342,14.6675,35.1375,18.0405,46.87,32.1332,36.9022,60.9695,16.9193,71.0784,8.59318,56.4436,6.51568,39.5052,7.00321,27.1577,9.52274,19.431,14.8525,15.4136,24.4601,14.9073,38.4929,19.9402,47.139,37.8309,31.79,66.384,14.0924,68.9222,7.7856,52.3441,6.44996,36.2576,7.38427,25.034,6.71816,44.4952,3.81151,58.2987,2.04008,50.4457,1.47645,36.3815,1.46918,25.1526,1.8333,17.9215,2.61937,14.0285,3.97216,13.0931,5.8978,16.1043,7.45694,27.1604,6.24005,48.519,3.35671,58.159,1.87239,47.8817,1.44366,34.0136,1.50888,23.5366,1.94252,16.976,2.82125,13.6311,4.2908,13.2837,6.27009,17.3463,7.5047,30.5411
