lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,z_init.1.1,z_init.2.1,z_init.1.2,z_init.2.2,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,z.1.1,z.2.1,z.1.2,z.2.2,z.1.3,z.2.3,z.1.4,z.2.4,z.1.5,z.2.5,z.1.6,z.2.6,z.1.7,z.2.7,z.1.8,z.2.8,z.1.9,z.2.9,z.1.10,z.2.10,z.1.11,z.2.11,z.1.12,z.2.12,z.1.13,z.2.13,z.1.14,z.2.14,z.1.15,z.2.15,z.1.16,z.2.16,z.1.17,z.2.17,z.1.18,z.2.18,z.1.19,z.2.19,z.1.20,z.2.20,z.1.21,z.2.21,z.1.22,z.2.22,z.1.23,z.2.23,z.1.24,z.2.24,z.1.25,z.2.25,z.1.26,z.2.26,z.1.27,z.2.27,z.1.28,z.2.28,z.1.29,z.2.29,z.1.30,z.2.30,z.1.31,z.2.31,z.1.32,z.2.32,z.1.33,z.2.33,z.1.34,z.2.34,z.1.35,z.2.35,z.1.36,z.2.36,z.1.37,z.2.37,z.1.38,z.2.38,z.1.39,z.2.39,z.1.40,z.2.40
# Adaptation terminated
# Step size = 0.0239685
# Diagonal elements of inverse mass matrix:
# 0.0787721, 0.21788, 0.090998, 0.0952679, 0.131218, 0.141071, 0.104899, 0.0445722, 0.00777484, 0.0905853, 0.0576248, 0.0343432, 0.027137, 0.0283114, 0.0342943, 0.0286988
32.2589,0.999603,0.0239685,8,255,0,-24.3895,1.37058,0.992194,0.0279037,0.0310408,0.317587,0.445255,0.016679,0.147905,6.90662,6.62143,42.9404,26.9875,0.229244,0.245797,0.438796,0.40791,9.1476,35.6233,14.2581,31.3615,23.7478,31.127,36.6298,37.4726,41.395,53.5705,28.1108,70.8108,14.3885,72.6502,8.38143,63.4027,6.59605,52.0913,6.99152,42.3581,9.38721,35.2324,14.7466,31.2011,24.5645,31.3072,37.4175,38.2413,40.9959,54.9277,26.9646,71.4933,13.7682,72.2441,8.16422,62.6365,6.56362,51.3636,7.08517,41.788,5.87415,45.5893,3.0881,56.499,1.54719,50.0602,1.05402,38.5682,1.0083,28.6689,1.25505,21.6343,1.86093,17.3578,3.02193,15.825,4.87951,18.0476,6.65703,27.5238,5.78147,46.2912,3.00305,56.5098,1.516,49.6604,1.04637,38.1605,1.01226,28.3596,1.27004,21.4303,1.89222,17.2514,3.07792,15.8284,4.95687,18.2352,6.68867,28.0758
34.4012,0.924871,0.0239685,7,255,0,-25.1794,1.42637,0.573097,0.0387527,0.019381,0.300516,0.756755,0.0155803,0.165615,6.73509,7.21981,32.8191,23.077,0.288668,0.258859,0.354784,0.447122,8.7948,27.3486,13.6404,24.0067,22.885,23.4693,36.19,27.4772,42.9627,38.492,30.7003,51.6106,15.7572,54.3492,8.83706,48.3141,6.62155,40.1935,6.71587,32.9398,8.73478,27.4328,13.5143,24.0468,22.6639,23.4454,35.9436,27.3428,43.0112,38.2263,31.0306,51.4362,15.9598,54.4038,8.91177,48.4614,6.63822,40.3424,6.69729,33.0612,7.24113,36.8466,5.44181,50.2308,3.59103,49.2064,2.70862,38.4147,2.54417,27.6324,2.85637,20.1579,3.58576,16.0307,4.73605,14.8977,6.19407,17.2454,7.36803,25.1637,7.00741,39.965,5.02905,51.3018,3.34876,47.515,2.63213,36.1667,2.57078,25.9229,2.96373,19.1236,3.77384,15.584,5.00004,15.0391,6.47251,18.2384,7.45719,27.5434
32.8913,0.941553,0.0239685,7,255,0,-26.5303,1.51199,0.96939,0.0836373,0.0327848,0.284768,0.490894,0.0136474,0.127761,6.9224,7.66732,16.4278,19.1724,0.353781,0.402627,0.379298,0.329455,8.94972,13.7347,13.9291,12.0248,23.7651,11.6205,38.6928,13.3428,47.6412,18.4423,34.8021,24.8836,17.6303,26.5247,9.57956,23.8084,6.96013,19.9699,6.90832,16.4745,8.90146,13.7681,13.8244,12.0419,23.5741,11.6138,38.4635,13.2946,47.66,18.3419,35.0978,24.8123,17.8175,26.5418,9.6487,23.8631,6.97683,20.0265,6.89469,16.5215,8.64072,34.7714,5.21822,53.0458,2.35799,51.3203,1.39579,39.4131,1.22103,28.3651,1.45742,20.5183,2.13802,15.7116,3.50908,13.6685,5.84687,15.0503,8.45769,23.2017,7.7867,42.4206,3.92973,54.7627,1.87485,47.4543,1.27693,35.2057,1.26116,25.2316,1.63721,18.5038,2.52429,14.675,4.21681,13.6746,6.84741,16.8416,8.82465,28.8447
34.9108,0.985785,0.0239685,7,127,0,-26.8338,1.3461,0.983669,0.043253,0.0295923,0.330333,0.471367,0.0168036,0.167903,7.29863,6.69905,27.3076,25.8746,0.296415,0.226523,0.337852,0.260065,9.60554,22.5464,14.8879,19.8028,24.6294,19.6985,37.6191,23.887,41.9127,34.3482,28.1497,45.1981,14.5017,45.9444,8.62698,39.7639,6.96581,32.4512,7.55922,26.2769,10.3246,21.869,16.3338,19.5515,26.976,20.0821,39.6574,25.3583,40.4359,36.7595,25.0107,46.1907,12.905,45.0888,8.08943,38.3746,6.92704,31.1791,7.8927,25.3088,5.98906,50.0483,2.73956,64.4165,1.21638,54.677,0.802905,40.0966,0.785737,28.4895,1.0248,20.6227,1.60674,15.956,2.76994,14.2332,4.76224,16.5264,6.83541,27.7603,5.65762,52.8033,2.48566,64.1918,1.14024,53.1178,0.787602,38.6896,0.798758,27.4883,1.06713,19.9877,1.69688,15.6319,2.93962,14.2449,5.01313,17.1479,6.93135,29.845
33.2033,0.986654,0.0239685,7,127,0,-27.6478,1.30102,0.556183,0.0733606,0.0168044,0.336832,0.779775,0.0171516,0.203076,7.3595,6.55095,16.4445,23.7521,0.276348,0.360568,0.396103,0.336307,9.07651,13.4783,13.3773,11.6149,21.553,11.1181,33.5891,12.6989,41.5684,17.5726,32.6456,24.2914,17.8491,26.5663,10.1184,23.8687,7.50223,19.7267,7.47584,15.9694,9.49783,13.1476,14.2561,11.4536,23.059,11.1892,35.2886,13.1579,41.4372,18.5201,30.4093,24.9944,16.3154,26.4031,9.52826,23.313,7.37202,19.1576,7.63039,15.513,6.62626,43.0726,4.63221,63.3,2.76485,60.3295,1.9952,44.1814,1.88165,29.791,2.16583,20.4798,2.80723,15.461,3.84502,13.8319,5.25629,15.903,6.60996,24.5537,6.55557,44.5322,4.49283,63.8563,2.6915,59.5226,1.97413,43.1998,1.88855,29.0941,2.19384,20.0722,2.85755,15.2735,3.91996,13.839,5.34689,16.187,6.66399,25.3998
32.8706,0.980906,0.0239685,7,127,0,-24.9959,1.29203,0.781039,0.0878134,0.0256337,0.331931,0.548913,0.0176484,0.129376,6.94757,8.85693,13.22,28.4977,0.356583,0.270813,0.471865,0.317649,8.8369,10.8706,13.2838,9.43735,21.5922,9.15187,33.5049,10.6525,40.4966,14.969,30.6246,20.5824,16.3925,22.1806,9.29777,19.7709,6.9425,16.2973,6.9597,13.1837,8.87631,10.8455,13.3651,9.42534,21.7312,9.15793,33.6617,10.6891,40.4829,15.0445,30.4167,20.6384,16.2519,22.1678,9.24384,19.7272,6.92998,16.2525,6.97214,13.1475,7.23143,48.6651,3.87805,57.1369,2.15751,47.8762,1.63202,35.0458,1.66468,24.9393,2.1032,18.2975,3.02904,14.6389,4.62559,13.7599,6.9121,16.6743,8.80551,27.0977,7.50992,47.0226,4.11034,57.2938,2.24337,48.9615,1.65015,36.0608,1.64606,25.6576,2.04925,18.7378,2.9272,14.8435,4.46034,13.7147,6.70445,16.2114,8.7286,25.7848
32.7458,0.997131,0.0239685,7,127,0,-28.5673,1.28461,0.845265,0.0742315,0.0263739,0.341108,0.508943,0.0171826,0.144403,6.38391,7.91389,15.2422,28.8763,0.361642,0.281052,0.50825,0.315476,8.36738,12.2636,13.1181,10.4337,22.4374,9.98874,36.8335,11.7617,46.2864,17.4698,33.6411,25.4236,16.2871,27.4079,8.6225,23.8618,6.30827,19.1977,6.40054,15.1832,8.42024,12.2232,13.2309,10.4136,22.6425,9.99646,37.0871,11.8198,46.2732,17.6033,33.3009,25.5235,16.0839,27.379,8.55283,23.7845,6.29371,19.1229,6.41768,15.1245,6.44614,51.4904,3.20118,61.3813,1.64643,51.3344,1.19066,37.5782,1.19709,26.7311,1.52674,19.4824,2.26112,15.3045,3.60406,13.9284,5.69727,16.255,7.76603,26.1786,6.93612,47.9149,3.61691,61.5485,1.79143,53.4839,1.22335,39.6079,1.1745,28.1882,1.452,20.4034,2.11155,15.7767,3.34334,13.945,5.32808,15.5382,7.54174,23.8341
34.8585,0.94816,0.0239685,7,127,0,-23.4586,1.19794,0.455706,0.0266733,0.013999,0.350079,0.93661,0.0187241,0.142137,7.48848,10.6597,35.7373,29.2124,0.306422,0.414024,0.23528,0.333157,10.4377,29.6719,16.4246,26.7301,26.5396,27.98,38.088,36.273,38.5275,53.9156,24.0685,68.9136,12.5049,67.519,7.79877,57.0922,6.5656,45.8523,7.27783,36.6798,9.93868,30.2586,15.4786,26.8997,25.0878,27.5258,36.9302,34.7356,39.5214,51.4496,25.9977,67.9173,13.4868,68.4118,8.13537,58.5195,6.59979,47.1483,7.09547,37.6641,9.69693,50.4242,6.70281,63.7523,4.52981,54.486,3.74484,37.9527,3.819,25.2638,4.48183,17.749,5.67422,14.2285,7.37328,14.019,9.3518,18.0359,10.6769,29.8671,9.60245,51.2697,6.59178,63.7722,4.47768,53.8719,3.73462,37.3695,3.83432,24.8874,4.51772,17.5486,5.73025,14.1601,7.44665,14.0816,9.42405,18.3122,10.6903,30.5391
38.3284,0.925303,0.0239685,7,127,0,-30.7921,1.17526,0.472755,0.0400723,0.0146265,0.375365,0.952082,0.0194325,0.157227,6.83775,9.34346,25.05,23.4623,0.266833,0.313403,0.308485,0.297772,9.0415,20.0105,14.0254,17.1049,23.2861,16.7525,36.4109,20.5096,42.895,31.2725,29.8113,44.6592,14.805,46.6744,8.37202,39.7281,6.53624,31.4015,6.94887,24.5203,9.35112,19.665,14.6508,16.959,24.3431,16.8825,37.5265,21.1421,42.5037,32.557,28.1948,45.4096,13.9309,46.2783,8.07951,38.9772,6.49623,30.7175,7.07487,24.0067,9.47224,41.0486,7.15877,59.9094,4.71725,57.9015,3.61932,42.3438,3.4849,28.2944,3.96685,19.4793,4.96627,15.0726,6.4597,14.1958,8.27577,17.4246,9.64315,27.9318,8.94057,48.1833,6.25284,61.8935,4.22582,53.4181,3.49448,37.3115,3.58061,24.9046,4.2324,17.6438,5.39439,14.418,7.02666,14.6955,8.8296,19.7709,9.71876,33.5786
37.652,0.996142,0.0239685,7,127,0,-33.2947,1.20397,0.833318,0.0325873,0.0268431,0.353433,0.518645,0.0181509,0.164202,7.25066,6.85165,31.1202,32.8894,0.333994,0.320479,0.303071,0.327246,9.6856,25.3993,14.9763,22.1921,24.4934,22.1404,37.2094,27.2089,42.2223,40.3007,29.136,55.1671,14.9767,57.124,8.70491,49.2612,6.82502,39.6598,7.17185,31.5364,9.473,25.673,14.5542,22.3055,23.7955,22.0287,36.4932,26.7014,42.458,39.3142,30.1697,54.5621,15.5802,57.3844,8.9209,49.8334,6.86477,40.2061,7.09969,31.9607,4.90478,53.3659,2.43843,56.9894,1.39336,45.7491,1.11596,33.2494,1.20269,23.8485,1.59371,17.7805,2.38952,14.5823,3.76042,14.257,5.66333,18.3307,6.86713,31.3713,5.13202,52.1139,2.57539,57.466,1.43831,46.7783,1.12213,34.1264,1.18551,24.454,1.55079,18.1442,2.30919,14.7337,3.63061,14.1597,5.51181,17.771,6.86135,29.9215
