# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = lv_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = lv.data.R
# init = 2 (Default)
# random
#   seed = 2072885
# output
#   file = sample4.pmx.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,z_init.1.1,z_init.2.1,z_init.1.2,z_init.2.2,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.3.1,z.2.3.1,z.1.4.1,z.2.4.1,z.1.5.1,z.2.5.1,z.1.6.1,z.2.6.1,z.1.7.1,z.2.7.1,z.1.8.1,z.2.8.1,z.1.9.1,z.2.9.1,z.1.10.1,z.2.10.1,z.1.11.1,z.2.11.1,z.1.12.1,z.2.12.1,z.1.13.1,z.2.13.1,z.1.14.1,z.2.14.1,z.1.15.1,z.2.15.1,z.1.16.1,z.2.16.1,z.1.17.1,z.2.17.1,z.1.18.1,z.2.18.1,z.1.19.1,z.2.19.1,z.1.20.1,z.2.20.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.3.2,z.2.3.2,z.1.4.2,z.2.4.2,z.1.5.2,z.2.5.2,z.1.6.2,z.2.6.2,z.1.7.2,z.2.7.2,z.1.8.2,z.2.8.2,z.1.9.2,z.2.9.2,z.1.10.2,z.2.10.2,z.1.11.2,z.2.11.2,z.1.12.2,z.2.12.2,z.1.13.2,z.2.13.2,z.1.14.2,z.2.14.2,z.1.15.2,z.2.15.2,z.1.16.2,z.2.16.2,z.1.17.2,z.2.17.2,z.1.18.2,z.2.18.2,z.1.19.2,z.2.19.2,z.1.20.2,z.2.20.2
# Adaptation terminated
# Step size = 0.0582315
# Diagonal elements of inverse mass matrix:
# 0.0434657, 0.0771855, 0.0516052, 0.0611537, 0.0372757, 0.0632879, 0.0431196, 0.0481065, 0.0155236, 0.0354775, 0.014563, 0.0336071, 0.0321704, 0.0305525, 0.0297748, 0.0321374
-11.0313,0.984203,0.0582315,6,127,0,22.4599,1.28624,2.42201,0.0530425,0.0883765,0.315299,0.178555,0.0172034,0.00970448,7.13025,6.09676,20.8296,26.0919,0.288193,0.259033,1.24782,0.91474,9.40079,7.78488,14.2738,12.2544,22.8874,21.4743,34.1656,35.2552,38.8956,41.5014,28.2731,29.0954,15.3904,15.1289,9.02315,8.49305,6.85248,6.21298,6.85486,6.13885,8.61313,7.94589,12.7059,12.6223,20.2881,22.1582,31.337,35.9882,39.1191,41.2504,31.9909,28.1692,18.0973,14.5816,10.1318,8.28216,7.15603,6.16053,6.69053,6.18644,17.4667,23.3066,15.5497,21.4231,15.5266,21.0086,18.5031,23.112,25.8174,28.4622,34.1479,33.892,35.975,34.9351,32.1103,32.6086,26.7463,29.2261,21.9004,25.9195,18.2022,23.1744,15.8872,21.3543,15.3059,21.0473,17.3588,23.3278,23.5523,28.8174,32.4093,34.0797,36.2343,34.8683,33.3799,32.4329,28.1201,29.034,23.0486,25.7489
-11.8863,0.285869,0.0582315,6,63,0,21.3844,1.37759,1.55767,0.0450318,0.0571494,0.30935,0.262626,0.0156767,0.0124762,6.98457,7.81754,24.2847,22.0902,0.314775,0.337184,0.765301,0.765039,10.2137,11.5125,17.0945,19.2619,29.4552,32.7713,43.9414,47.1884,42.7825,44.1107,24.0392,25.1339,11.5655,12.6089,7.01733,7.77841,5.93228,6.50644,6.75384,7.23826,9.65364,10.1086,15.9684,16.4507,27.6194,28.2643,42.5146,43.8225,44.3423,47.6561,26.3336,30.6406,12.5664,15.2411,7.33426,8.68743,5.95269,6.6423,6.55379,6.83355,20.3229,19.1047,18.3627,17.7062,19.2652,18.7273,25.2701,23.8784,37.8458,33.329,47.1082,39.5548,45.0742,38.092,38.0129,33.0889,30.7882,27.7494,24.9012,23.2062,20.7149,19.8322,18.4778,17.916,18.9376,18.0947,24.1384,21.8357,36.1265,30.4301,46.6114,38.5899,45.7537,39.1018,38.9548,34.6729,31.6269,29.2525,25.5442,24.4221
-10.225,0.970172,0.0582315,6,63,0,18.4875,1.50423,1.7194,0.0619527,0.0568026,0.295498,0.243932,0.0158376,0.0143934,6.93499,7.23735,23.1106,26.7441,0.290819,0.400898,0.923985,0.652482,8.42226,9.72326,12.4063,14.9804,20.2136,23.7958,31.9049,33.0757,39.5151,32.5869,30.8227,21.4351,16.9083,12.16,9.62577,7.91812,7.12849,6.65057,7.09807,7.22496,9.06997,9.69177,13.7948,14.9202,22.6253,23.708,34.5398,33.0212,39.0482,32.6524,27.3615,21.5367,14.6446,12.2157,8.75565,7.93922,6.94544,6.65296,7.3601,7.21271,19.3697,23.6127,16.93,22.0124,16.2155,22.709,18.1793,26.9138,24.1945,34.4204,32.0855,39.9785,34.6353,39.6272,31.5264,35.7045,26.6756,30.9884,22.1606,26.7762,18.6894,23.6338,16.5933,22.0178,16.3765,22.6899,19.1603,26.8603,26.0691,34.3538,33.3157,39.9561,34.2734,39.6505,30.4671,35.7443,25.5808,31.0279,21.2658,26.8084
-10.9197,0.910943,0.0582315,6,127,0,16.6032,1.99471,1.5954,0.0827966,0.0442458,0.224814,0.246432,0.0113626,0.0136512,7.37118,6.90046,23.2469,28.8248,0.270107,0.274812,0.814964,0.870323,8.96839,10.3472,13.3858,17.4074,22.216,29.3759,35.1095,41.2712,41.7068,37.4083,30.9157,21.1582,16.9916,10.7178,9.94271,6.63393,7.52332,5.50441,7.6146,6.02937,9.92372,8.27556,15.4725,13.2876,25.8132,22.7831,38.5327,36.1564,40.1164,42.0587,26.2458,29.3704,14.2129,14.9136,8.87841,8.15506,7.33081,5.82608,8.04486,5.57849,20.329,25.2655,18.3732,23.7423,17.8758,25.4055,19.745,32.4175,24.7526,44.4192,30.2624,51.8054,31.558,49.8544,29.1965,43.6524,25.6734,36.982,22.3018,31.2187,19.631,26.8394,18.0421,24.2046,18.1306,24.0561,20.917,28.0825,26.5939,38.168,31.1723,49.3406,31.1101,51.7351,28.1898,46.9879,24.624,40.2731,21.4193,33.9638
-10.6019,0.951568,0.0582315,5,47,0,18.7892,1.79716,1.67494,0.0615274,0.0630657,0.258518,0.276328,0.0116593,0.0141389,6.84575,6.88734,28.0121,25.3373,0.274782,0.346465,1.10951,0.727547,8.49447,8.48319,13.2626,12.8762,23.5268,21.7679,40.5437,35.1954,51.8761,42.5441,37.2197,30.6632,18.0382,15.9006,9.56998,9.05484,6.98664,6.93761,7.15081,7.26299,9.70302,9.82733,16.0483,15.7957,28.8158,26.8344,46.487,39.9923,49.6004,39.7798,29.4734,23.8939,14.0722,12.3305,8.24653,7.82659,6.79245,6.82165,7.72871,7.98326,23.5992,21.3701,20.6061,18.7746,19.5851,18.0789,21.8692,20.4607,29.4953,27.4048,39.1451,35.529,41.3059,37.1366,37.1499,33.3403,31.4825,28.2147,26.3425,23.6057,22.381,20.1441,19.9842,18.2219,19.8984,18.5661,23.8487,22.6797,33.1503,31.0281,40.9472,37.11,40.2786,35.9896,35.203,31.2988,29.5929,26.2571,24.8166,22.0604
-12.0358,0.986609,0.0582315,6,63,0,17.7691,1.70945,1.65781,0.0443456,0.0651589,0.235484,0.23863,0.0139509,0.0136345,5.59309,6.46155,33.4295,22.0574,0.304161,0.328706,1.09543,0.874158,7.79989,8.88045,12.7718,14.1146,22.2517,23.5523,35.1757,35.4098,39.1067,38.1655,25.6054,25.673,12.7166,13.5605,7.08319,7.9342,5.23891,6.01747,5.21852,6.01824,6.70777,7.63571,10.4286,11.5522,18.0001,19.1729,30.2796,30.7934,39.861,39.1317,31.8685,31.7184,16.6951,17.6407,8.6103,9.60242,5.67144,6.50562,5.05608,5.83093,28.9337,19.2434,26.2802,17.659,26.3538,17.8901,31.0871,21.0955,42.1348,27.9699,52.9158,34.3871,54.1247,35.1224,48.7878,31.8424,41.8946,27.508,35.5496,23.4794,30.4677,20.2577,27.0406,18.127,25.9086,17.5173,28.5509,19.342,37.2804,24.843,49.6578,32.3163,54.7884,35.5143,51.2179,33.4305,44.541,29.2788,37.8583,25.0365
-10.3501,0.980816,0.0582315,5,63,0,18.1394,1.62395,1.59909,0.049285,0.0549778,0.277697,0.258001,0.0126966,0.0128104,5.92762,6.49095,29.4727,25.3635,0.334476,0.341642,1.05161,0.846621,8.04097,8.894,13.4483,14.4341,25.0282,25.2057,44.2467,40.7296,55.4495,47.319,35.912,31.8482,15.6559,15.5966,7.95092,8.50029,5.79143,6.222,6.01245,6.19775,8.31615,8.00564,14.0816,12.5132,26.2815,21.6745,45.8167,36.4947,54.9876,47.7588,33.8702,37.2785,14.6985,18.9934,7.65258,9.7623,5.73891,6.55958,6.10911,6.03193,24.3355,21.5715,21.0298,19.2673,20.1684,19.0621,23.5866,22.4331,34.5557,31.1455,47.9026,40.6105,49.5712,42.0828,43.223,37.6524,35.6065,31.8644,29.0134,26.6063,24.0085,22.4644,20.862,19.7196,20.2437,18.8479,24.1323,21.0402,35.7133,28.3084,48.5224,38.6291,49.2442,42.5092,42.6265,39.1205,35.0446,33.4207,28.5639,27.9321
-11.1686,0.994441,0.0582315,6,63,0,16.5113,1.66145,1.56222,0.0475677,0.0519477,0.261297,0.272381,0.0151006,0.013731,5.6051,6.46903,31.5826,26.6676,0.334132,0.37761,1.05456,0.94553,7.41594,8.66328,11.846,13.857,20.6809,24.0328,33.7998,38.9505,39.9505,45.956,27.2382,31.4593,13.4228,15.5047,7.38642,8.50007,5.50378,6.29491,5.61924,6.368,7.46128,8.3494,11.9452,13.179,20.8619,22.7997,34.0008,37.5271,39.8875,46.2439,26.9719,33.3319,13.2751,16.6036,7.334,8.89679,5.4927,6.38806,5.63377,6.2835,26.7663,22.4745,23.7358,19.8887,23.2109,19.5137,26.9108,22.8532,36.9521,31.8727,48.0737,42.0529,49.8147,43.7497,44.543,38.9717,37.6824,32.7397,31.4955,27.1415,26.704,22.8112,23.7055,20.0544,23.2299,19.4224,27.0165,22.3077,37.1501,30.7919,48.1852,41.3654,49.7682,43.968,44.4385,39.5458,37.5774,33.3248,31.4087,27.6271
-13.9369,0.888081,0.0582315,6,63,0,21.7051,1.53003,1.28963,0.0384699,0.0478218,0.268351,0.307713,0.0130074,0.0149389,6.88731,7.37976,33.7433,22.2936,0.314313,0.230724,0.946227,1.05351,9.63837,10.1344,15.7653,15.9797,27.334,26.526,43.0272,40.7129,47.6145,46.5117,30.6268,32.3472,14.9597,16.522,8.3785,9.26691,6.34141,6.87865,6.49887,6.82539,8.55662,8.60229,13.4838,12.8699,23.27,21.1392,38.5189,34.3121,48.7803,46.2352,36.669,40.4808,18.4843,22.5522,9.66285,11.6642,6.66082,7.5725,6.26821,6.62516,28.6511,18.6239,25.7208,16.559,25.855,16.6125,31.2459,20.1694,44.1591,29.1032,56.9231,39.2729,57.8971,41.1576,51.1531,36.3637,42.9102,30.0418,35.5995,24.4094,29.9504,20.0861,26.3245,17.2672,25.3997,16.2656,28.9157,18.0009,39.6944,24.421,54.1493,35.2968,58.7895,41.4981,53.4915,38.9439,45.3046,32.8684,37.6024,26.7934
-12.511,0.935695,0.0582315,4,15,0,18.1092,1.55835,1.37468,0.0407778,0.0504575,0.276799,0.321512,0.0140291,0.0155566,7.2358,7.17495,32.5637,22.7654,0.304882,0.239805,0.965794,1.0979,10.1076,10.0096,16.4211,16.3219,27.8422,28.0481,41.4327,43.229,41.6488,45.557,25.2148,27.446,12.8029,13.2715,7.84041,7.87239,6.525,6.51774,7.26566,7.324,10.1842,10.3935,16.5757,17.1035,28.0893,29.3396,41.6129,44.2928,41.4484,44.5296,24.9171,25.7868,12.6628,12.5329,7.79351,7.64079,6.5218,6.51063,7.29617,7.48941,27.7992,18.8027,25.2587,16.635,25.9601,16.8998,32.122,21.3711,44.773,31.9051,54.6117,41.2755,53.4834,40.4971,46.5834,34.3438,38.953,27.7562,32.4628,22.3557,27.733,18.5382,25.2384,16.5461,26.0132,17.0843,32.2965,22.0498,45.0165,32.9759,54.6842,41.6089,53.3905,40.0734,46.4456,33.7489,38.8253,27.2296,32.3625,21.9581
