# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = lv_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = ./lv.data.R
# init = 2 (Default)
# random
#   seed = 2150931494
# output
#   file = sample1.stan.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,z_init.1.1,z_init.2.1,z_init.1.2,z_init.2.2,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.3.1,z.2.3.1,z.1.4.1,z.2.4.1,z.1.5.1,z.2.5.1,z.1.6.1,z.2.6.1,z.1.7.1,z.2.7.1,z.1.8.1,z.2.8.1,z.1.9.1,z.2.9.1,z.1.10.1,z.2.10.1,z.1.11.1,z.2.11.1,z.1.12.1,z.2.12.1,z.1.13.1,z.2.13.1,z.1.14.1,z.2.14.1,z.1.15.1,z.2.15.1,z.1.16.1,z.2.16.1,z.1.17.1,z.2.17.1,z.1.18.1,z.2.18.1,z.1.19.1,z.2.19.1,z.1.20.1,z.2.20.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.3.2,z.2.3.2,z.1.4.2,z.2.4.2,z.1.5.2,z.2.5.2,z.1.6.2,z.2.6.2,z.1.7.2,z.2.7.2,z.1.8.2,z.2.8.2,z.1.9.2,z.2.9.2,z.1.10.2,z.2.10.2,z.1.11.2,z.2.11.2,z.1.12.2,z.2.12.2,z.1.13.2,z.2.13.2,z.1.14.2,z.2.14.2,z.1.15.2,z.2.15.2,z.1.16.2,z.2.16.2,z.1.17.2,z.2.17.2,z.1.18.2,z.2.18.2,z.1.19.2,z.2.19.2,z.1.20.2,z.2.20.2
# Adaptation terminated
# Step size = 0.0529555
# Diagonal elements of inverse mass matrix:
# 0.0453558, 0.0740742, 0.0501078, 0.0584881, 0.0485258, 0.0681449, 0.0543993, 0.0646685, 0.0119369, 0.039542, 0.0113518, 0.0376176, 0.0313572, 0.0290979, 0.0330944, 0.0279068
-7.53868,0.533749,0.0529555,6,63,0,13.3215,1.9067,1.46372,0.0713134,0.0620146,0.218441,0.279229,0.0119563,0.0145302,6.31252,6.81237,23.3649,20.6525,0.303654,0.29514,0.743527,0.841879,8.94014,9.07753,14.8674,14.1715,25.9643,23.666,39.5425,36.856,40.0267,42.8694,24.2448,30.5392,12.1599,15.9156,7.1871,8.96703,5.69972,6.62556,6.07123,6.54969,8.28413,8.27734,13.4794,12.5006,23.5895,20.7338,37.4934,33.4546,41.5865,43.0308,27.229,34.8784,13.6809,18.9442,7.73486,10.1671,5.80799,6.95998,5.88548,6.4014,20.5233,17.4862,18.9378,15.5917,19.3216,15.43,23.0429,18.0964,30.4608,24.9176,36.1478,32.6813,35.8067,34.3456,32.1472,30.8792,27.8447,26.0628,23.9735,21.6465,20.9499,18.1914,19.1041,15.9405,19.0563,15.26,22.0696,17.046,29.0308,22.7871,35.5789,31.0678,36.2183,34.5828,32.8959,32.0193,28.5967,27.3061,24.6092,22.7057
-12.8325,0.999101,0.0529555,7,127,0,17.2923,1.26278,1.18077,0.0500664,0.0314955,0.334345,0.361686,0.0155511,0.0198071,8.03348,7.57237,21.2171,32.8402,0.360968,0.329818,1.10499,1.13436,10.8358,9.66474,16.8887,14.2475,27.7364,22.2325,41.8834,32.5133,46.4644,36.8389,31.3663,27.1889,16.1464,15.2274,9.47953,9.27256,7.48275,7.34408,7.89217,7.6244,10.4597,9.81117,16.1412,14.5301,26.505,22.6755,40.6617,32.9347,46.9544,36.6927,33.1429,26.5704,17.1653,14.8291,9.84651,9.1189,7.55114,7.31584,7.76885,7.68018,17.5294,27.0389,15.4847,23.7476,15.575,23.5963,19.1662,28.268,27.97,39.9469,37.2874,53.4315,38.1712,56.1716,33.0587,49.4171,26.8934,40.3903,21.6383,32.528,17.8079,26.8332,15.5972,23.6653,15.4485,23.6851,18.6235,28.6368,26.9638,40.6149,36.7096,53.8458,38.4411,56.0091,33.6321,49.0174,27.4452,39.9966,22.0722,32.2203
-10.7212,0.870305,0.0529555,6,127,0,22.6656,1.64264,1.42673,0.0643439,0.0573104,0.266679,0.290331,0.0141292,0.0158432,6.38561,6.08595,23.643,22.3948,0.234584,0.294657,0.700501,0.883632,8.15106,7.86327,12.6256,12.1172,21.5413,20.4094,34.9539,33.1273,42.3983,41.9375,30.6098,32.3911,15.6935,16.8307,8.7013,8.96961,6.4291,6.26116,6.47067,5.93409,8.44846,7.30424,13.275,10.9036,22.7124,18.1709,36.2605,30.1628,42.0775,41.2697,28.8937,35.8855,14.6758,19.6548,8.32812,10.1006,6.34862,6.59426,6.57353,5.85921,20.0177,18.6614,17.6835,16.2849,17.1338,15.6605,19.509,17.8343,26.2951,24.587,34.3707,33.9512,36.2036,37.2339,32.6827,33.8377,27.7568,28.4335,23.2372,23.3714,19.7253,19.3696,17.5383,16.6748,17.2114,15.6093,19.9685,17.0298,27.1643,22.6755,34.8946,32.1374,36.018,37.2493,32.2151,34.8867,27.279,29.631,22.8414,24.4003
-12.6811,0.910144,0.0529555,6,63,0,18.2419,2.16713,1.62006,0.0771383,0.0556628,0.197986,0.260452,0.0101658,0.0135979,6.69188,8.36252,25.9046,28.4647,0.397906,0.310133,0.952927,0.953259,8.92727,9.65645,14.3597,13.2948,24.9958,20.1415,39.3359,29.8819,42.854,36.6476,28.0496,31.5246,14.4586,19.9856,8.41848,12.2496,6.47877,8.97281,6.70819,8.39081,8.97801,9.84141,14.4703,13.6916,25.1897,20.807,39.513,30.6278,42.7427,36.7315,27.804,30.6958,14.3263,19.2088,8.36935,11.8696,6.46879,8.84993,6.72489,8.43034,22.9612,24.7399,21.1292,22.218,21.066,21.4072,23.981,23.1445,30.4078,28.3062,36.0629,35.1824,36.4634,38.4649,33.4369,36.6863,29.5207,32.5361,25.8567,28.1494,22.9262,24.5006,21.1137,22.0883,21.0832,21.4364,24.0505,23.4115,30.5109,28.824,36.1071,35.6199,36.4366,38.4824,33.3832,36.4183,29.4651,32.1935,25.8089,27.8386
-13.4572,0.923854,0.0529555,6,127,0,19.4409,2.16804,1.59444,0.0776143,0.0519463,0.208204,0.226242,0.00980368,0.0116697,6.77777,8.42402,26.8552,26.3694,0.381969,0.339695,0.995624,0.951097,8.4568,11.4032,13.2214,17.2661,23.392,26.7975,39.6158,37.358,48.8035,39.2327,34.6362,28.3351,17.4423,16.6178,9.52519,10.3037,6.94681,7.80964,6.97712,7.47178,9.26424,8.82367,15.0932,12.2703,26.9288,18.8144,43.4582,28.9493,47.3018,38.7597,29.7187,37.8914,14.7598,25.7621,8.56243,14.9952,6.75789,9.59745,7.30309,7.60631,23.4534,23.5562,21.1106,22.1328,20.4,22.7493,22.4962,26.4493,28.638,33.4383,35.5362,39.8654,36.9809,41.1383,34.0589,38.2026,29.8995,33.7736,25.9499,29.3977,22.77,25.7401,20.7555,23.1601,20.5902,22.0654,23.6152,23.1863,30.5406,27.5824,36.4748,34.9112,36.5262,40.5559,33.0804,40.8076,28.8898,37.4016,25.0909,32.9
-20.1016,0.777176,0.0529555,6,63,0,24.9054,2.01352,1.28714,0.0634047,0.0511142,0.187195,0.294944,0.0102522,0.0187392,7.52692,7.00045,27.1758,17.9507,0.241435,0.414732,0.586819,0.771487,10.9445,10.7911,17.8418,17.8791,29.0987,28.531,39.601,36.4428,36.4086,29.4977,22.4282,15.8227,12.2731,8.29024,7.74746,5.51064,6.25815,4.8982,6.52245,5.62411,8.48173,7.86045,12.9951,12.4897,21.5362,20.75,33.6942,31.7457,40.5118,36.1661,31.5505,25.2147,17.894,12.8749,10.1019,7.12788,6.94637,5.16628,6.17593,4.98081,24.7178,15.7257,23.6705,15.2238,24.8906,17.4449,29.5305,24.233,36.707,34.33,41.218,38.8898,40.6012,35.924,37.1754,30.2948,33.0637,24.8088,29.237,20.345,26.1402,17.1394,24.1333,15.3694,23.7939,15.5267,26.1597,18.9004,32.0902,27.1864,38.9675,36.6234,41.5037,38.5785,39.5218,34.351,35.6696,28.5919,31.5906,23.3629
-19.6674,0.924632,0.0529555,6,63,0,29.6982,1.96385,1.47042,0.0718127,0.0645609,0.229194,0.31982,0.0114946,0.0160898,7.58225,7.63175,25.785,19.6951,0.258291,0.289599,0.567926,0.749966,9.57365,10.4061,14.6252,16.655,24.3288,27.8662,37.2826,40.6468,41.2221,39.4086,28.443,23.1586,15.4619,12.0128,9.3924,7.86616,7.48712,7.12963,7.95874,8.61331,10.771,12.8276,17.1362,21.3304,28.395,34.4211,40.3673,42.8417,38.4469,32.112,23.6038,16.7401,12.8919,9.44732,8.46523,7.21531,7.40979,7.55616,8.561,10.1918,22.576,16.4785,20.5547,14.7921,20.344,15.266,23.0608,19.3489,29.2867,27.5639,35.0977,33.2554,35.6806,31.6664,32.5496,26.8144,28.4406,21.9007,24.665,17.9997,21.7846,15.4636,20.2498,14.6812,20.8236,16.6353,24.7127,22.9268,31.506,31.1636,35.8796,33.2294,34.9318,29.5072,31.2662,24.3965,27.1735,19.8975,23.6357,16.6103
