# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = lv_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = lv.data.R
# init = 2 (Default)
# random
#   seed = 2072885
# output
#   file = sample3.pmx.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,z_init.1.1,z_init.2.1,z_init.1.2,z_init.2.2,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.3.1,z.2.3.1,z.1.4.1,z.2.4.1,z.1.5.1,z.2.5.1,z.1.6.1,z.2.6.1,z.1.7.1,z.2.7.1,z.1.8.1,z.2.8.1,z.1.9.1,z.2.9.1,z.1.10.1,z.2.10.1,z.1.11.1,z.2.11.1,z.1.12.1,z.2.12.1,z.1.13.1,z.2.13.1,z.1.14.1,z.2.14.1,z.1.15.1,z.2.15.1,z.1.16.1,z.2.16.1,z.1.17.1,z.2.17.1,z.1.18.1,z.2.18.1,z.1.19.1,z.2.19.1,z.1.20.1,z.2.20.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.3.2,z.2.3.2,z.1.4.2,z.2.4.2,z.1.5.2,z.2.5.2,z.1.6.2,z.2.6.2,z.1.7.2,z.2.7.2,z.1.8.2,z.2.8.2,z.1.9.2,z.2.9.2,z.1.10.2,z.2.10.2,z.1.11.2,z.2.11.2,z.1.12.2,z.2.12.2,z.1.13.2,z.2.13.2,z.1.14.2,z.2.14.2,z.1.15.2,z.2.15.2,z.1.16.2,z.2.16.2,z.1.17.2,z.2.17.2,z.1.18.2,z.2.18.2,z.1.19.2,z.2.19.2,z.1.20.2,z.2.20.2
# Adaptation terminated
# Step size = 0.0461231
# Diagonal elements of inverse mass matrix:
# 0.0823252, 0.0914859, 0.0722229, 0.0882859, 0.0470937, 0.0783998, 0.0507673, 0.0597158, 0.0395432, 0.0436344, 0.0149629, 0.0348096, 0.0306061, 0.0408326, 0.0322813, 0.0269496
-12.617,0.949686,0.0461231,6,127,0,18.5776,0.314265,1.83249,0.00998373,0.0705818,1.3139,0.214153,0.101922,0.0113837,18.1249,6.54179,26.7192,22.5924,1.42775,0.28721,0.274059,1.02323,17.4329,9.17818,13.8812,14.9869,10.4432,25.7603,8.87706,39.5568,8.81305,42.4175,9.74637,27.6737,11.4238,14.1725,13.6774,8.10442,16.1836,6.04526,18.0602,5.98989,17.5887,7.6043,14.1599,11.6527,10.6207,19.8426,8.92894,33.0399,8.78159,43.5801,9.65695,35.9666,11.2887,19.6946,13.5098,10.3349,16.0176,6.72137,17.9844,5.81612,45.2291,19.8996,60.8368,18.3604,55.7121,18.5927,39.4625,21.7968,25.8626,28.5984,17.7716,34.7056,13.97,35.276,13.4394,32.1493,16.5494,28.0588,25.7682,24.2186,43.7964,21.0853,60.3601,18.9357,56.6355,18.1976,40.5743,19.777,26.6109,24.9588,18.1709,32.2917,14.1202,35.6777,13.3738,33.9165,16.1835,30.0605,24.8634,26.0137
-17.0088,0.842109,0.0461231,6,63,0,18.7473,0.320208,2.06413,0.0100243,0.0824989,1.29074,0.226434,0.0959448,0.0117929,19.1511,7.09448,26.9262,23.7066,1.58943,0.331005,0.281713,1.06283,18.4022,8.99226,14.5006,13.9634,10.7766,23.736,9.11172,36.8066,9.05264,39.8578,10.0505,26.238,11.844,13.8847,14.2674,8.49294,16.9897,6.97072,19.0676,7.71885,18.5964,10.9189,14.8489,18.0266,10.9949,30.1619,9.1746,40.6888,9.01427,34.3366,9.94175,19.2726,11.6789,10.5908,14.0608,7.42042,16.7821,7.07307,18.9684,8.9014,46.2115,20.7351,62.5375,18.8574,57.0025,18.6795,40.072,21.3012,26.0806,27.1986,17.8103,32.2952,13.9245,32.3796,13.3476,29.3043,16.4466,25.53,25.8085,22.1531,44.4961,19.6585,61.9675,18.5033,58.11,19.521,41.3873,23.8649,26.9588,30.186,18.2776,32.9346,14.1021,31.0915,13.2767,27.4676,16.029,23.8049,24.7544,20.8078
-13.147,0.950608,0.0461231,6,63,0,23.2072,0.3016,1.8416,0.00960859,0.0777948,1.47096,0.239318,0.108924,0.0116766,17.9639,7.19352,24.5092,21.1191,1.05104,0.225492,0.324053,0.821792,17.87,9.8488,14.988,16.0569,11.6183,27.8416,9.89415,42.6905,9.73933,43.9706,10.649,26.9551,12.3172,13.6312,14.5135,8.20835,16.8211,6.70964,18.2371,7.40437,17.174,10.4308,13.7647,17.2779,10.8413,29.8517,9.69725,44.1406,9.94161,42.3154,11.1284,24.6233,12.9997,12.5429,15.2984,7.84329,17.4629,6.68751,18.2257,7.65516,40.6608,18.316,57.0218,16.6969,55.2349,16.8814,40.2689,20.1077,26.6352,26.864,18.4245,32.2057,14.6964,31.8313,14.5036,28.3081,18.3964,24.249,28.952,20.6872,47.05,18.0213,58.8403,16.5969,50.8502,17.1033,35.208,20.8429,23.3292,27.8347,16.7611,32.4731,14.2522,31.4638,15.2556,27.7607,20.984,23.7309,34.3685,20.2715
-17.0475,0.988473,0.0461231,6,63,0,23.4168,0.259128,2.18667,0.00863435,0.0499999,1.56102,0.198356,0.10614,0.00991257,19.0642,6.31804,28.9714,42.8928,0.830781,0.410389,0.354104,0.915469,18.0224,7.55541,15.0762,11.3709,12.3831,19.6944,11.1663,33.9863,11.2432,45.9061,12.221,37.3291,13.8316,19.9042,15.8393,10.4254,17.8485,6.96318,19.0387,6.33276,18.2234,7.66815,15.3763,11.6449,12.5763,20.2438,11.2185,34.7498,11.1928,46.0449,12.0994,36.4743,13.6602,19.2501,15.6432,10.16,17.6785,6.88326,18.995,6.35165,44.4943,37.6163,54.5615,33.7893,48.6455,32.1687,35.1629,34.2803,24.0161,42.2053,17.3977,53.2563,14.4876,57.7863,14.6535,54.6979,18.4335,48.7358,27.7491,42.6169,43.0113,37.397,54.2813,33.6541,49.7328,32.168,36.4108,34.5132,24.862,42.7253,17.8429,53.6823,14.6265,57.7745,14.504,54.4478,17.883,48.436,26.5875,42.3431
-19.4519,0.948791,0.0461231,6,63,0,24.3152,0.280845,2.25195,0.00930216,0.0525334,1.5841,0.199308,0.106022,0.0113003,20.4787,5.49539,21.4337,39.4227,1.124,0.278627,0.301196,0.979673,20.5675,7.50438,16.8557,12.5873,12.4928,23.0626,10.4376,37.6987,10.3241,40.199,11.4158,24.1246,13.3491,11.6005,15.9102,6.64634,18.7364,5.24059,20.8077,5.70007,19.9926,8.12563,15.6828,13.9875,11.7739,25.575,10.2679,39.7187,10.4948,38.1289,11.8116,21.2171,13.915,10.3009,16.5867,6.21732,19.3649,5.20118,20.9678,5.96346,39.9818,34.6884,61.2946,31.713,58.7124,31.5889,39.7607,36.5027,24.1952,47.472,15.579,56.3154,11.8008,55.9608,11.3662,50.5778,14.6393,44.2219,24.7883,38.4808,45.8237,34.0105,63.4001,31.4363,54.646,32.0145,35.3712,38.0829,21.5571,49.574,14.3128,56.885,11.4133,55.2125,11.7503,49.452,16.2547,43.1328,28.8494,37.5792
-14.7857,0.657004,0.0461231,6,63,0,26.9103,0.293763,2.16501,0.00931595,0.0539529,1.44042,0.206812,0.100545,0.010769,19.5117,5.46341,23.5722,36.9839,0.965011,0.267223,0.291947,0.970045,19.5349,7.41719,16.275,12.5191,12.3138,23.5066,10.242,40.5722,9.94754,46.6781,10.8199,28.7274,12.5195,13.187,14.842,7.09789,17.4708,5.31613,19.5807,5.57738,19.4466,7.78994,16.0617,13.3905,12.1602,25.1978,10.1914,42.3335,9.96715,45.5771,10.8865,26.4589,12.6216,12.1476,14.9689,6.75584,17.598,5.25965,19.6442,5.71399,40.8223,32.1697,59.8321,29.0118,59.0386,28.4524,42.6918,32.6051,27.5667,43.3986,18.3979,53.5709,14.0006,54.0324,13.0646,48.7222,15.6993,42.2584,24.1931,36.3833,41.8862,31.7261,60.3836,28.7955,58.4272,28.6279,41.8268,33.485,26.9733,44.8208,18.0823,54.1107,13.8787,53.6109,13.1023,48.0116,15.9522,41.5607,24.8387,35.7978
-14.2631,0.998649,0.0461231,6,63,0,19.7938,0.307014,1.43154,0.00930545,0.0589672,1.34651,0.301634,0.117634,0.0152155,15.2378,9.15888,32.0147,22.1497,1.0352,0.414084,0.298531,0.841158,14.2782,11.4234,11.6856,16.4243,9.41134,24.8182,8.41529,34.4853,8.50187,36.7597,9.35746,27.0533,10.7789,16.3339,12.5676,10.7529,14.3335,8.90919,15.2409,9.41848,14.2197,12.1443,11.6077,17.7721,9.36499,26.7457,8.40457,35.8447,8.51674,35.6328,9.39082,24.6963,10.8258,14.8695,12.6207,10.1703,14.3764,8.84395,15.2424,9.75739,48.3033,19.1027,58.274,17.392,51.8521,17.5309,38.0158,20.4063,26.5134,26.3741,19.593,32.0182,16.5819,32.7569,16.9914,29.5902,21.5798,25.3265,32.4229,21.4774,48.7576,18.6584,58.3129,17.2533,51.4967,17.8388,37.6321,21.3442,26.2546,27.6707,19.4579,32.5893,16.5462,32.3533,17.0567,28.7902,21.7905,24.5282,32.8366,20.8437
-13.5069,0.970433,0.0461231,6,127,0,24.0225,0.211928,2.57332,0.00687585,0.0779932,1.90768,0.171285,0.0926823,0.0086439,25.6137,6.42279,29.9515,31.1881,0.817646,0.285607,0.342303,0.708191,24.4111,8.4288,21.012,13.6663,17.8161,24.5032,16.3621,40.0832,16.4968,44.7173,17.7202,29.1033,19.6624,14.6879,22.0069,8.36964,24.2827,6.34938,25.5882,6.56098,24.6444,8.89783,21.3694,14.7346,18.0525,26.4519,16.424,41.8662,16.43,43.4872,17.5678,26.6945,19.4547,13.4525,21.7768,7.92276,24.0892,6.26678,25.5414,6.73499,46.1337,27.9728,56.7143,25.851,50.3452,25.5644,35.9067,28.4678,24.1854,35.1713,17.408,41.0912,14.5446,41.5665,14.8626,38.5213,18.9061,34.5192,28.6533,30.7123,44.554,27.615,56.4108,25.6838,51.5368,25.7317,37.26,29.172,25.0813,36.1722,17.8656,41.4758,14.6768,41.2913,14.6919,38.0059,18.3143,33.9853,27.4202,30.2491
-11.6895,0.910217,0.0461231,6,63,0,19.4115,0.286936,1.99108,0.00949438,0.0793604,1.41333,0.208641,0.117591,0.0105938,16.0058,8.25246,29.3665,23.3958,0.886494,0.274439,0.321967,0.884933,14.9935,10.4657,12.2655,15.5716,9.87503,24.6731,8.83319,35.8211,8.91783,38.9145,9.78854,28.382,11.231,16.6353,13.0533,10.4283,14.8994,8.15785,15.9862,8.22009,15.175,10.3632,12.5236,15.3639,10.0341,24.3433,8.8741,35.5355,8.87462,39.0477,9.68578,28.7875,11.0846,16.9077,12.8835,10.5456,14.751,8.18765,15.951,8.18952,45.234,20.9263,55.0755,19.4367,48.6846,19.4536,35.1281,21.7821,24.0522,26.6049,17.4662,31.0888,14.5564,31.8935,14.7319,29.7422,18.5927,26.5717,28.1743,23.4812,43.8117,20.9881,54.8605,19.4629,49.7435,19.4239,36.3061,21.6717,24.8478,26.4423,17.8865,31.0011,14.6876,31.9231,14.5869,29.8294,18.0569,26.6692,27.0383,23.5671
