lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,z_init.1.1,z_init.2.1,z_init.1.2,z_init.2.2,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,z.1.1.1,z.2.1.1,z.1.2.1,z.2.2.1,z.1.3.1,z.2.3.1,z.1.4.1,z.2.4.1,z.1.5.1,z.2.5.1,z.1.6.1,z.2.6.1,z.1.7.1,z.2.7.1,z.1.8.1,z.2.8.1,z.1.9.1,z.2.9.1,z.1.10.1,z.2.10.1,z.1.11.1,z.2.11.1,z.1.12.1,z.2.12.1,z.1.13.1,z.2.13.1,z.1.14.1,z.2.14.1,z.1.15.1,z.2.15.1,z.1.16.1,z.2.16.1,z.1.17.1,z.2.17.1,z.1.18.1,z.2.18.1,z.1.19.1,z.2.19.1,z.1.20.1,z.2.20.1,z.1.1.2,z.2.1.2,z.1.2.2,z.2.2.2,z.1.3.2,z.2.3.2,z.1.4.2,z.2.4.2,z.1.5.2,z.2.5.2,z.1.6.2,z.2.6.2,z.1.7.2,z.2.7.2,z.1.8.2,z.2.8.2,z.1.9.2,z.2.9.2,z.1.10.2,z.2.10.2,z.1.11.2,z.2.11.2,z.1.12.2,z.2.12.2,z.1.13.2,z.2.13.2,z.1.14.2,z.2.14.2,z.1.15.2,z.2.15.2,z.1.16.2,z.2.16.2,z.1.17.2,z.2.17.2,z.1.18.2,z.2.18.2,z.1.19.2,z.2.19.2,z.1.20.2,z.2.20.2
# Adaptation terminated
# Step size = 0.0444008
# Diagonal elements of inverse mass matrix:
# 0.04729, 0.077416, 0.0541302, 0.0639309, 0.0519487, 0.0859423, 0.060847, 0.0695827, 0.0123393, 0.0358629, 0.017034, 0.034888, 0.02867, 0.0198103, 0.0357503, 0.027299
-13.9448,0.983676,0.0444008,7,127,0,23.6576,1.08387,2.61459,0.0450619,0.0814953,0.358057,0.154893,0.0223974,0.00899426,7.71933,6.83555,18.1098,30.1855,0.351008,0.284349,0.937331,0.654756,10.7604,8.87215,16.2573,13.5991,24.3727,22.2227,31.6996,32.7719,29.7148,35.0953,19.0452,24.8984,10.87,14.3138,7.30621,8.81572,6.33764,6.751,6.95656,6.67156,9.13722,8.33826,13.4402,12.4762,20.4849,20.3582,28.999,31.0742,32.1935,35.7808,24.1017,27.1654,13.8738,15.8573,8.47579,9.4972,6.54487,6.9543,6.50087,6.56287,15.51,27.7029,14.596,26.1847,16.0222,26.2667,21.1673,28.8468,30.1412,33.8854,36.541,38.2219,35.3538,38.912,30.0937,36.856,24.4242,33.794,19.761,30.7073,16.4874,28.0966,14.7713,26.365,15.0198,26.0928,18.2968,28.1601,25.8747,32.8878,34.5537,37.6746,36.6956,39.0493,32.6624,37.3462,26.8927,34.3727,21.6947,31.2451
-13.0937,0.94038,0.0444008,6,63,0,18.0598,1.10825,2.61091,0.0467635,0.0924808,0.391511,0.157383,0.0202309,0.00732862,7.65998,6.91719,18.9063,26.0448,0.333908,0.302286,0.999371,0.606619,10.499,9.53506,16.3468,15.8569,26.3613,28.4878,38.4093,45.6103,40.1822,49.1512,25.5071,31.4175,13.0932,15.8575,8.11463,8.97696,6.88204,6.65613,7.72613,6.63393,10.6566,8.63327,16.6444,13.8216,26.8171,24.7047,38.7744,41.6713,39.8541,50.7514,24.8917,36.4312,12.7944,18.7517,8.01809,10.0986,6.87991,6.968,7.79514,6.46635,15.2966,23.5964,13.4834,22.0593,13.9387,22.0733,18.2017,24.759,28.1246,30.4048,37.4636,35.1134,36.8771,35.461,30.6155,33.0506,23.9864,29.8485,18.7389,26.7437,15.1946,24.1294,13.4541,22.3256,14.0159,21.872,18.4709,23.7883,28.5717,28.8781,37.6311,34.3359,36.6972,35.7314,30.353,33.7701,23.7593,30.6475,18.5739,27.4725
-13.0645,0.993637,0.0444008,6,63,0,17.8643,1.04611,2.81318,0.0467295,0.102505,0.391983,0.147449,0.019677,0.00773016,7.84502,6.70526,18.483,25.835,0.317669,0.303054,1.01532,0.632306,10.3053,8.89428,15.4356,14.2277,24.3307,24.6294,36.1811,38.3277,42.2514,41.4496,31.5275,27.8607,16.9847,14.9182,9.82766,8.76548,7.48742,6.59929,7.5607,6.57911,9.52868,8.47582,13.9345,13.3021,21.8805,22.9872,33.4138,36.7624,42.1777,42.1909,35.2162,29.917,19.77,16.1582,10.9318,9.26847,7.7687,6.73641,7.37591,6.48266,14.8779,23.643,12.882,22.2501,12.7858,22.229,15.6513,24.4852,23.3925,29.1215,33.4756,33.0369,36.1009,33.4804,31.4073,31.5472,25.0334,28.8375,19.5535,26.1542,15.5801,23.8869,13.1974,22.3672,12.6006,22.1255,14.614,24.0424,21.1016,28.4739,31.461,32.7184,36.3651,33.5978,32.8216,31.8622,26.4927,29.193,20.7083,26.4802
-12.4274,0.580209,0.0444008,7,127,0,20.5327,1.27471,1.00928,0.0298381,0.0374939,0.320684,0.439294,0.0172573,0.0223116,7.10897,7.12842,34.9199,21.9304,0.322462,0.354164,0.947011,0.999885,9.82765,9.50411,15.4813,14.6432,25.3386,23.9103,37.4446,36.8776,39.8632,43.5449,26.0722,30.2847,13.4698,14.8367,8.02645,8.41415,6.38807,6.69308,6.73824,7.24195,8.88869,9.79919,13.6397,15.219,22.342,24.8606,34.5309,37.8897,41.0562,43.2197,30.3325,28.763,15.9744,14.028,8.95385,8.15466,6.58748,6.66621,6.48541,7.36795,29.2308,16.9459,26.25,14.2073,26.9186,13.9547,33.6526,17.6718,48.8255,28.7773,63.3928,43.5923,63.9729,45.69,55.4456,37.6728,45.3995,28.5809,36.806,21.4431,30.4741,16.643,26.7331,14.0863,26.2906,14.0729,31.1075,18.2428,44.2164,30.0298,60.7037,44.3696,65.1097,45.26,58.0325,36.9084,47.946,27.9204,38.8485,20.9711
-16.5733,0.985984,0.0444008,7,127,0,21.4632,2.66655,1.26146,0.137334,0.0371916,0.161521,0.322848,0.00746679,0.0173101,7.0156,8.50963,18.2814,30.5326,0.256719,0.326052,0.718758,1.05454,9.313,10.5566,15.1782,14.9767,27.1985,22.3989,44.2089,31.5154,48.9386,35.4528,31.8962,27.8961,16.1932,17.1131,9.21508,10.8537,6.91807,8.46921,7.03373,8.3966,9.37421,10.2081,15.3177,14.3106,27.455,21.3785,44.4557,30.5238,48.7959,35.5776,31.5712,29.2061,16.0186,18.184,9.14986,11.3466,6.90334,8.60963,7.05241,8.30852,16.5056,25.9985,15.343,23.3875,15.2229,23.3001,16.9092,26.9229,20.6852,35.3215,23.9701,44.8844,24.2599,47.7864,22.6009,43.767,20.3849,37.3044,18.2488,31.1709,16.4809,26.4385,15.3311,23.5786,15.2335,23.1477,16.956,26.2555,20.754,34.1324,23.9996,43.9916,24.2436,47.8843,22.5667,44.443,20.3483,38.0777,18.2164,31.8291
-11.165,0.998361,0.0444008,6,63,0,25.1674,1.88601,1.14433,0.0901821,0.0318922,0.23602,0.354897,0.0111121,0.020209,6.7218,7.61396,19.4,28.095,0.325658,0.346719,0.885264,0.856051,8.77132,10.5528,14.0646,16.2514,24.9781,25.3938,41.5757,35.0721,49.2172,34.7452,33.11,22.2586,16.2065,12.0968,8.91818,7.759,6.67039,6.56969,6.87785,7.19914,9.2977,9.60519,15.2465,14.518,27.1627,22.8378,43.8758,33.0869,48.1392,36.3328,30.0634,25.6573,14.6318,13.9903,8.37201,8.45259,6.57251,6.67162,7.07872,6.8906,16.6614,23.5821,14.8797,21.5609,14.5057,22.9063,16.5448,29.7661,22.0877,43.3967,27.9812,54.5816,28.7907,53.5512,25.9654,45.5573,22.2961,36.7888,18.9498,29.5678,16.3339,24.4877,14.721,21.8002,14.6197,22.165,17.1334,27.3881,23.0972,39.63,28.4554,52.8577,28.5187,54.7907,25.4388,47.7793,21.7723,38.8708,18.5154,31.1745
-11.2094,0.93294,0.0444008,6,127,0,18.4666,1.7385,1.53718,0.0665064,0.0470442,0.264025,0.305447,0.0124499,0.015391,6.99523,7.58537,24.072,33.3281,0.290077,0.333696,0.694205,0.956677,9.13394,8.44421,14.5933,11.7948,25.6195,18.8735,41.7172,30.484,47.7141,40.7023,31.0534,35.1142,15.2184,20.0608,8.67917,11.1662,6.82893,7.98293,7.40011,7.75252,10.3886,9.78998,17.3238,14.8515,30.389,24.3452,45.8849,36.794,44.2545,40.2647,25.0159,27.1702,12.4036,14.5603,7.76641,9.0494,6.78083,7.58045,8.029,8.49178,20.3855,27.702,18.0657,23.7603,17.6974,22.0382,20.639,23.6264,28.3202,30.4398,36.0223,41.1978,36.4986,46.3097,32.2937,42.9699,27.2285,36.5026,22.7968,30.2681,19.4978,25.4452,17.6981,22.5541,18.1671,22.3283,22.5398,26.3562,31.2032,35.9416,36.9804,45.0582,35.4561,45.3294,30.7034,39.7648,25.7469,33.179,21.6324,27.5871
-11.5396,0.993133,0.0444008,6,127,0,20.0531,1.17768,1.45526,0.0484604,0.0543351,0.373036,0.266039,0.0184363,0.0129005,6.94197,8.4717,19.5605,22.1654,0.327937,0.335263,0.814007,0.87778,9.67345,11.8346,15.6155,18.5857,26.5682,29.8156,41.4275,42.1005,45.9115,42.3925,28.5606,27.7277,13.4527,15.0833,7.72979,9.31103,6.28041,7.42021,6.96241,7.66998,9.72535,9.84611,15.7198,14.7432,26.7438,23.7461,41.5997,36.5458,45.8059,44.6402,28.3026,35.7629,13.3328,20.3508,7.69242,11.4796,6.27733,8.0203,6.98316,7.32015,15.6407,19.3097,13.5132,17.9273,13.609,18.6874,17.5345,22.8726,27.953,30.8543,38.9825,37.4364,38.8558,37.5101,32.2067,33.4522,25.1335,28.4783,19.4996,24.0103,15.6021,20.555,13.4987,18.3942,13.6295,17.9791,17.6222,20.2909,28.1216,26.6113,39.0576,34.8813,38.7936,38.2474,32.1123,35.7171,25.0514,30.9186,19.4391,26.1034
-12.0036,0.983638,0.0444008,6,63,0,18.716,1.17536,1.71611,0.0419656,0.0589588,0.336806,0.257792,0.0191267,0.0144757,7.76218,6.04531,21.7858,26.9033,0.301156,0.265345,1.2462,0.703264,10.8575,7.78905,16.7683,12.1859,26.0969,20.9352,35.5773,33.7936,34.6186,39.8158,22.0729,27.6831,12.0924,14.0811,7.78536,7.93757,6.56215,6.00295,7.12567,6.18409,9.41819,8.24867,14.1434,13.1853,22.2336,22.7109,32.5451,35.6133,36.8479,39.0207,27.1879,25.2124,15.0728,12.7284,8.92056,7.4547,6.77792,5.91641,6.72706,6.36381,18.5204,22.9228,17.1317,20.385,18.3422,19.8954,23.7781,22.8054,34.0633,30.6272,42.1064,39.2006,41.2501,40.6192,35.3788,36.5436,28.8787,31.135,23.4452,26.2231,19.5493,22.4365,17.405,20.1572,17.4988,20.0706,21.1047,23.6655,29.852,32.1139,40.035,39.9487,42.4881,40.2282,37.8302,35.7429,31.2523,30.3375,25.325,25.569
-14.4466,0.95135,0.0444008,7,127,0,23.9837,2.81222,1.83491,0.0867632,0.0927416,0.143309,0.236357,0.00745406,0.0119049,7.56058,8.03681,29.602,18.8526,0.275358,0.346988,0.650361,1.00574,10.6761,9.81717,17.4711,14.3668,29.248,22.9342,40.8714,34.5907,38.0136,39.9965,23.5697,30.3413,12.9927,17.554,8.25532,10.6666,6.73611,8.1721,7.16273,8.18631,9.621,10.3689,15.3124,15.5216,25.8928,24.8347,38.7533,36.3733,40.4831,39.3286,27.2305,27.9029,14.9988,15.9387,9.05502,9.99953,6.91174,8.02303,6.88755,8.39704,27.4064,16.5158,26.2978,15.0076,27.0441,14.7288,30.5636,16.3697,35.9559,20.4205,39.2417,24.8006,38.7986,25.9237,36.2898,24.0718,33.2043,21.1937,30.2673,18.4053,27.877,16.1894,26.439,14.8575,26.6255,14.8504,29.4041,16.9016,34.628,21.2661,38.7924,25.2749,39.1827,25.7587,37.0162,23.6074,33.9848,20.6903,30.967,17.9753
