# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_group_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = mpi_sample.2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1,y.2.1,y.1.2,y.2.2,y.1.3,y.2.3,y.1.4,y.2.4,y.1.5,y.2.5,y.1.6,y.2.6,y.1.7,y.2.7,y.1.8,y.2.8,y.1.9,y.2.9,y.1.10,y.2.10,y.1.11,y.2.11,y.1.12,y.2.12,y.1.13,y.2.13,y.1.14,y.2.14
# Adaptation terminated
# Step size = 0.600877
# Diagonal elements of inverse mass matrix:
# 0.0576315, 0.0686271, 0.0658125, 0.0854253, 0.0333421, 0.0243009
-14.0333,0.893479,0.600877,3,7,0,16.0451,1.77517,1.13951,1.07121,0.552271,2.93366,2.49907,0.0865226,0.741631,0.277545,-0.0304019,0.209109,-0.0761072,0.142781,-0.0557234,0.0964492,-0.0379341,0.0650707,-0.0256158,0.00908801,-0.00357802,0.0883364,0.774637,0.314218,-0.021703,0.233101,-0.0982618,0.147108,-0.0711119,0.0899799,-0.0446807,0.0546645,-0.0273036,0.00448267,-0.00224273
-17.2629,0.908756,0.600877,3,7,0,19.3518,1.99844,0.93948,1.14035,0.675408,4.28878,3.50839,0.0811843,0.647467,0.201171,-0.0322043,0.160609,-0.0394326,0.125464,-0.0310399,0.0979631,-0.0242402,0.0764891,-0.0189267,0.0221965,-0.00549236,0.0842013,0.700129,0.239494,-0.0340003,0.184946,-0.0562013,0.135651,-0.0423826,0.0992166,-0.0310466,0.0725568,-0.0227062,0.0151749,-0.00474892
-15.48,0.998179,0.600877,3,7,0,18.2428,0.78713,1.18498,0.728746,0.63778,1.90215,2.77569,0.090913,0.822376,0.380208,0.00642606,0.279858,-0.144517,0.149249,-0.107333,0.0680894,-0.0574356,0.0278433,-0.0262572,1.24653e-05,-8.58058e-05,0.087176,0.753463,0.289965,-0.0280284,0.217124,-0.0832941,0.144515,-0.0606239,0.0946841,-0.0402051,0.0618948,-0.0263282,0.00737441,-0.00313779
-15.0245,0.917768,0.600877,3,7,0,19.0369,1.07256,0.713054,1.05186,1.05307,3.74946,3.4708,0.083253,0.68342,0.226269,-0.0339721,0.176591,-0.0500438,0.132495,-0.038257,0.0992496,-0.0286799,0.0743411,-0.0214828,0.0175276,-0.00506508,0.0843505,0.702772,0.241687,-0.0339422,0.186331,-0.0572604,0.136139,-0.0430902,0.0991647,-0.0314405,0.0722192,-0.0228996,0.0147947,-0.00469122
-12.3593,0.971085,0.600877,3,7,0,16.4514,1.11694,0.986035,1.21721,0.672096,3.62764,2.94167,0.0837304,0.691814,0.232777,-0.0340665,0.180705,-0.0530247,0.134094,-0.0402576,0.0992937,-0.0298425,0.0735174,-0.0220967,0.0163577,-0.00491655,0.0864897,0.741036,0.276941,-0.0305023,0.208721,-0.075766,0.142689,-0.0554923,0.0965242,-0.0378239,0.0652161,-0.0255778,0.00917518,-0.00359892
-13.4485,0.941024,0.600877,2,3,0,14.0204,1.07726,1.15308,1.30885,0.744687,3.84362,2.85809,0.0828867,0.677002,0.221469,-0.0338039,0.173551,-0.0479059,0.131258,-0.0368168,0.0991415,-0.027825,0.0748798,-0.0210162,0.0184037,-0.00516531,0.0868343,0.747267,0.283367,-0.0293629,0.212854,-0.0794344,0.143629,-0.0579833,0.0956753,-0.038997,0.0636265,-0.0259661,0.00826623,-0.00337409
-13.7481,0.946175,0.600877,3,7,0,16.152,1.4872,1.21782,1.03072,0.557911,2.60545,2.40416,0.0878876,0.766424,0.304486,-0.0245079,0.226632,-0.0921113,0.146191,-0.0667488,0.0920703,-0.0428774,0.0577295,-0.0269833,0.00556771,-0.0026046,0.0887394,0.782038,0.323361,-0.0187454,0.239262,-0.104211,0.147823,-0.0754147,0.0877623,-0.0463865,0.0515829,-0.0275094,0.00355896,-0.00190403
-14.3591,0.990809,0.600877,3,7,0,15.5941,0.824914,0.906234,0.738683,0.832645,2.306,3.7308,0.0891588,0.789767,0.333308,-0.0151772,0.246066,-0.110864,0.148442,-0.080333,0.0850648,-0.0482575,0.0480058,-0.0276203,0.00266243,-0.00154167,0.0833259,0.684699,0.227244,-0.0339961,0.177207,-0.0504842,0.13274,-0.0385531,0.0992637,-0.0288538,0.0742245,-0.0215762,0.017351,-0.00504374
-12.1103,1,0.600877,3,7,0,15.0788,0.822904,1.1218,0.954629,0.690522,2.6901,3.06802,0.0875328,0.759952,0.297111,-0.026396,0.221783,-0.0875779,0.145387,-0.0635822,0.0934727,-0.0415176,0.0599061,-0.0266758,0.00645797,-0.00287714,0.0859722,0.731714,0.267708,-0.0318624,0.202818,-0.0706526,0.141205,-0.052045,0.0975444,-0.0361435,0.0673326,-0.0249618,0.0105479,-0.00391059
-13.3725,0.847185,0.600877,3,7,0,17.7779,1.49927,1.31008,1.04524,0.570259,3.69725,2.8357,0.0834572,0.687005,0.229016,-0.0340308,0.178328,-0.0512903,0.133181,-0.0390945,0.0992825,-0.0291701,0.0740064,-0.0217446,0.0170312,-0.00500412,0.086927,0.748946,0.285133,-0.0290219,0.213995,-0.0804585,0.143874,-0.0586818,0.0954219,-0.0393201,0.0631728,-0.0260668,0.0080233,-0.00331132
-14.9728,0.666335,0.600877,3,7,0,21.8905,0.830672,1.07901,0.766992,1.03576,2.08128,2.95423,0.0901292,0.807749,0.358131,-0.00470849,0.263568,-0.128236,0.14929,-0.0937883,0.0769848,-0.0530237,0.0380303,-0.027321,0.000932104,-0.000699864,0.086438,0.740104,0.275998,-0.0306562,0.208116,-0.0752352,0.142545,-0.0551332,0.0966391,-0.037652,0.0654414,-0.025518,0.00931183,-0.0036314
-14.8909,0.990902,0.600877,3,7,0,17.7276,1.15533,0.762135,0.975274,0.400171,3.427,3.5436,0.0845248,0.705863,0.244289,-0.0338499,0.187974,-0.0585311,0.136706,-0.0439387,0.0990859,-0.0319084,0.0718034,-0.0231255,0.0143477,-0.00462094,0.0840619,0.697664,0.237474,-0.0340378,0.183671,-0.0552352,0.135192,-0.0417369,0.0992529,-0.030684,0.0728574,-0.0225255,0.0155278,-0.00480081
-13.1635,0.446407,0.600877,2,3,0,23.4084,1.35216,1.21353,0.926976,0.73158,3.90775,3.43374,0.0826384,0.672666,0.218308,-0.0336483,0.171546,-0.0465264,0.130416,-0.0358845,0.0990352,-0.0272635,0.0752022,-0.0207028,0.018986,-0.00522676,0.084498,0.705386,0.243885,-0.0338659,0.187719,-0.0583329,0.136619,-0.0438064,0.0990993,-0.0318358,0.071869,-0.0230907,0.0144168,-0.00463197
-13.7088,0.988871,0.600877,3,7,0,14.5603,0.902773,0.941577,0.875012,0.641854,2.11337,2.68016,0.0899898,0.805157,0.3544,-0.00642249,0.260886,-0.125558,0.149224,-0.0916515,0.0783258,-0.0522964,0.0396274,-0.0274228,0.00114529,-0.000818317,0.0875744,0.760709,0.29796,-0.026189,0.222339,-0.0880945,0.145484,-0.0639411,0.0933191,-0.041674,0.0596617,-0.026714,0.00635249,-0.00284589
-13.1343,0.846997,0.600877,2,7,0,18.6294,1.24056,0.914811,1.22081,0.570023,2.39314,2.90294,0.0887863,0.782901,0.324453,-0.0183716,0.240003,-0.104932,0.147899,-0.075942,0.087481,-0.0465909,0.0512019,-0.0275275,0.00345503,-0.00186387,0.0866491,0.743917,0.279886,-0.0299997,0.210612,-0.0774362,0.143129,-0.0566244,0.0961493,-0.0383612,0.0644994,-0.02576,0.00875372,-0.00349659
-14.5006,0.897043,0.600877,3,7,0,16.8881,1.17191,0.705547,0.831611,0.665248,3.83621,2.64203,0.0829154,0.677505,0.22184,-0.0338199,0.173786,-0.0480692,0.131355,-0.036927,0.0991522,-0.027891,0.0748403,-0.0210526,0.0183357,-0.00515786,0.0877341,0.76362,0.30126,-0.0253591,0.224505,-0.0901145,0.145851,-0.0653492,0.0927028,-0.0422819,0.0586971,-0.0268554,0.00595004,-0.00272413
-12.3907,1,0.600877,3,7,0,15.9943,0.794036,1.1384,0.809503,0.745064,3.37582,3.0779,0.0847291,0.709491,0.247395,-0.0337064,0.189937,-0.0600679,0.137365,-0.0449646,0.0989676,-0.0324677,0.0712856,-0.0233897,0.01382,-0.00453456,0.0859319,0.73099,0.26701,-0.0319521,0.202373,-0.0702732,0.141086,-0.0517902,0.0976121,-0.0360166,0.0674847,-0.0249126,0.0106549,-0.00393355
-12.51,0.987898,0.600877,3,7,0,13.6731,1.42016,1.05379,1.03898,0.559053,2.4942,3.27697,0.088357,0.775015,0.314676,-0.0215621,0.233408,-0.0985563,0.147148,-0.071323,0.0898745,-0.044766,0.0545146,-0.0273161,0.0044341,-0.00222567,0.0851256,0.716554,0.253604,-0.0333097,0.193864,-0.0632056,0.138624,-0.0470593,0.0986521,-0.0335882,0.070181,-0.0238998,0.0127857,-0.00435417
-11.9492,0.985639,0.600877,3,7,0,13.6027,1.39392,0.893743,1.0326,0.702231,2.7809,3.14547,0.0871543,0.753069,0.289539,-0.0281195,0.216848,-0.0830423,0.14446,-0.060451,0.0947517,-0.0401271,0.0620095,-0.026306,0.00743063,-0.00315317,0.085657,0.726057,0.262318,-0.0325055,0.199388,-0.067754,0.140264,-0.0501008,0.098032,-0.0351652,0.0684765,-0.0245725,0.0113839,-0.00408522
-12.6994,0.828635,0.600877,3,7,0,15.9657,1.0502,1.68973,0.794712,0.636128,3.10297,3.36772,0.0858298,0.729156,0.265251,-0.0321693,0.201254,-0.0693235,0.140783,-0.0511528,0.0977765,-0.0356973,0.0678624,-0.024787,0.0109259,-0.00399091,0.0847615,0.710068,0.247893,-0.0336799,0.190251,-0.0603165,0.137469,-0.0451305,0.0989462,-0.0325575,0.0712004,-0.0234315,0.013736,-0.00452046
-14.3044,0.806442,0.600877,3,7,0,17.3041,1.05306,1.64819,1.12082,0.562507,3.82284,3.46563,0.0829673,0.678413,0.222512,-0.0338475,0.174212,-0.0483658,0.131531,-0.0371271,0.0991705,-0.0280105,0.0747678,-0.0211185,0.0182126,-0.00514424,0.084371,0.703136,0.241991,-0.0339328,0.186523,-0.0574082,0.136206,-0.0431889,0.0991564,-0.0314952,0.0721714,-0.0229262,0.0147422,-0.0046831
-11.9915,1,0.600877,2,7,0,14.5672,1.29013,1.43406,0.972953,0.598408,2.95159,3.04573,0.0864489,0.7403,0.276196,-0.0306242,0.208243,-0.0753462,0.142575,-0.0552083,0.0966153,-0.037688,0.0653943,-0.0255306,0.00928313,-0.00362461,0.0860632,0.73335,0.269297,-0.0316517,0.203831,-0.0715189,0.141472,-0.0526274,0.0973856,-0.0364321,0.0669826,-0.0250725,0.0103063,-0.00385804
-15.6626,0.644166,0.600877,2,7,0,21.8298,1.72258,1.48334,1.18726,0.780225,3.58828,2.37978,0.0838854,0.694547,0.234955,-0.0340634,0.18208,-0.0540434,0.134609,-0.0409397,0.0992823,-0.0302324,0.0732182,-0.022297,0.0159714,-0.00486375,0.0888433,0.783951,0.325785,-0.0179095,0.24091,-0.105815,0.147989,-0.0765896,0.0871327,-0.0468407,0.050733,-0.0275476,0.00333002,-0.00181497
-16.02,0.973757,0.600877,3,7,0,19.4681,0.722005,0.808559,0.646712,0.757839,2.87899,4.01845,0.086748,0.745705,0.281736,-0.0296671,0.211803,-0.0784948,0.143398,-0.0573437,0.0959016,-0.038699,0.064039,-0.0258708,0.00849323,-0.0034317,0.0822122,0.665245,0.213049,-0.0333115,0.168204,-0.0442803,0.128967,-0.0343606,0.0987957,-0.0263317,0.0756808,-0.0201712,0.0199629,-0.00532071
-17.2771,0.938627,0.600877,3,7,0,19.2202,1.82279,1.39072,1.5439,0.587745,2.83153,2.19137,0.0869443,0.749259,0.285465,-0.0289566,0.214209,-0.0806515,0.143919,-0.0588137,0.0953733,-0.0393808,0.0630868,-0.0260854,0.00797802,-0.00329949,0.089652,0.798889,0.345596,-0.0102712,0.25463,-0.119331,0.148983,-0.0867736,0.0813106,-0.0505968,0.0432577,-0.0275809,0.00171438,-0.00111052
-13.3421,0.988666,0.600877,3,7,0,18.7355,1.39196,1.1467,1.26886,0.952425,3.43999,2.97951,0.0844731,0.704945,0.243511,-0.0338802,0.187483,-0.0581499,0.136538,-0.0436842,0.0991114,-0.0317686,0.0719293,-0.0230584,0.0144808,-0.00464214,0.0863342,0.738232,0.274117,-0.030953,0.206911,-0.0741822,0.142252,-0.0544218,0.0968611,-0.0373093,0.0658845,-0.0253965,0.00958687,-0.00369579
-14.9172,0.921107,0.600877,3,7,0,17.2275,1.30148,0.749764,0.81497,1.07476,2.90725,3.93657,0.0866314,0.743596,0.279555,-0.0300578,0.2104,-0.0772478,0.143081,-0.0564965,0.0961926,-0.0383009,0.0645808,-0.0257399,0.00880062,-0.00350814,0.0825272,0.670726,0.216916,-0.0335685,0.170662,-0.0459257,0.130038,-0.0354777,0.0989794,-0.0270164,0.075336,-0.0205633,0.0192437,-0.00525266
-12.1101,1,0.600877,2,3,0,15.3817,1.50374,0.964564,0.928684,0.832743,3.06503,2.99258,0.0859844,0.731933,0.267921,-0.0318349,0.202953,-0.0707679,0.141241,-0.0521225,0.0975236,-0.036182,0.0672862,-0.0249767,0.0105155,-0.0039036,0.0862806,0.737266,0.273153,-0.0310998,0.206295,-0.0736456,0.1421,-0.0540597,0.0969711,-0.0371338,0.0661084,-0.0253331,0.00972905,-0.00372855
-12.0953,0.995602,0.600877,3,7,0,13.1464,0.834492,1.13677,0.853201,0.527385,3.09143,3.18334,0.0858767,0.729999,0.266058,-0.0320712,0.201767,-0.0697582,0.140923,-0.0514444,0.0977022,-0.0358437,0.0676901,-0.0248449,0.0108013,-0.00396468,0.0855035,0.723308,0.259753,-0.0327723,0.19776,-0.0663977,0.139797,-0.0491928,0.098236,-0.0347004,0.0689968,-0.0243799,0.0117902,-0.00416618
-13.4798,0.756456,0.600877,3,7,0,16.8206,1.66536,0.979143,0.981775,0.870917,2.46964,3.0838,0.0884611,0.776924,0.317005,-0.0208344,0.23497,-0.100058,0.147341,-0.0724021,0.0893302,-0.0451994,0.053746,-0.0273764,0.00419114,-0.00213916,0.0859078,0.730558,0.266594,-0.0320045,0.202108,-0.070048,0.141015,-0.051639,0.0976518,-0.035941,0.0675747,-0.0248831,0.0107188,-0.00394718
-14.3244,0.925591,0.600877,2,7,0,17.878,1.32574,1.04975,0.794984,1.14939,2.28226,3.43214,0.0892606,0.791647,0.335791,-0.0142298,0.247782,-0.112553,0.148571,-0.0816013,0.0843441,-0.0487275,0.0470758,-0.0276286,0.00245652,-0.00145279,0.0845043,0.705499,0.24398,-0.0338622,0.187779,-0.0583797,0.13664,-0.0438376,0.0990962,-0.0318529,0.0718535,-0.0230989,0.0144004,-0.00462937
-13.6047,0.89664,0.600877,3,7,0,19.6359,1.15991,0.921701,0.916396,0.566687,2.45585,2.30426,0.0885196,0.777999,0.318326,-0.0204125,0.235859,-0.100915,0.147447,-0.0730203,0.0890141,-0.0454457,0.0533041,-0.0274079,0.00405596,-0.00209014,0.0891663,0.789905,0.333489,-0.0151088,0.246191,-0.110987,0.148451,-0.080425,0.0850128,-0.0482918,0.0479384,-0.0276212,0.00264715,-0.00153516
-13.1961,0.961808,0.600877,3,7,0,15.4093,0.929046,1.22707,0.775059,1.05095,3.48504,3.37478,0.0842939,0.70177,0.240852,-0.0339665,0.185804,-0.0568558,0.135955,-0.0428199,0.099186,-0.0312904,0.0723492,-0.0228263,0.0149392,-0.00471336,0.0847333,0.709566,0.247459,-0.033703,0.189977,-0.0600999,0.137378,-0.0449859,0.0989649,-0.0324793,0.0712747,-0.0233951,0.0138092,-0.00453275
-13.704,0.925203,0.600877,3,7,0,15.3178,1.3121,0.905666,1.11979,0.458699,2.52639,2.85994,0.0882208,0.772519,0.311667,-0.0224725,0.231397,-0.0966315,0.146884,-0.0699474,0.0905544,-0.044207,0.0554892,-0.0272294,0.00475701,-0.00233761,0.0868267,0.747129,0.283222,-0.0293903,0.212761,-0.0793507,0.143608,-0.0579263,0.0956957,-0.0389706,0.0636634,-0.0259577,0.0082863,-0.00337922
-13.0531,0.936885,0.600877,3,7,0,15.7176,0.96517,1.05166,1.02619,0.491357,2.34026,3.29939,0.0890121,0.78706,0.329778,-0.0164851,0.243638,-0.108482,0.148241,-0.0785582,0.0860566,-0.0475914,0.0493023,-0.027595,0.00296752,-0.00166923,0.0850355,0.714946,0.252171,-0.0334143,0.192957,-0.0624738,0.13834,-0.0465706,0.0987343,-0.0333293,0.0704441,-0.0237843,0.0130219,-0.00439668
-13.9351,0.932756,0.600877,3,7,0,16.0404,0.794022,1.34745,0.902956,0.495041,2.47921,3.41766,0.0884205,0.77618,0.316094,-0.0211215,0.234359,-0.0994692,0.147267,-0.0719784,0.089545,-0.0450298,0.0540482,-0.0273535,0.00428547,-0.00217299,0.084562,0.706524,0.24485,-0.0338267,0.188329,-0.0588073,0.136827,-0.0441231,0.0990665,-0.0320095,0.0717115,-0.0231737,0.0142518,-0.00460553
-11.7972,0.888988,0.600877,2,3,0,16.0592,1.11462,1.29216,0.913257,0.631935,2.55645,3.2327,0.088094,0.770197,0.308903,-0.0232788,0.229557,-0.0948794,0.146628,-0.0687024,0.0911555,-0.0436945,0.0563656,-0.0271411,0.0050624,-0.00244045,0.085304,0.719739,0.256478,-0.0330765,0.195684,-0.0646869,0.139181,-0.0480489,0.0984705,-0.0341077,0.0696387,-0.0241274,0.0123167,-0.00426742
-14.5908,0.735457,0.600877,2,3,0,17.0492,1.29736,1.73546,1.1632,0.502325,3.1461,3.68965,0.0856545,0.726012,0.262275,-0.0325101,0.199361,-0.0677313,0.140256,-0.0500856,0.0980355,-0.0351574,0.0684853,-0.0245693,0.0113907,-0.00408658,0.0834869,0.687528,0.229421,-0.0340372,0.178584,-0.0514755,0.13328,-0.0392188,0.0992856,-0.0292424,0.0739555,-0.0217829,0.0169583,-0.00499492
