# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = pmx_sample.1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.661512
# Diagonal elements of inverse mass matrix:
# 0.0575947, 0.0646488, 0.0638189, 0.0835454, 0.0354917, 0.0240679
-13.8246,0.867162,0.661512,3,7,0,15.1351,1.23089,0.999396,1.37455,0.579873,2.67472,2.43062,0.0875971,0.0886268,0.298427,0.320767,0.222645,0.237505,0.145537,0.147634,0.0932338,0.0884168,0.0595268,0.0524773,0.00629486,0.00381148,0.761123,0.779967,-0.0260741,-0.0196162,-0.0883789,-0.102506,-0.0641389,-0.074173,-0.0417599,-0.0459012,-0.0267346,-0.0274608,-0.0028287,-0.00199978
-13.747,0.961453,0.661512,3,7,0,16.5117,0.952559,1.06981,0.681913,0.837219,3.17147,4.0335,0.0855516,0.0821546,0.260553,0.212353,0.198268,0.16776,0.139944,0.12877,0.0981744,0.0987581,0.0688363,0.0757387,0.011663,0.0200928,0.724169,0.664243,-0.0326918,-0.0332597,-0.0668189,-0.0439877,-0.0494747,-0.0341614,-0.0348453,-0.0262086,-0.0244404,-0.0200999,-0.0041411,-0.00533234
-14.4435,0.968661,0.661512,3,7,0,15.5787,1.36499,1.04143,1.28779,0.541787,2.89917,2.2152,0.0866647,0.0895492,0.280175,0.342979,0.210798,0.252791,0.143172,0.148888,0.0961112,0.0821499,0.0644279,0.0442998,0.00871276,0.00190134,0.744198,0.796984,-0.0299485,-0.0113617,-0.0776013,-0.117505,-0.0567365,-0.0853668,-0.038414,-0.0500956,-0.0257775,-0.0276065,-0.00348647,-0.00120035
-14.0249,0.983058,0.661512,3,7,0,17.39,1.46698,1.01544,0.728931,0.682591,3.50266,4.05432,0.084224,0.0820748,0.239826,0.211397,0.185156,0.167151,0.135726,0.128499,0.0992096,0.0987042,0.0725064,0.0758161,0.0151171,0.0202717,0.700532,0.662858,-0.0339926,-0.0331858,-0.0563611,-0.0435873,-0.0424894,-0.0338887,-0.0311062,-0.0260396,-0.0227357,-0.0200016,-0.00474027,-0.00534802
-11.7668,1,0.661512,2,3,0,14.5762,0.969545,1.1976,0.854692,0.72751,2.79601,2.70842,0.0870916,0.0874562,0.288313,0.295555,0.216053,0.220765,0.144301,0.145205,0.0949437,0.0937487,0.0623378,0.060349,0.00759366,0.00665301,0.75193,0.758558,-0.0283781,-0.0267679,-0.082319,-0.0866363,-0.0599547,-0.0629292,-0.0399023,-0.0412315,-0.0262411,-0.0266042,-0.0031974,-0.00293422
-12.1082,0.914884,0.661512,3,7,0,13.6784,1.54664,1.02308,1.05152,0.62183,3.1637,3.32639,0.0855831,0.0849271,0.261078,0.250465,0.198601,0.191877,0.14004,0.137997,0.0981329,0.0988248,0.06873,0.070751,0.0115797,0.0133051,0.724733,0.713014,-0.0326376,-0.0335286,-0.0670964,-0.0616083,-0.0496604,-0.0459928,-0.0349404,-0.0330213,-0.0244799,-0.023645,-0.00412455,-0.00444663
-12.7442,0.906995,0.661512,3,7,0,14.0112,0.864662,1.19746,0.765216,0.729495,2.39316,3.00786,0.0887862,0.086218,0.324451,0.272034,0.240002,0.205579,0.147899,0.14192,0.0874815,0.0970956,0.0512025,0.0663656,0.00345521,0.00989521,0.7829,0.736137,-0.0183723,-0.0312659,-0.104931,-0.0730251,-0.0759411,-0.0536413,-0.0465906,-0.03693,-0.0275274,-0.0252587,-0.00186394,-0.0037664
-15.4923,0.803204,0.661512,2,7,0,16.5145,2.37165,0.924749,0.909666,0.577804,3.28456,2.86423,0.0850951,0.086809,0.253117,0.282886,0.193555,0.212544,0.138528,0.143561,0.0986807,0.0957428,0.070271,0.0637487,0.0128658,0.00833286,0.716009,0.746808,-0.0333461,-0.0294536,-0.0629563,-0.0791569,-0.0468928,-0.0577943,-0.0335001,-0.0389092,-0.0238607,-0.0259383,-0.00436868,-0.0033911
-12.2506,0.914609,0.661512,3,7,0,18.9896,0.852723,1.19162,0.810923,0.73313,2.60114,3.29198,0.0879058,0.0850652,0.304871,0.252643,0.226886,0.193255,0.146231,0.138434,0.0919929,0.0987079,0.0576126,0.070358,0.00552288,0.012944,0.766756,0.715477,-0.0244038,-0.0333807,-0.0923507,-0.0627141,-0.0669171,-0.0467311,-0.0429485,-0.0334145,-0.0269978,-0.0238224,-0.00259033,-0.00438275
-13.3636,0.88933,0.661512,3,7,0,14.977,1.06341,0.920998,1.43744,0.875414,3.17362,3.54166,0.0855429,0.0840696,0.260407,0.237584,0.198175,0.183741,0.139917,0.135218,0.0981857,0.0992512,0.0688655,0.0728412,0.0116861,0.0155085,0.724013,0.6978,-0.0327066,-0.0340362,-0.0667423,-0.0552879,-0.0494234,-0.0417721,-0.034819,-0.0307038,-0.0244295,-0.0225355,-0.00414566,-0.004798
