# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2533899065
# output
#   file = sample1.stan.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.611444
# Diagonal elements of inverse mass matrix:
# 0.0539067, 0.0571349, 0.0717709, 0.0821661, 0.0268853, 0.02382
-15.7272,0.725222,0.611444,3,7,0,18.4149,1.17552,1.38953,2.00619,0.567647,2.81615,2.93651,0.087008,0.0865109,0.286692,0.277331,0.215003,0.208971,0.144085,0.142748,0.095191,0.096476,0.0627664,0.0651225,0.00781145,0.00911896,0.750414,0.741419,-0.0287112,-0.0304377,-0.0813678,-0.0759858,-0.0593033,-0.0556412,-0.0396054,-0.0378949,-0.0261534,-0.0256023,-0.00325562,-0.00358546
-12.8709,1,0.611444,3,7,0,16.0486,1.2107,0.825941,0.638338,0.72976,3.28811,3.44859,0.0850808,0.0844388,0.25289,0.242999,0.193412,0.18716,0.138483,0.136427,0.0986938,0.0991272,0.0703127,0.0720115,0.0129032,0.0145687,0.715754,0.704337,-0.0333628,-0.0338989,-0.0628403,-0.0578995,-0.0468153,-0.043517,-0.0334591,-0.0316765,-0.0238424,-0.023014,-0.00437542,-0.00465601
-13.418,0.984505,0.611444,3,7,0,13.884,1.04554,1.38524,1.2875,0.608792,2.89035,2.47716,0.0867011,0.0884292,0.280856,0.316289,0.211236,0.234489,0.143271,0.147283,0.0960206,0.0894992,0.064259,0.0539837,0.00861673,0.0042652,0.744856,0.776339,-0.0298269,-0.0210603,-0.0779904,-0.0995952,-0.0570007,-0.0720689,-0.0385383,-0.0450661,-0.0258185,-0.0273585,-0.00346262,-0.00216575
-15.5349,0.840088,0.611444,3,7,0,17.7195,1.79748,1.41489,0.905103,1.13682,3.36354,3.60593,0.0847782,0.0838158,0.248151,0.233974,0.190414,0.18146,0.137522,0.134378,0.0989348,0.0992891,0.0711561,0.0733545,0.0136926,0.0161451,0.710365,0.69332,-0.0336659,-0.034067,-0.0604453,-0.0535831,-0.0452165,-0.0406315,-0.032604,-0.0300567,-0.0234531,-0.0222071,-0.00451314,-0.00488773
-18.5654,0.965518,0.611444,3,7,0,20.3116,1.57127,1.45488,0.849984,2.0611,3.25624,3.0767,0.0852091,0.0859368,0.254942,0.267094,0.194711,0.202427,0.138886,0.141101,0.0985704,0.097604,0.0699309,0.0674664,0.0125665,0.0106419,0.718044,0.731078,-0.033205,-0.0319413,-0.0638931,-0.0703191,-0.0475185,-0.051821,-0.03383,-0.0360319,-0.0240064,-0.0249186,-0.00431402,-0.00393078
-17.1433,0.976624,0.611444,3,7,0,22.4863,0.835259,1.42484,0.93403,0.357916,2.53169,2.77911,0.0881984,0.0871618,0.311177,0.289686,0.23107,0.216943,0.146839,0.144479,0.0906627,0.0947285,0.055646,0.0619701,0.0048106,0.0074113,0.772109,0.753204,-0.0226177,-0.0280883,-0.0963194,-0.0831288,-0.0697251,-0.0605103,-0.044116,-0.0401539,-0.0272143,-0.0263136,-0.00235586,-0.00314789
-16.831,1,0.611444,3,7,0,19.0243,1.52562,0.80606,0.824059,1.68395,2.88723,3.48877,0.086714,0.0842791,0.281097,0.240634,0.211391,0.185666,0.143306,0.135906,0.0959883,0.0991913,0.0641989,0.0723828,0.00858283,0.0149769,0.745089,0.701507,-0.0297834,-0.0339724,-0.0781283,-0.0567505,-0.0570945,-0.0427496,-0.0385823,-0.0312513,-0.0258329,-0.0228071,-0.00345417,-0.0047191
-12.5304,0.947795,0.611444,2,7,0,17.5192,0.989934,1.28053,1.23835,0.762295,3.18567,2.73031,0.0854941,0.0873649,0.259597,0.293716,0.197661,0.219565,0.139768,0.144984,0.0982479,0.0940662,0.0690279,0.0608656,0.0118151,0.00688686,0.723139,0.756896,-0.0327877,-0.0271958,-0.0663157,-0.0855293,-0.049138,-0.0621636,-0.0346722,-0.0408935,-0.024368,-0.0265166,-0.00417105,-0.00300149
-12.9955,0.972538,0.611444,3,7,0,14.0788,1.17519,1.42506,1.18423,0.768707,3.49266,2.751,0.0842637,0.0872787,0.240407,0.291995,0.185523,0.218444,0.135856,0.144772,0.0991966,0.0943546,0.0724176,0.0613419,0.0150162,0.00710882,0.701234,0.755328,-0.0339783,-0.0275845,-0.0566411,-0.0844999,-0.0426765,-0.0614535,-0.0312106,-0.0405775,-0.0227871,-0.0264317,-0.00472506,-0.00306419
-14.6118,0.912237,0.611444,3,7,0,17.8847,0.913403,0.785478,1.39193,1.02911,2.77083,3.08701,0.0871962,0.0858947,0.290363,0.266368,0.217383,0.201964,0.144566,0.140976,0.0946204,0.0976731,0.0617872,0.0676234,0.00732202,0.0107535,0.75383,0.730323,-0.0279426,-0.0320328,-0.0835297,-0.0699257,-0.0607859,-0.0515569,-0.0402781,-0.0359,-0.0263488,-0.024867,-0.0031234,-0.00395456
-12.5399,1,0.611444,3,7,0,15.8776,0.900865,0.911173,0.810611,1.00562,3.00867,3.01398,0.0862147,0.086193,0.271975,0.271589,0.205541,0.205294,0.141911,0.141848,0.0971021,0.0971442,0.0663792,0.0664672,0.00990402,0.00996165,0.736078,0.735687,-0.0312745,-0.0313306,-0.0729923,-0.0727789,-0.0536193,-0.0534754,-0.0369193,-0.036849,-0.0252547,-0.0252288,-0.00376839,-0.0037814
-12.0496,0.986654,0.611444,3,7,0,13.5292,1.09774,1.09511,1.26608,0.615279,2.73385,3.25038,0.0873501,0.0852327,0.29342,0.255323,0.219372,0.194952,0.144948,0.138959,0.0941164,0.0985462,0.060948,0.0698589,0.00692481,0.0125044,0.756628,0.718466,-0.0272634,-0.033174,-0.0853518,-0.0640896,-0.0620411,-0.0476498,-0.0408391,-0.0338989,-0.0265022,-0.0240366,-0.00301229,-0.00430251
-14.1384,0.884716,0.611444,3,7,0,16.1749,0.95192,1.12837,0.755035,0.696341,1.9435,2.80982,0.0907313,0.0870342,0.374917,0.287199,0.275886,0.215331,0.149325,0.144153,0.0703746,0.0951144,0.0304023,0.0626329,0.000179725,0.00774302,0.818976,0.75089,0.00360404,-0.028608,-0.140549,-0.0816648,-0.103941,-0.0595066,-0.0563589,-0.0396983,-0.0265877,-0.0261811,-0.000217394,-0.00323744
-14.3392,0.929664,0.611444,3,7,0,17.4201,1.26618,0.98805,1.01743,0.880614,4.18537,3.2207,0.0815754,0.0853524,0.205561,0.257267,0.163424,0.196184,0.126797,0.139331,0.0983184,0.0984167,0.0762351,0.0694863,0.0213676,0.0121891,0.65421,0.720605,-0.0326682,-0.033007,-0.0411882,-0.065097,-0.0322481,-0.048323,-0.025011,-0.0342504,-0.0193934,-0.0241889,-0.00543569,-0.00424324
-15.1776,1,0.611444,3,7,0,16.5872,0.945799,1.20282,0.805199,1.14207,2.01096,3.07161,0.0904358,0.0859575,0.36654,0.267454,0.269686,0.202656,0.14936,0.141162,0.0737931,0.0975692,0.0343008,0.0673881,0.000512943,0.0105868,0.81346,0.731451,-0.000666729,-0.0318953,-0.134351,-0.0705145,-0.0987611,-0.0519522,-0.0546805,-0.0360973,-0.0270116,-0.024944,-0.000446918,-0.00391895
-17.3616,0.936,0.611444,2,7,0,18.0147,0.960215,1.52527,0.940074,1.30358,1.8842,2.93109,0.0909921,0.0865332,0.382544,0.27774,0.281626,0.209234,0.149203,0.14281,0.0670493,0.0964248,0.0266897,0.0650236,-5.07615e-05,0.00906001,0.823856,0.741822,0.00770186,-0.0303692,-0.14628,-0.0762173,-0.108861,-0.0557979,-0.0579152,-0.0379696,-0.0260953,-0.0256279,-3.13735e-05,-0.00357128
-13.6201,0.999111,0.611444,3,7,0,18.6736,1.39123,0.852686,1.05667,0.478925,2.45021,3.09749,0.0885436,0.0858521,0.318869,0.265634,0.236225,0.201497,0.14749,0.140849,0.0888828,0.0977415,0.0531214,0.0677809,0.00400099,0.0108668,0.778438,0.729556,-0.0202372,-0.0321231,-0.101268,-0.0695294,-0.0732755,-0.0512909,-0.045547,-0.0357667,-0.0274202,-0.0248145,-0.00207001,-0.00397849
-14.4341,0.912128,0.611444,3,7,0,16.4494,1.66399,0.782407,1.06494,0.517997,2.73329,2.70373,0.0873525,0.0874758,0.293466,0.295952,0.219402,0.221025,0.144954,0.145252,0.0941085,0.093679,0.060935,0.0602366,0.00691882,0.00660302,0.75667,0.758914,-0.0272528,-0.0266739,-0.0853798,-0.086876,-0.0620604,-0.0630953,-0.0408477,-0.0413045,-0.0265045,-0.0266227,-0.00301059,-0.00291968
-12.7782,0.986826,0.611444,3,7,0,16.881,1.04043,1.53593,0.735979,0.760139,2.6043,3.2108,0.0878925,0.0853925,0.304589,0.257922,0.226699,0.196599,0.146202,0.139455,0.0920497,0.0983707,0.0576984,0.0693587,0.00555577,0.0120835,0.766512,0.721321,-0.0244803,-0.0329474,-0.0921749,-0.0654384,-0.0667935,-0.0485512,-0.0428963,-0.034369,-0.0269872,-0.0242396,-0.0026008,-0.00422307
-16.3504,0.832033,0.611444,3,7,0,18.8743,1.1156,0.684691,1.17148,0.867923,3.62403,2.23975,0.0837446,0.0894434,0.232975,0.340318,0.18083,0.250929,0.134141,0.14878,0.0992932,0.0829812,0.0734907,0.0453422,0.0163224,0.00209979,0.692064,0.795026,-0.034067,-0.0124454,-0.053117,-0.115661,-0.0403194,-0.083956,-0.029878,-0.0495877,-0.022115,-0.0276228,-0.00491181,-0.0012929
-14.701,0.638084,0.611444,3,7,0,22.2069,1.36614,0.749548,0.648508,0.683387,3.61569,2.59116,0.0837774,0.0879477,0.233434,0.305763,0.181119,0.227475,0.13425,0.146321,0.0992916,0.0918117,0.0734284,0.0573401,0.0162409,0.00541953,0.692642,0.767522,-0.0340674,-0.0241603,-0.0533309,-0.0929071,-0.0404626,-0.0673088,-0.0299601,-0.0431133,-0.0221574,-0.027031,-0.00490079,-0.00255721
