# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_pmx_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = pmx_sample.1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.640466
# Diagonal elements of inverse mass matrix:
# 0.0537805, 0.0674089, 0.0642191, 0.0801114, 0.0215514, 0.0294087
-13.0025,0.718463,0.640466,2,7,0,17.5709,1.61545,1.26875,0.948239,0.667643,2.82,3.66031,0.086992,0.083602,0.286384,0.230998,0.214803,0.17958,0.144044,0.133665,0.0952372,0.0992933,0.0628472,0.0737532,0.00785314,0.0166754,0.750125,0.689553,-0.0287733,-0.0340561,-0.0811876,-0.0522003,-0.0591801,-0.039705,-0.039549,-0.0295242,-0.0261364,-0.0219311,-0.00326666,-0.00495856
-12.965,0.973768,0.640466,3,7,0,15.6415,1.45395,1.16878,0.714592,0.652798,2.45175,3.49026,0.088537,0.0842732,0.31872,0.240547,0.236124,0.185611,0.147478,0.135887,0.0889189,0.0991933,0.0531717,0.0723961,0.00401606,0.0149919,0.778318,0.701403,-0.0202855,-0.0339746,-0.101171,-0.0567087,-0.0732053,-0.0427216,-0.0455192,-0.0312357,-0.0274169,-0.0227995,-0.00207554,-0.00472138
-13.7901,0.978479,0.640466,3,7,0,15.2667,0.865477,0.915416,1.06184,0.683059,3.97667,2.83378,0.0823727,0.0869349,0.215006,0.285286,0.169448,0.214093,0.129513,0.143895,0.0988939,0.0953996,0.0755112,0.0631332,0.0195983,0.00800245,0.668037,0.74909,-0.033448,-0.0289919,-0.0451088,-0.0805473,-0.0349236,-0.0587425,-0.026678,-0.039348,-0.0203705,-0.0260753,-0.00528699,-0.00330588
-13.7222,0.999436,0.640466,3,7,0,15.7216,1.76354,1.14164,0.877415,0.610113,2.41352,3.49628,0.0886995,0.0842493,0.32244,0.240196,0.238638,0.18539,0.147757,0.135808,0.087997,0.0992014,0.0519023,0.0724499,0.00364775,0.0150528,0.781305,0.70098,-0.0190574,-0.0339836,-0.103604,-0.0565394,-0.0749718,-0.0426086,-0.0462141,-0.0311727,-0.027493,-0.0227685,-0.00193798,-0.00473059
-15.5826,0.793891,0.640466,3,7,0,19.2956,0.784583,0.992455,0.871859,0.746988,4.02487,2.30765,0.0821876,0.0891517,0.212752,0.333136,0.168014,0.245947,0.128883,0.148432,0.0987798,0.0851138,0.0757057,0.0480695,0.0200184,0.00267692,0.664817,0.789636,-0.0332895,-0.0152418,-0.0441551,-0.110747,-0.0342754,-0.080246,-0.0262791,-0.0482251,-0.0201407,-0.0276195,-0.0053257,-0.00154784
-16.8906,0.841596,0.640466,3,7,0,21.3699,1.81478,1.30644,0.76203,0.467012,2.32818,4.0248,0.0890638,0.0821879,0.331015,0.212755,0.244488,0.168016,0.148313,0.128884,0.0857133,0.0987799,0.0488513,0.0757054,0.00285894,0.0200178,0.788014,0.664822,-0.0160319,-0.0332898,-0.109314,-0.0441566,-0.0791765,-0.0342764,-0.0478246,-0.0262797,-0.0276057,-0.0201411,-0.00162438,-0.00532564
-14.087,1,0.640466,2,3,0,17.6919,1.62094,1.04697,0.789425,0.566429,2.54351,3.93079,0.0881486,0.0825495,0.310088,0.217194,0.230345,0.170839,0.146739,0.130114,0.0909005,0.098991,0.0559921,0.0753097,0.00493045,0.0191922,0.771196,0.671115,-0.0229367,-0.0335849,-0.0956286,-0.0460453,-0.069234,-0.0355587,-0.0439141,-0.0270658,-0.0271799,-0.0205912,-0.00239636,-0.00524755
-11.4025,0.902983,0.640466,2,3,0,16.7889,1.36819,1.02797,0.93054,0.724287,2.99351,3.24641,0.0862768,0.0852487,0.273085,0.255582,0.206251,0.195116,0.142089,0.139009,0.0969788,0.0985296,0.0661242,0.0698099,0.0097392,0.0124623,0.737197,0.718751,-0.0311102,-0.0331526,-0.0736075,-0.0642229,-0.054034,-0.0477389,-0.0371213,-0.0339456,-0.0253286,-0.024057,-0.00373088,-0.00429469
-17.3325,0.705474,0.640466,2,3,0,17.8526,1.18116,0.675351,0.576412,0.847803,2.91432,4.18507,0.0866022,0.0815765,0.279015,0.205575,0.210052,0.163433,0.143001,0.126801,0.0962627,0.0983194,0.0647135,0.0762343,0.00887753,0.0213651,0.743069,0.65423,-0.0301518,-0.0326695,-0.0769402,-0.0411936,-0.0562879,-0.0322518,-0.0382022,-0.0250133,-0.0257069,-0.0193948,-0.00352699,-0.00543551
-15.1949,1,0.640466,3,7,0,18.031,1.15595,0.726656,0.671597,0.923866,2.60272,3.91365,0.0878991,0.0826156,0.30473,0.218022,0.226792,0.171365,0.146216,0.130339,0.0920213,0.0990241,0.0576556,0.0752301,0.00553933,0.0190389,0.766634,0.672268,-0.0244421,-0.0336324,-0.0922627,-0.0464025,-0.0668553,-0.0358006,-0.0429224,-0.0272127,-0.0269925,-0.0206742,-0.00259557,-0.00523215
