# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_group_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = mpi_sample.1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1,y.2.1,y.1.2,y.2.2,y.1.3,y.2.3,y.1.4,y.2.4,y.1.5,y.2.5,y.1.6,y.2.6,y.1.7,y.2.7,y.1.8,y.2.8,y.1.9,y.2.9,y.1.10,y.2.10,y.1.11,y.2.11,y.1.12,y.2.12,y.1.13,y.2.13,y.1.14,y.2.14
# Adaptation terminated
# Step size = 0.690601
# Diagonal elements of inverse mass matrix:
# 0.0603761, 0.0698507, 0.0654332, 0.0794037, 0.0301845, 0.0277816
-13.9741,0.789661,0.690601,2,3,0,14.303,1.62876,1.22499,1.05467,0.622824,3.9228,3.1108,0.0825803,0.671652,0.217579,-0.0336073,0.171083,-0.0462111,0.130219,-0.0356711,0.0990066,-0.027134,0.0752729,-0.0206299,0.0191209,-0.00524042,0.0857979,0.728584,0.264706,-0.0322343,0.200907,-0.0690303,0.140688,-0.0509561,0.0978258,-0.0355984,0.0679781,-0.0247476,0.0110105,-0.00400858
-13.4536,0.765091,0.690601,2,3,0,16.3526,1.27455,1.24346,0.90245,0.548813,2.171,3.49256,0.0897401,0.800521,0.34786,-0.00930795,0.256229,-0.12092,0.149057,-0.0880063,0.0805669,-0.0510317,0.0423426,-0.027551,0.00155921,-0.00103384,0.0842641,0.701241,0.240413,-0.0339781,0.185527,-0.0566438,0.135857,-0.0426783,0.0991965,-0.0312116,0.0724168,-0.0227876,0.0150153,-0.00472492
-12.1707,0.97535,0.690601,3,7,0,14.7391,0.985611,0.898249,0.855873,0.793567,3.52141,2.7939,0.0841497,0.699217,0.238743,-0.034016,0.184472,-0.0558413,0.135482,-0.0421421,0.0992314,-0.0309118,0.0726697,-0.0226394,0.0153057,-0.00476834,0.0871003,0.752089,0.288483,-0.0283425,0.216163,-0.0824193,0.144323,-0.0600235,0.0949172,-0.0399336,0.0622924,-0.0262502,0.00757092,-0.00319127
-12.6288,0.960713,0.690601,3,7,0,13.6409,1.40974,1.28105,1.01488,0.563702,2.57125,3.38627,0.0880316,0.769055,0.307557,-0.0236612,0.228664,-0.0940316,0.146498,-0.0681024,0.0914403,-0.0434453,0.0567861,-0.0270952,0.00521416,-0.00249051,0.0846873,0.708749,0.246754,-0.0337389,0.189532,-0.0597494,0.137231,-0.044752,0.0989941,-0.0323524,0.0713942,-0.0233357,0.0139282,-0.00455258
-16.1476,0.663753,0.690601,3,7,0,18.3078,1.19943,1.33409,1.08333,0.449079,3.85478,2.22412,0.0828434,0.676246,0.220913,-0.0337791,0.173199,-0.0476616,0.131111,-0.0366519,0.0991249,-0.0277262,0.0749384,-0.0209614,0.0185059,-0.00517638,0.0895107,0.796272,0.342008,-0.01176,0.25211,-0.116831,0.14885,-0.0848499,0.0824557,-0.0499101,0.044682,-0.0276136,0.00197276,-0.00123397
-13.4037,1,0.690601,2,7,0,16.9412,1.33721,0.778414,0.889608,0.950443,2.60218,3.39929,0.0879014,0.766676,0.304778,-0.024429,0.226824,-0.0922927,0.146221,-0.0668764,0.0920116,-0.0429313,0.0576409,-0.0269943,0.00553371,-0.00259378,0.0846353,0.707825,0.245961,-0.0337772,0.189031,-0.0593559,0.137063,-0.0444893,0.0990255,-0.0322095,0.0715275,-0.0232685,0.0140627,-0.00457476
-12.6335,0.572901,0.690601,3,7,0,19.7166,1.42128,1.3601,0.78412,0.556253,3.45086,2.96576,0.0844298,0.704177,0.242865,-0.0339036,0.187075,-0.0578339,0.136398,-0.0434732,0.0991313,-0.0316523,0.072033,-0.0230024,0.0145918,-0.00465964,0.0863907,0.73925,0.275137,-0.0307937,0.207565,-0.0747524,0.142412,-0.0548069,0.0967419,-0.0374951,0.0656451,-0.0254627,0.00943727,-0.00366093
-14.1091,0.833658,0.690601,3,7,0,16.2491,0.871867,1.17875,1.03308,0.689096,2.96026,2.0734,0.0864133,0.739657,0.275547,-0.0307286,0.207827,-0.0749821,0.142475,-0.0549621,0.0966932,-0.0375698,0.0655483,-0.0254891,0.00937745,-0.00364689,0.0901635,0.808387,0.359057,-0.00427567,0.264237,-0.128904,0.149303,-0.0943249,0.076645,-0.0532049,0.0376286,-0.0272924,0.0008818,-0.000671033
-11.6093,0.97588,0.690601,2,3,0,14.4131,1.33091,0.972862,0.839571,0.642725,3.0814,2.75656,0.0859176,0.730734,0.266763,-0.0319833,0.202216,-0.0701395,0.141044,-0.0517004,0.0976357,-0.0359717,0.0675382,-0.0248951,0.0106928,-0.00394164,0.0872556,0.754908,0.291536,-0.0276862,0.218145,-0.0842267,0.144715,-0.0612653,0.0944301,-0.0404933,0.0614677,-0.0264087,0.00716846,-0.00308086
-11.5448,0.859474,0.690601,3,7,0,14.3662,1.11795,1.19559,0.922183,0.737654,2.70592,3.39643,0.0874667,0.758748,0.295766,-0.0267179,0.220903,-0.0867639,0.14523,-0.0630177,0.0937116,-0.0412704,0.0602892,-0.0266141,0.00662636,-0.00292647,0.0846467,0.708028,0.246135,-0.033769,0.189141,-0.0594422,0.1371,-0.0445469,0.0990187,-0.0322409,0.0714984,-0.0232833,0.0140332,-0.00456991
-12.7859,0.870984,0.690601,2,3,0,13.4661,1.42164,0.891868,0.735466,0.684078,3.1144,2.53179,0.0857833,0.728322,0.264457,-0.0322636,0.200748,-0.0688965,0.140644,-0.0508664,0.097848,-0.0355531,0.0680307,-0.0247295,0.0110492,-0.00401663,0.088198,0.772101,0.311168,-0.0226204,0.231064,-0.0963136,0.146839,-0.069721,0.0906647,-0.0441143,0.0556489,-0.027214,0.0048116,-0.0023562
-12.9136,0.991345,0.690601,3,7,0,14.1257,1.09666,1.10206,0.913647,0.615045,2.99266,4.10694,0.0862803,0.737259,0.273147,-0.0311008,0.206291,-0.0736421,0.142099,-0.0540573,0.0969718,-0.0371326,0.0661098,-0.0253327,0.00972998,-0.00372876,0.0818738,0.659373,0.209016,-0.0329885,0.165633,-0.0425995,0.127814,-0.0332146,0.0985586,-0.0256194,0.0759981,-0.0197552,0.0207178,-0.00538545
-12.1978,1,0.690601,2,3,0,13.1564,1.2349,1.09888,0.992504,0.6315,2.96389,3.84457,0.0863983,0.739388,0.275277,-0.0307717,0.207654,-0.0748303,0.142433,-0.0548595,0.0967255,-0.0375205,0.0656123,-0.0254717,0.00941696,-0.00365617,0.082883,0.676938,0.221422,-0.0338019,0.173521,-0.0478851,0.131245,-0.0368028,0.0991402,-0.0278166,0.0748848,-0.0210116,0.0184124,-0.00516625
-12.5639,0.995465,0.690601,3,7,0,13.2014,0.965719,0.962953,0.772395,0.829415,2.77987,2.51604,0.0871586,0.753147,0.289624,-0.0281015,0.216903,-0.0830922,0.144471,-0.0604852,0.0947383,-0.0401426,0.0619868,-0.0263104,0.00741948,-0.00315013,0.0882646,0.773321,0.312629,-0.0221851,0.232039,-0.0972449,0.14697,-0.0703848,0.0903399,-0.0443856,0.0551799,-0.0272582,0.00465269,-0.00230181
-12.9197,0.847826,0.690601,3,7,0,15.8705,1.50057,1.10139,1.00075,0.551668,2.95804,3.80254,0.0864224,0.739822,0.275713,-0.030702,0.207934,-0.0750752,0.142501,-0.0550251,0.0966734,-0.0376001,0.065509,-0.0254997,0.00935327,-0.00364119,0.0830462,0.679795,0.223539,-0.0338866,0.174863,-0.0488216,0.131797,-0.0374343,0.099196,-0.0281934,0.0746547,-0.0212189,0.0180246,-0.00512308
-15.9262,0.777728,0.690601,2,3,0,17.8772,1.43731,0.819155,1.24803,0.442823,2.16705,3.10157,0.0897571,0.800838,0.348301,-0.00911805,0.256541,-0.121231,0.14907,-0.0882483,0.0804201,-0.0511167,0.0421627,-0.0275443,0.00152967,-0.00101901,0.0858354,0.729258,0.265349,-0.0321576,0.201316,-0.0693759,0.1408,-0.0511879,0.0977676,-0.035715,0.0678417,-0.024794,0.0109108,-0.00398775
-13.3653,0.997187,0.690601,2,7,0,16.6342,1.28583,1.2263,0.71508,1.05718,3.3943,2.78305,0.0846553,0.708179,0.246265,-0.0337628,0.189223,-0.0595065,0.137128,-0.0445898,0.0990137,-0.0322642,0.0714766,-0.0232943,0.0140112,-0.00456629,0.0871454,0.752907,0.289364,-0.0281567,0.216735,-0.082939,0.144438,-0.06038,0.0947793,-0.040095,0.0620565,-0.0262968,0.00745379,-0.00315949
-13.2343,0.788429,0.690601,3,7,0,17.5952,0.924913,1.16933,1.10215,0.659683,2.1835,3.21746,0.089686,0.799519,0.346468,-0.0099025,0.255245,-0.119942,0.149013,-0.0872464,0.0810262,-0.0507641,0.0429069,-0.0275703,0.00165392,-0.00108088,0.0853655,0.720839,0.257481,-0.0329877,0.196319,-0.0652083,0.139372,-0.0483974,0.0984018,-0.0342891,0.0694448,-0.0242055,0.0121546,-0.00423667
