# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_pmx_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = sample4.pmx.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.61411
# Diagonal elements of inverse mass matrix:
# 0.0564818, 0.0707226, 0.064532, 0.0906383, 0.0292647, 0.0278412
-12.1018,1,0.61411,3,7,0,15.5356,1.06148,1.0741,1.0346,0.624274,2.39871,2.97351,0.0887626,0.0863589,0.323901,0.274561,0.239629,0.207196,0.147861,0.142322,0.0876236,0.0968096,0.0513948,0.0657806,0.00350738,0.00952164,0.782465,0.738676,-0.0185611,-0.0308842,-0.104567,-0.0744301,-0.0756751,-0.0545892,-0.0464876,-0.0373902,-0.0275185,-0.0254254,-0.00188415,-0.00368064
-11.9514,0.993846,0.61411,2,7,0,12.5643,1.08225,1.22077,0.834853,0.633764,2.4229,3.17704,0.0886596,0.085529,0.32152,0.260177,0.238015,0.198029,0.14769,0.139875,0.0882287,0.0982036,0.0522191,0.0689119,0.00373733,0.0117227,0.780571,0.723765,-0.0193658,-0.03273,-0.103,-0.0666208,-0.074532,-0.0493421,-0.0460421,-0.0347772,-0.0274757,-0.024412,-0.00197192,-0.0041529
-14.2579,0.877283,0.61411,3,7,0,16.4326,1.13643,1.15385,1.62024,0.582593,3.73061,2.94666,0.0833267,0.0864691,0.227254,0.276565,0.177213,0.20848,0.132742,0.142632,0.0992638,0.0965703,0.0742233,0.0653061,0.0173493,0.00922951,0.684712,0.740665,-0.0339963,-0.030564,-0.0504886,-0.0755543,-0.038556,-0.0553491,-0.0288555,-0.0377554,-0.0215771,-0.025554,-0.00504353,-0.00361188
-13.2468,0.951946,0.61411,2,7,0,15.7939,0.991658,0.869152,1.24342,0.570385,3.60444,2.73031,0.0838217,0.0873649,0.234056,0.293716,0.181513,0.219565,0.134397,0.144984,0.0992886,0.0940662,0.0733431,0.0608656,0.0161304,0.00688685,0.693424,0.756896,-0.0340668,-0.0271958,-0.0536219,-0.0855293,-0.0406575,-0.0621636,-0.0300715,-0.0408935,-0.0222147,-0.0265166,-0.00488572,-0.00300149
-13.2813,0.789476,0.61411,3,7,0,19.7653,1.03887,1.22018,1.29294,0.641178,3.36716,3.84911,0.0847637,0.0828654,0.247928,0.221195,0.190274,0.173378,0.137476,0.131186,0.0989447,0.0991334,0.0711944,0.0749088,0.0137301,0.018454,0.710108,0.67663,-0.033678,-0.0337918,-0.060334,-0.0477855,-0.0451422,-0.0367356,-0.0325638,-0.0277763,-0.0234344,-0.0209892,-0.00451947,-0.00517078
-15.2305,0.77937,0.61411,3,7,0,18.1981,0.990803,1.10836,1.39126,0.72559,1.94723,3.46611,0.0907149,0.0843691,0.374446,0.241963,0.275535,0.186505,0.149329,0.1362,0.0705731,0.0991572,0.0306263,0.0721759,0.000196217,0.0147471,0.818671,0.703102,0.00335771,-0.0339336,-0.140198,-0.0573944,-0.103644,-0.0431797,-0.0562638,-0.0314901,-0.0266147,-0.0229238,-0.000229624,-0.00468386
-13.3429,0.962445,0.61411,3,7,0,17.0469,1.2324,1.21683,0.756051,0.499432,3.41301,2.45118,0.0845806,0.0885394,0.24513,0.318775,0.188506,0.236161,0.136887,0.147482,0.0990564,0.0889056,0.0716654,0.0531531,0.0142041,0.00401049,0.706852,0.778362,-0.0338146,-0.0202677,-0.0589453,-0.101207,-0.0442152,-0.0732312,-0.0320599,-0.0455294,-0.0231976,-0.0274181,-0.00459781,-0.0020735
-12.3273,0.943449,0.61411,2,3,0,14.5639,1.06505,0.891522,0.833954,0.52317,3.37658,2.68855,0.084726,0.0875393,0.247348,0.297243,0.189907,0.221869,0.137355,0.145402,0.0989696,0.0934489,0.0712936,0.0598681,0.0138279,0.00644149,0.709437,0.76007,-0.0337088,-0.026364,-0.0600447,-0.0876583,-0.0449491,-0.063638,-0.0324593,-0.041542,-0.0233858,-0.0266818,-0.00453588,-0.00287227
-16.0749,0.751629,0.61411,2,7,0,17.7128,1.10605,1.10385,0.643621,0.458813,3.18601,4.3749,0.0854927,0.0808605,0.259574,0.19765,0.197647,0.158342,0.139764,0.124364,0.0982496,0.0976373,0.0690325,0.076654,0.0118188,0.0228628,0.723114,0.641903,-0.03279,-0.0317875,-0.0663036,-0.0380551,-0.0491299,-0.0300867,-0.034668,-0.0236241,-0.0243663,-0.0185471,-0.00417177,-0.00553184
-15.3357,0.758184,0.61411,3,7,0,20.8896,0.941919,0.768515,1.44099,1.00362,2.72124,2.64956,0.0874027,0.0877025,0.294475,0.300603,0.22006,0.224073,0.145076,0.14578,0.0939363,0.092828,0.0606533,0.058891,0.0067899,0.00602922,0.757584,0.763044,-0.0270207,-0.0255275,-0.0859854,-0.0897107,-0.0624788,-0.0650671,-0.041033,-0.0421609,-0.0265531,-0.0268281,-0.00297375,-0.00274841
