# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_pmx_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = sample2.pmx.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.686452
# Diagonal elements of inverse mass matrix:
# 0.05813, 0.0645167, 0.055955, 0.0714943, 0.0291035, 0.0271461
-13.848,0.803019,0.686452,2,7,0,14.5775,0.887455,0.808499,0.890086,0.522039,2.24457,3.34557,0.0894227,0.0848502,0.3398,0.249265,0.250568,0.191119,0.148758,0.137752,0.0831402,0.0988836,0.0455429,0.0709625,0.00213935,0.0135054,0.794643,0.711646,-0.0126532,-0.0336023,-0.115304,-0.0610041,-0.083684,-0.0455895,-0.0494891,-0.032805,-0.0276249,-0.0235459,-0.00131103,-0.00448127
-12.8388,0.956657,0.686452,3,7,0,15.6371,0.925906,1.01754,0.736162,0.69419,2.27595,3.38464,0.0892877,0.0846939,0.336456,0.246854,0.248243,0.189595,0.148604,0.137252,0.0841478,0.0989901,0.0468241,0.0713773,0.00240257,0.0139113,0.792148,0.708865,-0.0139722,-0.0337339,-0.113008,-0.0597991,-0.0819439,-0.0447852,-0.0488537,-0.0323704,-0.0276295,-0.0233442,-0.00142911,-0.00454977
-14.3945,0.784843,0.686452,2,7,0,17.2533,1.31129,1.49067,1.07433,0.581564,3.30447,2.19592,0.085015,0.0896324,0.251848,0.345094,0.192752,0.254277,0.138276,0.148966,0.098752,0.0814732,0.0705027,0.0434588,0.0130753,0.0017496,0.714582,0.798525,-0.0334367,-0.0104822,-0.0623096,-0.11898,-0.046461,-0.0865023,-0.033271,-0.0505005,-0.0237581,-0.0275866,-0.00440618,-0.00112765
-14.3326,0.984977,0.686452,3,7,0,16.5628,0.908841,0.993473,0.855548,1.00065,2.82961,4.11056,0.0869522,0.08186,0.285617,0.208854,0.214307,0.165529,0.14394,0.127767,0.0953509,0.0985481,0.0630472,0.07601,0.00795727,0.0207482,0.749403,0.659134,-0.0289265,-0.0329744,-0.0807402,-0.0425328,-0.0588743,-0.033169,-0.0394087,-0.0255909,-0.0260939,-0.0197384,-0.00329406,-0.00538791
-12.4408,0.928864,0.686452,3,7,0,18.9146,1.19848,0.910638,1.00057,0.581373,3.19471,2.4722,0.0854575,0.0884502,0.258993,0.316761,0.197278,0.234806,0.139656,0.147321,0.0982931,0.0893879,0.0691481,0.0538271,0.0119117,0.00421631,0.722485,0.776725,-0.0328466,-0.0209116,-0.0659982,-0.0999002,-0.0489256,-0.0722884,-0.0345627,-0.045154,-0.0243219,-0.0273704,-0.00418991,-0.00214822
-11.8022,0.98586,0.686452,3,7,0,13.0531,1.02532,1.072,0.818842,0.696094,2.93543,2.54265,0.0865153,0.0881522,0.277412,0.310167,0.209023,0.230398,0.142761,0.146747,0.0964659,0.0908835,0.065103,0.0559672,0.0091073,0.00492175,0.741499,0.771262,-0.0304242,-0.0229138,-0.0760315,-0.0956785,-0.0556721,-0.0692694,-0.0379097,-0.0439287,-0.0256074,-0.0271825,-0.00358266,-0.00239344
-13.9776,0.678793,0.686452,2,3,0,17.3485,0.807002,1.49777,1.08645,0.664527,3.4067,2.54832,0.0846058,0.0881283,0.245512,0.309647,0.188747,0.230051,0.136968,0.146698,0.0990424,0.0909961,0.0716022,0.0561317,0.014139,0.00497946,0.7073,0.770824,-0.0337977,-0.0230648,-0.0591339,-0.095349,-0.0443411,-0.0690355,-0.0321287,-0.0438323,-0.0232302,-0.0271656,-0.00458724,-0.0024128
-12.9314,0.859947,0.686452,3,7,0,18.4374,1.54485,0.836329,0.87616,0.66462,2.75951,3.64553,0.0872433,0.0836601,0.291292,0.2318,0.217987,0.180087,0.144684,0.133859,0.09447,0.0992946,0.0615343,0.0736479,0.00720026,0.016532,0.754685,0.690575,-0.0277399,-0.0340622,-0.0840816,-0.0525709,-0.0611655,-0.0399534,-0.0404486,-0.0296676,-0.0263963,-0.0220059,-0.00308971,-0.00493976
-11.958,0.993571,0.686452,2,3,0,13.5222,1.38463,0.925506,1.01684,0.820473,3.1106,3.29914,0.0857987,0.0850364,0.26472,0.252187,0.200916,0.192967,0.14069,0.138343,0.0978245,0.0987334,0.0679751,0.0704413,0.0110083,0.0130193,0.728599,0.714964,-0.0322326,-0.0334132,-0.069038,-0.0624817,-0.0509613,-0.0465759,-0.035601,-0.0333321,-0.0247486,-0.0237855,-0.00400811,-0.00439622
-15.5017,0.617069,0.686452,2,7,0,20.3482,1.59905,1.43052,0.950912,1.2355,3.68335,3.2158,0.0835116,0.0853723,0.229758,0.257591,0.178797,0.196389,0.133363,0.139393,0.0992878,0.0983941,0.0739127,0.0694233,0.0168977,0.0121368,0.687963,0.720959,-0.034042,-0.0329777,-0.0516301,-0.0652658,-0.0393225,-0.0484358,-0.0293027,-0.0343091,-0.0218147,-0.024214,-0.00498721,-0.00423328
