# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2533899065
# output
#   file = sample4.stan.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.580033
# Diagonal elements of inverse mass matrix:
# 0.0587611, 0.0704214, 0.0584825, 0.0714274, 0.0335737, 0.0263312
-14.4849,0.917945,0.580033,3,7,0,16.7386,1.89505,0.892614,0.793809,0.955845,3.01316,2.72055,0.0861963,0.0874056,0.271648,0.294533,0.205332,0.220098,0.141858,0.145083,0.0971377,0.0939263,0.0664537,0.060637,0.00995281,0.00678253,0.735747,0.757636,-0.031322,-0.0270073,-0.0728116,-0.0860203,-0.0534975,-0.0625029,-0.0368598,-0.0410436,-0.0252328,-0.0265559,-0.00377941,-0.00297164
-14.3807,0.950224,0.580033,3,7,0,17.8452,0.731892,1.32986,0.962445,0.522331,2.44196,2.98869,0.0885786,0.0862966,0.319665,0.273439,0.236762,0.206477,0.147551,0.142145,0.0886886,0.0969387,0.0528522,0.0660422,0.00392098,0.00968678,0.779081,0.737553,-0.0199783,-0.0310567,-0.101787,-0.0738046,-0.073651,-0.0541669,-0.0456955,-0.0371858,-0.0274377,-0.025352,-0.00204052,-0.00371885
-13.8361,0.997056,0.580033,3,7,0,17.0318,1.92375,0.890624,0.944673,0.861168,3.12215,3.24363,0.0857518,0.0852599,0.26392,0.255763,0.200407,0.195231,0.140549,0.139044,0.0978953,0.0985178,0.0681435,0.0697754,0.0111328,0.0124328,0.727756,0.718952,-0.0323259,-0.0331375,-0.068609,-0.0643168,-0.0506737,-0.0478016,-0.0354558,-0.0339784,-0.0246904,-0.0240713,-0.00403393,-0.00428917
-13.6404,0.981997,0.580033,3,7,0,15.8722,0.704349,1.25518,0.985834,0.558196,2.93798,3.0113,0.0865048,0.0862039,0.277219,0.271784,0.208899,0.205419,0.142732,0.14188,0.0964898,0.097123,0.0651493,0.0664229,0.00913502,0.00993258,0.74131,0.735884,-0.0304562,-0.0313024,-0.0759229,-0.0728865,-0.0555986,-0.0535479,-0.0378746,-0.0368844,-0.0255953,-0.0252419,-0.00358931,-0.00377484
-16.9291,0.828987,0.580033,3,7,0,18.8646,1.94465,0.995958,1.06284,1.49368,3.14435,3.47626,0.0856616,0.0843288,0.262394,0.241366,0.199437,0.186128,0.140278,0.136069,0.0980256,0.0991731,0.0684607,0.0722693,0.0113719,0.0148502,0.726139,0.702387,-0.0324971,-0.0339518,-0.0677948,-0.0571048,-0.0501281,-0.0429862,-0.0351791,-0.0313828,-0.0245782,-0.0228715,-0.00408278,-0.00469975
-12.9846,0.973207,0.580033,3,7,0,18.3883,0.859511,1.30778,1.34223,0.652407,2.9673,3.0292,0.0863843,0.0861307,0.275022,0.270485,0.207491,0.20459,0.142394,0.141668,0.0967555,0.0972622,0.0656723,0.0667169,0.00945411,0.010127,0.739135,0.734565,-0.0308119,-0.0314877,-0.0746879,-0.0721708,-0.0547633,-0.053066,-0.0374742,-0.0366483,-0.0254553,-0.025154,-0.00366488,-0.00381842
-11.7999,0.973113,0.580033,3,7,0,14.6875,1.22996,1.322,0.74992,0.635075,3.24427,2.93531,0.0852573,0.0865158,0.255721,0.277421,0.195204,0.209029,0.139036,0.142762,0.0985205,0.0964647,0.0697834,0.0651006,0.0124396,0.0091059,0.718905,0.741509,-0.033141,-0.0304226,-0.064295,-0.076037,-0.047787,-0.0556758,-0.0339708,-0.0379115,-0.024068,-0.025608,-0.00429046,-0.00358232
-11.1284,0.896795,0.580033,2,3,0,13.9062,1.09428,1.09827,0.922607,0.757661,3.07806,2.96506,0.0859312,0.0863936,0.266998,0.27519,0.202366,0.207598,0.141084,0.14242,0.0976132,0.0967358,0.0674872,0.0656329,0.0106566,0.00942967,0.730978,0.739302,-0.0319535,-0.0307855,-0.0702671,-0.0747816,-0.0517861,-0.0548266,-0.0360145,-0.0375046,-0.0249118,-0.0254661,-0.00393393,-0.00365915
-11.5468,0.966088,0.580033,2,7,0,12.0857,0.974469,1.11267,0.945373,0.732893,3.04326,2.71326,0.0860732,0.087436,0.269474,0.295147,0.203944,0.220499,0.141501,0.145156,0.0973675,0.09382,0.0669433,0.0604644,0.0102796,0.00670465,0.733531,0.75819,-0.0316277,-0.026864,-0.0716157,-0.0863898,-0.0526925,-0.0627586,-0.0364643,-0.0411564,-0.0250847,-0.026585,-0.00385216,-0.00294918
