# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = TwoCptModel_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = TwoCptModel.data.R
# init = TwoCptModel.init.R
# random
#   seed = 3892749
# output
#   file = output_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,CL,Q,V1,V2,ka,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,cHat.1,cHat.2,cHat.3,cHat.4,cHat.5,cHat.6,cHat.7,cHat.8,cHat.9,cHat.10,cHat.11,cHat.12,cHat.13,cHat.14,cHat.15,cHat.16,cHat.17,cHat.18,cHat.19,cHat.20,cHat.21,cHat.22,cHat.23,cHat.24,cHat.25,cHat.26,cHat.27,cHat.28,cHat.29,cHat.30,cHat.31,cHat.32,cHat.33,cHat.34,cHat.35,cHat.36,cHat.37,cHat.38,cHat.39,cHat.40,cHat.41,cHat.42,cHat.43,cHat.44,cHat.45,cHat.46,cHat.47,cHat.48,cHat.49,cHat.50,cHat.51,cHat.52,cHat.53,cHat.54,cHatObs.1,cHatObs.2,cHatObs.3,cHatObs.4,cHatObs.5,cHatObs.6,cHatObs.7,cHatObs.8,cHatObs.9,cHatObs.10,cHatObs.11,cHatObs.12,cHatObs.13,cHatObs.14,cHatObs.15,cHatObs.16,cHatObs.17,cHatObs.18,cHatObs.19,cHatObs.20,cHatObs.21,cHatObs.22,cHatObs.23,cHatObs.24,cHatObs.25,cHatObs.26,cHatObs.27,cHatObs.28,cHatObs.29,cHatObs.30,cHatObs.31,cHatObs.32,cHatObs.33,cHatObs.34,cHatObs.35,cHatObs.36,cHatObs.37,cHatObs.38,cHatObs.39,cHatObs.40,cHatObs.41,cHatObs.42,cHatObs.43,cHatObs.44,cHatObs.45,cHatObs.46,cHatObs.47,cHatObs.48,cHatObs.49,cHatObs.50,cHatObs.51,cHatObs.52,cHatObs.53,x.1.1,x.2.1,x.3.1,x.1.2,x.2.2,x.3.2,x.1.3,x.2.3,x.3.3,x.1.4,x.2.4,x.3.4,x.1.5,x.2.5,x.3.5,x.1.6,x.2.6,x.3.6,x.1.7,x.2.7,x.3.7,x.1.8,x.2.8,x.3.8,x.1.9,x.2.9,x.3.9,x.1.10,x.2.10,x.3.10,x.1.11,x.2.11,x.3.11,x.1.12,x.2.12,x.3.12,x.1.13,x.2.13,x.3.13,x.1.14,x.2.14,x.3.14,x.1.15,x.2.15,x.3.15,x.1.16,x.2.16,x.3.16,x.1.17,x.2.17,x.3.17,x.1.18,x.2.18,x.3.18,x.1.19,x.2.19,x.3.19,x.1.20,x.2.20,x.3.20,x.1.21,x.2.21,x.3.21,x.1.22,x.2.22,x.3.22,x.1.23,x.2.23,x.3.23,x.1.24,x.2.24,x.3.24,x.1.25,x.2.25,x.3.25,x.1.26,x.2.26,x.3.26,x.1.27,x.2.27,x.3.27,x.1.28,x.2.28,x.3.28,x.1.29,x.2.29,x.3.29,x.1.30,x.2.30,x.3.30,x.1.31,x.2.31,x.3.31,x.1.32,x.2.32,x.3.32,x.1.33,x.2.33,x.3.33,x.1.34,x.2.34,x.3.34,x.1.35,x.2.35,x.3.35,x.1.36,x.2.36,x.3.36,x.1.37,x.2.37,x.3.37,x.1.38,x.2.38,x.3.38,x.1.39,x.2.39,x.3.39,x.1.40,x.2.40,x.3.40,x.1.41,x.2.41,x.3.41,x.1.42,x.2.42,x.3.42,x.1.43,x.2.43,x.3.43,x.1.44,x.2.44,x.3.44,x.1.45,x.2.45,x.3.45,x.1.46,x.2.46,x.3.46,x.1.47,x.2.47,x.3.47,x.1.48,x.2.48,x.3.48,x.1.49,x.2.49,x.3.49,x.1.50,x.2.50,x.3.50,x.1.51,x.2.51,x.3.51,x.1.52,x.2.52,x.3.52,x.1.53,x.2.53,x.3.53,x.1.54,x.2.54,x.3.54,cObsPred.1,cObsPred.2,cObsPred.3,cObsPred.4,cObsPred.5,cObsPred.6,cObsPred.7,cObsPred.8,cObsPred.9,cObsPred.10,cObsPred.11,cObsPred.12,cObsPred.13,cObsPred.14,cObsPred.15,cObsPred.16,cObsPred.17,cObsPred.18,cObsPred.19,cObsPred.20,cObsPred.21,cObsPred.22,cObsPred.23,cObsPred.24,cObsPred.25,cObsPred.26,cObsPred.27,cObsPred.28,cObsPred.29,cObsPred.30,cObsPred.31,cObsPred.32,cObsPred.33,cObsPred.34,cObsPred.35,cObsPred.36,cObsPred.37,cObsPred.38,cObsPred.39,cObsPred.40,cObsPred.41,cObsPred.42,cObsPred.43,cObsPred.44,cObsPred.45,cObsPred.46,cObsPred.47,cObsPred.48,cObsPred.49,cObsPred.50,cObsPred.51,cObsPred.52,cObsPred.53
# Adaptation terminated
# Step size = 0.188501
# Diagonal elements of inverse mass matrix:
# 0.000394847, 0.00555913, 0.0178145, 0.0047568, 0.0226729, 0.00994674
82.233,0.890662,0.188501,4,15,0,-80.1613,4.82431,8.18274,21.6735,73.3595,1.19853,0.0986425,4.82431,8.18274,21.6735,73.3595,1.19853,0,340.829,636.165,884.535,1419,1712.69,1843.68,1822.89,1629.27,1167.38,821.116,481.833,365.551,289.156,628.987,923.323,1170.71,1702.28,1993.14,2121.36,2095.2,1896.4,1424.6,1068.9,711.941,579.31,473.656,592.306,668.609,717.679,749.235,769.529,782.58,790.973,796.37,799.841,802.074,803.509,804.432,1142.69,1435.44,1681.27,2208.17,2494.39,2618.03,2582.81,2375.12,1886.03,1513.67,1125.16,963.214,805.026,643.8,516.252,340.829,636.165,884.535,1419,1712.69,1843.68,1822.89,1629.27,1167.38,821.116,481.833,365.551,289.156,628.987,923.323,1170.71,1702.28,1993.14,2121.36,2095.2,1896.4,1424.6,1068.9,711.941,579.31,473.656,592.306,668.609,717.679,749.235,769.529,782.58,790.973,796.37,799.841,802.074,803.509,804.432,1142.69,1435.44,1681.27,2208.17,2494.39,2618.03,2582.81,2375.12,1886.03,1513.67,1125.16,963.214,805.026,643.8,516.252,80000,0,0,72424.8,7386.94,118.295,65488.4,13787.9,454.227,59287.3,19170.9,966.481,43937.3,30754.7,3314.56,32561.5,37119.9,6416.86,24131,39958.9,9850.45,13253.1,39508.3,16701.8,7278.83,35311.9,22690.7,2195.57,25301.2,31058.2,662.267,17796.4,35358.7,60.2566,10443,37316.4,5.48247,7922.76,35896.8,0.0453858,6267.01,31371,72424.8,13632.3,31395.3,65488.4,20011.6,31636.4,59287.3,25373.4,32055.1,43937.3,36894.4,34122.6,32561.5,43198.2,36946.3,24131,45977.3,40103.3,13253.1,45410.3,46407.7,7278.84,41101.6,51858.4,2195.57,30875.9,59176.2,662.268,23166.8,62463.1,60.2567,15430.2,62499.6,5.48248,12555.6,59294,0.0453858,10265.8,51566.6,0.0453858,12837.3,64554.3,0.0453858,14491.1,72906.6,0.0453858,15554.6,78277.9,0.0453858,16238.5,81732.1,0.0453858,16678.4,83953.5,0.0453858,16961.2,85382.1,0.0453858,17143.1,86300.8,0.0453858,17260.1,86891.6,0.0453858,17335.3,87271.5,0.0453858,17383.7,87515.9,0.0453858,17414.8,87673,0.0453858,17434.8,87774.1,72424.8,24766.1,87626.5,65488.4,31111,87694,59287.3,36439,87941.8,43937.3,47858.6,89497.7,32561.5,54062.1,91814.4,24131,56741.7,94469.1,13253.1,55978.5,99782.6,7278.84,51477.2,104260,2195.57,40876.8,109685,662.268,32806.4,111148,60.2567,24386,107731,5.48248,20876.2,101317,0.0453858,17447.7,87839.1,3.4185e-05,13953.4,70466.7,2.57484e-08,11189,56509.9,302.078,598.297,956.95,1496.8,1910.43,1835.98,1531.79,1768.19,1289.43,796.068,492.356,364.321,297.663,671.014,957.001,1134.21,2022.16,1775.78,2082.11,1865.96,2008.71,1471.79,875.696,743.322,648.477,444.712,597.334,675.632,666.17,1025.99,851.674,725.513,796.825,917.208,775.56,735.139,748.243,965.891,1162.6,1295.35,1785,2169.99,2390.06,2328.75,2672.91,2212.56,1865.02,1613.85,1286.32,902.557,749.927,586.396,457.122
82.1279,0.909226,0.188501,4,31,0,-78.7821,4.91185,8.27634,20.4735,83.8852,1.23135,0.1134,4.91185,8.27634,20.4735,83.8852,1.23135,0,369.502,687.448,952.766,1513.59,1808.86,1927.83,1867.82,1635.55,1125.56,763.839,430.146,325.13,261.593,630.281,947.411,1211.93,1770.38,2063.34,2180.04,2115.63,1879.1,1360.92,991.387,642.938,524.17,435.761,552.467,630.668,683.068,718.18,741.708,757.473,768.037,775.115,779.858,783.037,785.166,786.593,1153.83,1469.49,1732.57,2286.7,2575.37,2687.82,2615,2370.21,1835.92,1450.8,1072.69,926.183,787.549,643.329,526.597,369.502,687.448,952.766,1513.59,1808.86,1927.83,1867.82,1635.55,1125.56,763.839,430.146,325.13,261.593,630.281,947.411,1211.93,1770.38,2063.34,2180.04,2115.63,1879.1,1360.92,991.387,642.938,524.17,435.761,552.467,630.668,683.068,718.18,741.708,757.473,768.037,775.115,779.858,783.037,785.166,786.593,1153.83,1469.49,1732.57,2286.7,2575.37,2687.82,2615,2370.21,1835.92,1450.8,1072.69,926.183,787.549,643.329,526.597,80000,0,0,72227.8,7564.99,129.901,65130.4,14074.5,497.917,58802.9,19506.4,1057.64,43222.2,30988.4,3609.19,31769.9,37033.7,6954.31,23352,39469.4,10627.8,12616.5,38240.8,17873.2,6816.44,33485.4,24109.7,1989.72,23044.1,32633.1,580.797,15638.5,36877.2,49.4871,8806.59,38686.2,4.21657,6656.54,37264.3,0.0306122,5355.72,32921.7,72227.8,12904,32961.8,65130.5,19396.8,33239.1,58802.9,24812.4,33709.4,43222.2,36245.9,35992.7,31769.9,42243.8,39071.2,23352,44633.1,42480.1,12616.6,43314.3,49201.6,6816.44,38471.7,54922,1989.72,27862.9,62437,580.798,20297.2,65704.4,49.4871,13163.2,65653.4,4.21657,10731.6,62491.1,0.0306122,8921.56,54996.9,0.0306122,11310.9,69788.8,0.0306122,12912,79700.5,0.0306122,13984.8,86342,0.0306122,14703.7,90792.3,0.0306122,15185.4,93774.3,0.0306122,15508.1,95772.5,0.0306122,15724.4,97111.4,0.0306122,15869.3,98008.6,0.0306122,15966.4,98609.8,0.0306122,16031.5,99012.6,0.0306122,16075.1,99282.5,0.0306122,16104.3,99463.4,72227.8,23622.9,99319.5,65130.5,30085.7,99411.1,58802.9,35471.7,99698.4,43222.2,46816.7,101433,31769.9,52726.8,103968,23352,55029,106838,12616.6,53538.2,112495,6816.44,48526.5,117168,1989.72,37587.7,122641,580.798,29702.9,123933,49.4871,21961.8,120123,4.21657,18962.2,113445,0.0306122,16123.9,99584.6,1.89363e-05,13171.2,81536.1,1.17138e-08,10781.3,66744.1,438.07,887.323,937.214,1651.66,1876.62,2348.45,1554.8,1278.18,1126.88,713.13,421.975,295.564,312.129,658.575,997.905,1200.56,1603.05,2262.99,2447.38,1902.15,2032.32,1443.15,822.732,536.403,615.635,382.214,728.657,512.091,637.609,780.284,736.494,896.892,766.931,750.718,705.373,853.534,698.81,787.912,1043.95,1550.63,1624.62,2159.48,2284.45,2711.09,2406.72,2385.67,1847.05,1453.83,1033.75,654.753,793.643,677.032,545.128
81.3383,0.997619,0.188501,4,15,0,-79.6913,4.85303,8.74295,20.0944,80.0855,1.11792,0.122922,4.85303,8.74295,20.0944,80.0855,1.11792,0,342.932,640.124,890.011,1426.97,1720.08,1848,1816.52,1610.6,1131.06,780.078,450.96,346.476,280.378,622.42,918.716,1167.73,1702.08,1992.64,2118.06,2081.69,1871.03,1382.36,1022.63,677.012,557.183,463.465,583.582,662.388,714.09,748.01,770.264,784.864,794.442,800.727,804.85,807.555,809.329,810.493,1150.99,1445.73,1693.21,2222.96,2508.98,2629.87,2584.6,2365.18,1859.46,1483.26,1106.4,957.438,811.257,656.054,531.38,342.932,640.124,890.011,1426.97,1720.08,1848,1816.52,1610.6,1131.06,780.078,450.96,346.476,280.378,622.42,918.716,1167.73,1702.08,1992.64,2118.06,2081.69,1871.03,1382.36,1022.63,677.012,557.183,463.465,583.582,662.388,714.09,748.01,770.264,784.864,794.442,800.727,804.85,807.555,809.329,810.493,1150.99,1445.73,1693.21,2222.96,2508.98,2629.87,2584.6,2365.18,1859.46,1483.26,1106.4,957.438,811.257,656.054,531.38,80000,0,0,72911,6891.03,127.178,66375.9,12862.9,488.394,60494.2,17884.2,1039.26,45744.3,28674,3564.28,34590.8,34564.1,6898.44,26156.8,37134.5,10584.1,14956.5,36502,17914.6,8552.2,32364.1,24280.7,2796.22,22728.1,33044.8,914.251,15675.2,37406.2,97.7357,9061.78,39161.5,10.4482,6962.23,37568.4,0.119403,5634.04,32932.4,72911.1,12507.2,32964.8,66376,18461.1,33230.2,60494.3,23464.8,33686.7,45744.4,34202.2,35928.7,34590.8,40041,38981.9,26156.8,42561.1,42388.7,14956.5,41830.4,49168.1,8552.21,37597.3,54991.8,2796.23,27777.7,62698,914.252,20549.2,66036.8,97.7358,13604.2,65850.5,10.4482,11196.3,62447.1,0.119403,9313.05,54550.2,0.119403,11726.7,68733,0.119403,13310.3,78037.9,0.119403,14349.2,84142.5,0.119403,15030.8,88147.6,0.119403,15478,90775.2,0.119403,15771.4,92499.1,0.119403,15963.9,93630.1,0.119403,16090.1,94372.2,0.119403,16173,94859,0.119403,16227.3,95178.3,0.119403,16263,95387.9,0.119403,16286.4,95525.4,72911.1,23128.5,95375.5,66376,29051.1,95457.1,60494.3,34024,95732.4,45744.4,44669.1,97432,34590.8,50416.4,99947.5,26156.8,52845.8,102821,14956.5,51936.1,108549,8552.21,47527,113339,2796.23,37364.7,119031,914.252,29805.3,120426,97.7358,22232.4,116550,10.4482,19239.2,109707,0.119403,16301.7,95615.6,0.000145875,13183,77461.2,1.78215e-07,10677.8,62742.3,370.253,652.775,862.313,1559,1746.06,2275.1,2446.96,1348.83,1078.97,720.16,477.713,322.508,326.229,576.368,883.516,1230.09,1834.63,2139.07,2089.09,2020.04,1445.97,1368.54,1090.86,735.2,509.098,397.937,505.595,783.459,797.692,747.689,743.459,808.193,721.263,756.804,807.133,860.941,806.253,916.835,1132.38,1731.34,1687.56,1903.55,2175.96,2740.04,2418.84,2482.66,1844.86,1456.76,1031.86,837.894,882.987,731.576,641.18
82.3617,0.833083,0.188501,4,15,0,-78.7173,4.95975,7.80145,20.8347,70.9629,1.14462,0.111188,4.95975,7.80145,20.8347,70.9629,1.14462,0,339.181,634.15,883.153,1423.27,1724.94,1863.72,1853.75,1663.6,1194.74,836.377,481.088,359.319,280.886,619.057,913.015,1161.03,1698.21,1997.03,2133.01,2117.63,1922.26,1443.42,1075.59,702.583,564.476,456.929,568.171,638.466,682.886,710.955,728.692,739.9,746.983,751.458,754.286,756.073,757.203,757.916,1094.58,1387.01,1633.52,2166.21,2460.57,2592.14,2568.06,2364.16,1868.73,1484.94,1081.79,915.751,758.367,601.057,477.766,339.181,634.15,883.153,1423.27,1724.94,1863.72,1853.75,1663.6,1194.74,836.377,481.088,359.319,280.886,619.057,913.015,1161.03,1698.21,1997.03,2133.01,2117.63,1922.26,1443.42,1075.59,702.583,564.476,456.929,568.171,638.466,682.886,710.955,728.692,739.9,746.983,751.458,754.286,756.073,757.203,757.916,1094.58,1387.01,1633.52,2166.21,2460.57,2592.14,2568.06,2364.16,1868.73,1484.94,1081.79,915.751,758.367,601.057,477.766,80000,0,0,72749.6,7066.73,112.179,66080.5,13212.3,431.24,60091.6,18400.2,918.587,45137.5,29653.4,3160.23,33904.8,35938.6,6135.59,25467.5,38830,9443.04,14369.2,38622.3,16081.4,8107.4,34660.7,21923.5,2580.94,24892.1,30145.3,821.623,17425.7,34394.9,83.2653,10023.3,36309,8.43831,7486.31,34854.1,0.086664,5852.18,30287.1,72749.6,12897.9,30304.9,66080.6,19022.4,30528.6,60091.7,24189.7,30922,45137.6,35381.8,32882,33904.9,41607.5,35577.8,25467.5,44440.7,38607.8,14369.2,44120.2,44697.9,8107.41,40049.8,50001,2580.94,30073.3,57172.7,821.624,22409.6,60409.8,83.2654,14638.1,60409.3,8.43832,11760.7,57179.8,0.0866641,9519.98,49445.4,0.0866641,11837.7,61551.7,0.0866641,13302.3,69201.8,0.0866641,14227.7,74035.9,0.0866641,14812.5,77090.6,0.0866641,15182.1,79020.9,0.0866641,15415.6,80240.7,0.0866641,15563.2,81011.5,0.0866641,15656.4,81498.5,0.0866641,15715.3,81806.3,0.0866641,15752.6,82000.8,0.0866641,15776.1,82123.7,0.0866641,15791,82201.3,72749.6,22805.2,82054.6,66080.6,28897.9,82112.3,60091.7,34033.9,82342.2,45137.6,45132.3,83812.8,33904.9,51265.2,86023.9,25467.5,54006.5,88573.8,14369.2,53504.7,93717.4,8107.41,49256.6,98091.8,2580.94,38934.5,103459,821.624,30938.3,104959,83.2654,22538.7,101677,8.43832,19079.4,95408.5,0.0866641,15800.4,82250.4,9.02014e-05,12522.8,65407.3,9.38831e-08,9954.11,51994.4,335.666,774.623,953.714,1497.2,1603.66,1721.74,1481.47,1662.82,1125.33,874.637,582.149,343.281,257.392,691.895,874.854,1158.74,1706.21,1921.56,2345.75,2157.03,1877.37,1697.09,1130.45,755.314,500.781,495.199,577.94,734.487,591.458,716.348,701.925,779.684,803.071,829.375,735.469,817.3,797.375,739.522,1271.19,1306.58,1465.97,2265.76,2702.35,2653.75,2251.74,2575.52,1656.33,1596.45,1370.87,962.712,866.344,482.934,433.808
81.4714,0.998051,0.188501,4,15,0,-79.1546,4.93279,8.98106,20.456,81.4421,1.1657,0.109279,4.93279,8.98106,20.456,81.4421,1.1657,0,350.524,652.911,905.917,1443.7,1730.2,1848.65,1798.87,1581.08,1096.47,752.336,437.938,339.932,276.681,626.332,927.842,1179.99,1715.21,1999.21,2115.19,2060.61,1838.13,1344.5,991.732,661.015,547.832,457.267,575.623,653.193,704.032,737.352,759.19,773.502,782.882,789.03,793.059,795.7,797.431,798.565,1146.69,1446.67,1697.3,2227.99,2507.49,2619.02,2555.64,2324.53,1814.07,1445.06,1083.51,941.603,799.309,646.179,523.115,350.524,652.911,905.917,1443.7,1730.2,1848.65,1798.87,1581.08,1096.47,752.336,437.938,339.932,276.681,626.332,927.842,1179.99,1715.21,1999.21,2115.19,2060.61,1838.13,1344.5,991.732,661.015,547.832,457.267,575.623,653.193,704.032,737.352,759.19,773.502,782.882,789.03,793.059,795.7,797.431,798.565,1146.69,1446.67,1697.3,2227.99,2507.49,2619.02,2555.64,2324.53,1814.07,1445.06,1083.51,941.603,799.309,646.179,523.115,80000,0,0,72622.4,7170.32,133.625,65848.4,13355.9,512.419,59775.9,18531.4,1088.88,44664.5,29532.3,3719.56,33373.3,35393,7172.06,24936.5,37815.9,10965.4,13922.2,36797.7,18443.5,7772.84,32342.5,24863.1,2422.84,22429.3,33555.8,755.213,15389.8,37770.2,73.3769,8958.44,39310,7.12933,6953.63,37630.1,0.0673021,5659.78,32949.9,72622.5,12812.2,32988.3,65848.5,18979.9,33270.9,59776,24137.8,33752.6,44664.5,35086.4,36099.2,33373.3,40895.8,39269.7,24936.5,43268.3,42783.2,13922.2,42151.7,49708.4,7772.85,37600.8,55583.8,2422.84,27503.1,63215.4,755.214,20286.8,66404.6,73.3769,13521.7,65997.9,7.12934,11206.4,62503.4,0.0673021,9353.85,54555.6,0.0673021,11774.9,68715.9,0.0673021,13361.7,77996.6,0.0673021,14401.7,84079.1,0.0673021,15083.3,88065.5,0.0673021,15530,90678.3,0.0673021,15822.7,92390.6,0.0673021,16014.6,93512.9,0.0673021,16140.4,94248.4,0.0673021,16222.8,94730.5,0.0673021,16276.8,95046.5,0.0673021,16312.2,95253.5,0.0673021,16335.4,95389.2,72622.5,23456.7,95245.4,65848.5,29593,95344.2,59776,34719.9,95644.8,44664.5,45575.7,97448.9,33373.3,51293.2,100082,24936.5,53574.6,103062,13922.2,52278.2,108936,7772.85,47550.5,113778,2422.84,37108.6,119396,755.214,29560,120641,73.3769,22164.4,116547,7.12934,19261.4,109615,0.0673021,16350.6,95478.2,6.17302e-05,13218.2,77308.7,5.66196e-08,10700.8,62586.6,362.496,626.985,819.868,1225.35,1483.91,1517.7,2035.52,1497.58,1196.36,712.747,416.215,277.046,312.738,686.95,1041.93,1327.2,1663.16,1968.23,1989.71,2370.54,1701.64,1231.53,971.002,620.985,484.981,449.846,615.802,754.129,811.519,721.632,727.909,947.212,728.86,728.839,644.52,788.769,845.856,912.716,905.413,1687.45,1874.23,2200.71,2730.63,2490.09,3271.35,2070.12,2122.96,1373.46,830.679,992.811,809.708,681.264,474.062
83.9536,0.993045,0.188501,4,15,0,-79.4692,4.85331,8.22908,19.2602,74.2703,1.12164,0.0978417,4.85331,8.22908,19.2602,74.2703,1.12164,0,358.881,669.715,930.908,1491.35,1796.28,1928.34,1892.5,1675.33,1172.86,806.476,463.751,354.751,284.814,642.743,952.622,1212.88,1770.54,2072.74,2202.13,2161.08,1938.85,1426.64,1050.95,690.701,565.468,466.482,582.905,657.514,705.327,735.968,755.605,768.189,776.253,781.421,784.733,786.856,788.216,789.088,1145.47,1453.78,1712.5,2265.56,2563.19,2688.05,2638.07,2407.08,1877.82,1485.71,1094.39,940.301,789.646,631.084,505.191,358.881,669.715,930.908,1491.35,1796.28,1928.34,1892.5,1675.33,1172.86,806.476,463.751,354.751,284.814,642.743,952.622,1212.88,1770.54,2072.74,2202.13,2161.08,1938.85,1426.64,1050.95,690.701,565.468,466.482,582.905,657.514,705.327,735.968,755.605,768.189,776.253,781.421,784.733,786.856,788.216,789.088,1145.47,1453.78,1712.5,2265.56,2563.19,2688.05,2638.07,2407.08,1877.82,1485.71,1094.39,940.301,789.646,631.084,505.191,80000,0,0,72888.5,6912.12,125.275,66334.7,12898.8,480.981,60438,17929.5,1023.27,45659.3,28723.8,3507.12,34494.5,34596.7,6783.46,26059.7,37140.1,10401.1,14873.4,36450,17583.1,8488.85,32267.2,23802.7,2765.21,22589.5,32319.5,900.757,15532.9,36504.6,95.5798,8931.94,38058.3,10.142,6832.57,36364.1,0.114194,5485.57,31627.1,72888.6,12379.4,31656.1,66334.8,18347.7,31914.7,60438.1,23360.3,32361.3,45659.4,34101,34558.3,34494.5,39921.5,37550,26059.7,42413.4,40885.3,14873.4,41622.8,47509.7,8488.86,37342.6,53181.2,2765.21,27477.3,60630.5,900.758,20241.4,63786,95.5799,13303,63390.3,10.142,10891,59885.6,0.114194,8984.54,51906.3,0.114194,11226.9,64902.2,0.114194,12663.8,73230.6,0.114194,13584.7,78567.9,0.114194,14174.9,81988.3,0.114194,14553.1,84180.3,0.114194,14795.5,85585,0.114194,14950.8,86485.2,0.114194,15050.3,87062.1,0.114194,15114.1,87431.8,0.114194,15155,87668.8,0.114194,15181.2,87820.6,0.114194,15198,87917.9,72888.6,22061.9,87774,66334.8,28000.1,87858.1,60438.1,32983.1,88132.7,45659.4,43635,89815.1,34494.5,49367.5,92297,26059.7,51772.3,95127.1,14873.4,50809.8,100755,8488.86,46360.8,105449,2765.21,36167.3,110995,900.758,28615,112317,95.5799,21078.1,108453,10.142,18110.4,101727,0.114194,15208.7,87980.3,0.000136433,12154.8,70444.5,1.63003e-07,9730.07,56393.2,345.483,696.344,899.326,1552.53,1797.33,2234.53,2128.43,1811.6,1084.85,673.182,446.902,424.869,277.508,724.168,888.25,1085.18,1853.64,2260.85,2617.88,2171.43,2164.83,1568.91,1043.55,700.129,604.48,435.546,592.809,780.492,738.744,699.443,787.517,751.432,689.763,683.958,827.807,722.982,931.527,711.177,1258.2,1399.78,1611.4,2260.68,3031.49,2437.42,2829.47,2217.27,2393.28,1596.25,980.244,914.129,791.162,541.078,433.085
