# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = TwoCptModel_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = TwoCptModel.data.R
# init = TwoCptModel.init.R
# random
#   seed = 3892749
# output
#   file = output_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,CL,Q,V1,V2,ka,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,cHat.1,cHat.2,cHat.3,cHat.4,cHat.5,cHat.6,cHat.7,cHat.8,cHat.9,cHat.10,cHat.11,cHat.12,cHat.13,cHat.14,cHat.15,cHat.16,cHat.17,cHat.18,cHat.19,cHat.20,cHat.21,cHat.22,cHat.23,cHat.24,cHat.25,cHat.26,cHat.27,cHat.28,cHat.29,cHat.30,cHat.31,cHat.32,cHat.33,cHat.34,cHat.35,cHat.36,cHat.37,cHat.38,cHat.39,cHat.40,cHat.41,cHat.42,cHat.43,cHat.44,cHat.45,cHat.46,cHat.47,cHat.48,cHat.49,cHat.50,cHat.51,cHat.52,cHat.53,cHat.54,cHatObs.1,cHatObs.2,cHatObs.3,cHatObs.4,cHatObs.5,cHatObs.6,cHatObs.7,cHatObs.8,cHatObs.9,cHatObs.10,cHatObs.11,cHatObs.12,cHatObs.13,cHatObs.14,cHatObs.15,cHatObs.16,cHatObs.17,cHatObs.18,cHatObs.19,cHatObs.20,cHatObs.21,cHatObs.22,cHatObs.23,cHatObs.24,cHatObs.25,cHatObs.26,cHatObs.27,cHatObs.28,cHatObs.29,cHatObs.30,cHatObs.31,cHatObs.32,cHatObs.33,cHatObs.34,cHatObs.35,cHatObs.36,cHatObs.37,cHatObs.38,cHatObs.39,cHatObs.40,cHatObs.41,cHatObs.42,cHatObs.43,cHatObs.44,cHatObs.45,cHatObs.46,cHatObs.47,cHatObs.48,cHatObs.49,cHatObs.50,cHatObs.51,cHatObs.52,cHatObs.53,x.1.1,x.2.1,x.3.1,x.1.2,x.2.2,x.3.2,x.1.3,x.2.3,x.3.3,x.1.4,x.2.4,x.3.4,x.1.5,x.2.5,x.3.5,x.1.6,x.2.6,x.3.6,x.1.7,x.2.7,x.3.7,x.1.8,x.2.8,x.3.8,x.1.9,x.2.9,x.3.9,x.1.10,x.2.10,x.3.10,x.1.11,x.2.11,x.3.11,x.1.12,x.2.12,x.3.12,x.1.13,x.2.13,x.3.13,x.1.14,x.2.14,x.3.14,x.1.15,x.2.15,x.3.15,x.1.16,x.2.16,x.3.16,x.1.17,x.2.17,x.3.17,x.1.18,x.2.18,x.3.18,x.1.19,x.2.19,x.3.19,x.1.20,x.2.20,x.3.20,x.1.21,x.2.21,x.3.21,x.1.22,x.2.22,x.3.22,x.1.23,x.2.23,x.3.23,x.1.24,x.2.24,x.3.24,x.1.25,x.2.25,x.3.25,x.1.26,x.2.26,x.3.26,x.1.27,x.2.27,x.3.27,x.1.28,x.2.28,x.3.28,x.1.29,x.2.29,x.3.29,x.1.30,x.2.30,x.3.30,x.1.31,x.2.31,x.3.31,x.1.32,x.2.32,x.3.32,x.1.33,x.2.33,x.3.33,x.1.34,x.2.34,x.3.34,x.1.35,x.2.35,x.3.35,x.1.36,x.2.36,x.3.36,x.1.37,x.2.37,x.3.37,x.1.38,x.2.38,x.3.38,x.1.39,x.2.39,x.3.39,x.1.40,x.2.40,x.3.40,x.1.41,x.2.41,x.3.41,x.1.42,x.2.42,x.3.42,x.1.43,x.2.43,x.3.43,x.1.44,x.2.44,x.3.44,x.1.45,x.2.45,x.3.45,x.1.46,x.2.46,x.3.46,x.1.47,x.2.47,x.3.47,x.1.48,x.2.48,x.3.48,x.1.49,x.2.49,x.3.49,x.1.50,x.2.50,x.3.50,x.1.51,x.2.51,x.3.51,x.1.52,x.2.52,x.3.52,x.1.53,x.2.53,x.3.53,x.1.54,x.2.54,x.3.54,cObsPred.1,cObsPred.2,cObsPred.3,cObsPred.4,cObsPred.5,cObsPred.6,cObsPred.7,cObsPred.8,cObsPred.9,cObsPred.10,cObsPred.11,cObsPred.12,cObsPred.13,cObsPred.14,cObsPred.15,cObsPred.16,cObsPred.17,cObsPred.18,cObsPred.19,cObsPred.20,cObsPred.21,cObsPred.22,cObsPred.23,cObsPred.24,cObsPred.25,cObsPred.26,cObsPred.27,cObsPred.28,cObsPred.29,cObsPred.30,cObsPred.31,cObsPred.32,cObsPred.33,cObsPred.34,cObsPred.35,cObsPred.36,cObsPred.37,cObsPred.38,cObsPred.39,cObsPred.40,cObsPred.41,cObsPred.42,cObsPred.43,cObsPred.44,cObsPred.45,cObsPred.46,cObsPred.47,cObsPred.48,cObsPred.49,cObsPred.50,cObsPred.51,cObsPred.52,cObsPred.53
# Adaptation terminated
# Step size = 0.198985
# Diagonal elements of inverse mass matrix:
# 0.000454756, 0.00656125, 0.0148886, 0.00514046, 0.0198548, 0.0118338
82.8362,0.975761,0.198985,4,15,0,-81.3886,4.72495,7.45394,20.2386,71.3648,1.12385,0.101231,4.72495,7.45394,20.2386,71.3648,1.12385,0,343.278,642.649,896.131,1449.62,1763.23,1911.68,1913.57,1726.68,1249.32,876.243,498.887,367.939,286.329,628.6,926.963,1179.46,1730.03,2040.82,2186.51,2183.05,1991.03,1503.88,1121.54,726.825,579.837,469.5,587.839,664.292,713.686,745.596,766.213,779.532,788.137,793.696,797.288,799.608,801.107,802.076,1142.79,1439.58,1690.53,2236.48,2542.67,2683.82,2671.39,2470.56,1966.27,1567.39,1141.37,965.27,802.702,642.986,516.777,343.278,642.649,896.131,1449.62,1763.23,1911.68,1913.57,1726.68,1249.32,876.243,498.887,367.939,286.329,628.6,926.963,1179.46,1730.03,2040.82,2186.51,2183.05,1991.03,1503.88,1121.54,726.825,579.837,469.5,587.839,664.292,713.686,745.596,766.213,779.532,788.137,793.696,797.288,799.608,801.107,802.076,1142.79,1439.58,1690.53,2236.48,2542.67,2683.82,2671.39,2470.56,1966.27,1567.39,1141.37,965.27,802.702,642.986,516.777,80000,0,0,72875.1,6947.49,108.446,66310.2,13006.3,417.314,60404.6,18136.5,889.808,45608.9,29338.3,3070.16,34437.3,35685.5,5977.45,26002.2,38689.9,9224.43,14824.1,38728.1,15788.4,8451.41,34945.7,21623,2746.94,25284.5,29967.1,892.829,17734,34407.8,94.3208,10096.8,36650.9,9.9643,7446.59,35394.1,0.111205,5794.91,31021.9,72875.2,12722,31038.7,66310.3,18760.5,31254.9,60404.7,23870.7,31636,45609,35013.5,33542.4,34437.4,41303.4,36177.4,26002.2,44252,39154,14824.2,44182.1,45183.3,8451.42,40295.8,50491.2,2746.94,30436.5,57807.6,892.83,22698.4,61255.3,94.3209,14710,61614.8,9.96431,11735.1,58605.3,0.111205,9502.05,51087.8,0.111205,11897.1,64051.5,0.111205,13444.4,72426.8,0.111205,14444,77837.7,0.111205,15089.9,81333.5,0.111205,15507.1,83592,0.111205,15776.7,85051,0.111205,15950.8,85993.7,0.111205,16063.3,86602.7,0.111205,16136,86996.2,0.111205,16183,87250.4,0.111205,16213.3,87414.6,0.111205,16232.9,87520.7,72875.2,23128.5,87367,66310.3,29135.2,87411.2,60404.7,34214.1,87622.9,45609,45263.3,89022,34437.4,51460.3,91154.4,26002.2,54316.8,93632.9,14824.2,54065.4,98679.5,8451.42,50000.8,103022,2746.94,39794.6,108461,892.83,31721.8,110098,94.3209,23099.8,107027,9.96431,19535.8,100829,0.111205,16245.6,87589.2,0.000131112,13013.2,70431.4,1.54583e-07,10458.9,56611.6,336.289,621.686,755.703,1693.49,1922.13,1908.79,1945.32,1690.18,1444.5,842.688,429.314,405.826,247.93,665.767,889.549,1122.21,1598.63,2187.84,2103.13,2083.78,2005.56,1595.33,1190.99,647.225,492.575,467.971,608.65,714.563,641.08,897.895,925.519,828.581,630.039,845.72,632.564,686.88,809.945,858.291,1329.38,1373.48,1776.72,2099.35,2958.61,2874.09,2812.86,2809.01,1851.3,1582.22,1073.82,1027.92,856.722,662.065,547.804
81.6181,0.977998,0.198985,4,15,0,-77.9855,4.87716,7.37962,25.2538,79.1927,1.60966,0.118369,4.87716,7.37962,25.2538,79.1927,1.60966,0,388.14,716.04,984.623,1532.15,1801.4,1896.81,1815.18,1591.66,1130.33,802.543,471.544,345.525,261.736,648.907,975.843,1243.48,1788.25,2054.85,2147.7,2061.18,1833.04,1363.09,1027.29,681.529,541.966,433.833,549.666,627.634,680.114,715.438,739.214,755.219,765.991,773.242,778.122,781.408,783.619,785.107,1170.85,1496.34,1762.56,2303.06,2565.43,2654.08,2559.28,2322.99,1837.14,1485.96,1110.91,943.932,786.109,640.189,525.048,388.14,716.04,984.623,1532.15,1801.4,1896.81,1815.18,1591.66,1130.33,802.543,471.544,345.525,261.736,648.907,975.843,1243.48,1788.25,2054.85,2147.7,2061.18,1833.04,1363.09,1027.29,681.529,541.966,433.833,549.666,627.634,680.114,715.438,739.214,755.219,765.991,773.242,778.122,781.408,783.619,785.107,1170.85,1496.34,1762.56,2303.06,2565.43,2654.08,2559.28,2322.99,1837.14,1485.96,1110.91,943.932,786.109,640.189,525.048,80000,0,0,69995.1,9802.01,122.047,61142.9,18082.8,465.245,53496.2,24865.5,983.19,35773.1,38692.6,3309.77,23921.6,45492.3,6307.13,15996.4,47901.7,9554.65,7153.03,45840.1,15883.6,3198.58,40195.6,21316.5,639.573,28545.3,28927.4,127.886,20267.3,33061.6,5.11317,11908.3,35590.2,0.204436,8725.84,34885.6,0.000326806,6609.83,31243.3,69995.1,16387.4,31284,61142.9,24643.8,31545,53496.2,31402.8,31981.7,35773.1,45160.2,34064,23921.6,51892.9,36817.8,15996.4,54237.6,39822.5,7153.03,52052.6,45669.1,3198.58,46291.4,50624.4,639.573,34423.3,57297.2,127.886,25943,60518.3,5.11317,17211.2,61300.6,0.204436,13686.7,58956.6,0.000326806,10956,52339.7,0.000326806,13881.2,66539.8,0.000326806,15850.2,76097.9,0.000326806,17175.5,82531.4,0.000326806,18067.5,86861.8,0.000326806,18668,89776.7,0.000326806,19072.2,91738.6,0.000326806,19344.2,93059.2,0.000326806,19527.3,93948.1,0.000326806,19650.6,94546.4,0.000326806,19733.5,94949.1,0.000326806,19789.4,95220.2,0.000326806,19827,95402.7,69995.1,29568.4,95268,61142.9,37788.3,95351.9,53496.2,44511.3,95614.1,35773.1,58161.1,97173.8,23921.6,64787,99409.3,15996.4,67025.7,101900,7153.03,64631.5,106731,3198.58,58664.5,110687,639.573,46394.9,115411,127.886,37526.1,116746,5.11317,28054.7,113939,0.204436,23837.9,108234,0.000326806,19852.3,95525.5,2.08877e-08,16167.2,78449.3,1.33503e-12,13259.5,64364.8,394.41,866.51,1293.11,1649.29,1502.75,2334.84,1903.82,1469.98,982.741,780.689,427.884,425.084,310.119,625.881,976.015,1392.01,1915.72,1815.58,1807.81,2184.04,1512.76,1425.66,1027.83,767.837,620.602,459.073,549.067,550.558,642.604,742.303,829.923,803.198,735.015,688.566,807.694,721.525,717.105,809.539,1099.91,1435.47,1789.82,2365.32,2637.59,2733.05,3030.12,2139.07,1901.9,1293.93,1088.14,932.878,776.773,540.555,567.031
81.2583,1,0.198985,4,15,0,-79.3999,4.84198,6.94136,27.3128,77.587,1.63632,0.110914,4.84198,6.94136,27.3128,77.587,1.63632,0,365.254,674.692,929.039,1452.46,1717.1,1819.29,1765.82,1572.91,1153.16,840.136,502.177,361.485,263.396,627.555,935.904,1189.19,1709.52,1971.22,2070.58,2011.78,1813.91,1385.07,1063.78,710.934,556.804,434.769,550.816,629.411,682.642,718.694,743.111,759.648,770.848,778.434,783.572,787.051,789.408,791.004,1153.74,1460.66,1712.53,2228.63,2486.12,2581.32,2514.29,2308.33,1863.68,1527.1,1145.12,963.681,792.085,643.828,529.421,365.254,674.692,929.039,1452.46,1717.1,1819.29,1765.82,1572.91,1153.16,840.136,502.177,361.485,263.396,627.555,935.904,1189.19,1709.52,1971.22,2070.58,2011.78,1813.91,1385.07,1063.78,710.934,556.804,434.769,550.816,629.411,682.642,718.694,743.111,759.648,770.848,778.434,783.572,787.051,789.408,791.004,1153.74,1460.66,1712.53,2228.63,2486.12,2581.32,2514.29,2308.33,1863.68,1527.1,1145.12,963.681,792.085,643.828,529.421,80000,0,0,69840.4,9976.1,107.997,60871.3,18427.7,412.07,53140.9,25374.7,871.65,35299.5,39670.6,2943.35,23448.1,46898.8,5627.75,15575.7,49689.9,8555.99,6872.65,48229.5,14332,3032.51,42960.7,19386.6,590.417,31495.9,26720.4,114.952,22946.5,30968.6,4.35741,13715.9,34049.4,0.165174,9873.16,33809.4,0.000237337,7194.08,30631.7,69840.4,17140.3,30663.9,60871.3,25562.2,30891.3,53140.9,32480.2,31275,35299.5,46691.9,33118,23448.1,53839.4,35573.6,15575.7,56553.3,38273.1,6872.65,54947.5,43592.7,3032.51,49543,48193.6,590.417,37830.1,54631.1,114.952,29054.9,58002.4,4.35741,19417.6,59397.6,0.165174,15207.9,57569,0.000237337,11874.8,51499.8,0.000237337,15044.3,65633.7,0.000237337,17191,75206.2,0.000237337,18644.9,81689.4,0.000237337,19629.6,86080.3,0.000237337,20296.5,89054.2,0.000237337,20748.1,91068.3,0.000237337,21054,92432.4,0.000237337,21261.2,93356.3,0.000237337,21401.5,93982,0.000237337,21496.6,94405.8,0.000237337,21560.9,94692.8,0.000237337,21604.5,94887.2,69840.4,31511.9,94746.5,60871.3,39894.6,94799.3,53140.9,46774.1,95011.1,35299.5,60870.1,96338.8,23448.1,67902.9,98283.2,15575.7,70503.1,100476,6872.65,68672.5,104794,3032.51,63046.9,108409,590.417,50902.3,112923,114.952,41709.4,114431,4.35741,31276.3,112278,0.165174,26320.8,107124,0.000237337,21634.1,95018.9,1.29272e-08,17584.8,78337.2,7.04112e-13,14460,64476.4,308.032,735.813,644.99,1777.8,1786.59,1748.05,1878.41,1495.37,1248.78,863.215,398.49,327.439,328.513,462.262,913.922,1189.8,1856.52,1724.27,1926.62,2299.71,1805.26,1300.98,1077.94,842.644,537.215,548.064,519.37,592.712,695.689,753.327,785.4,670.252,676.482,946.104,673.736,883.003,781.192,826.158,1294.72,1308.11,1639.69,2312.16,2258.82,2327.84,2294.36,2241.93,1728.64,1486,1200.77,823.301,811.664,631.877,535.656
83.2768,0.99625,0.198985,4,15,0,-78.7443,4.76233,7.35157,21.8296,83.6242,1.3248,0.103672,4.76233,7.35157,21.8296,83.6242,1.3248,0,372.806,693.597,961.401,1528.89,1830.85,1956.99,1911.72,1691.8,1191.76,822.491,457.501,330.65,255.121,627.076,947.018,1213.99,1779.06,2078.66,2202.53,2152.9,1928.83,1420.97,1044.35,665.65,526.077,427.482,545.779,626.971,682.697,720.944,747.195,765.212,777.578,786.065,791.89,795.888,798.632,800.516,1171.05,1489.56,1755.13,2315.96,2611.38,2731.08,2673.23,2441.07,1917.39,1525.44,1117.48,950.439,801.808,661.055,547.575,372.806,693.597,961.401,1528.89,1830.85,1956.99,1911.72,1691.8,1191.76,822.491,457.501,330.65,255.121,627.076,947.018,1213.99,1779.06,2078.66,2202.53,2152.9,1928.83,1420.97,1044.35,665.65,526.077,427.482,545.779,626.971,682.697,720.944,747.195,765.212,777.578,786.065,791.89,795.888,798.632,800.516,1171.05,1489.56,1755.13,2315.96,2611.38,2731.08,2673.23,2441.07,1917.39,1525.44,1117.48,950.439,801.808,661.055,547.575,80000,0,0,71669.7,8138.21,116.456,64121.8,15141,446.51,57444.9,20987,948.768,41249,33375.2,3242.2,29619.3,39966.7,6258.99,21268.5,42720.3,9587.47,10966.3,41732.1,16215.6,5654.34,36931.4,22020.8,1503.24,26015.7,30248.4,399.645,17954.7,34679.2,28.2466,9987.08,37222.1,1.99645,7217.96,36365.6,0.0099734,5569.19,32592.1,71669.7,13688.8,32626.4,64121.8,20673.1,32873.5,57444.9,26501,33293.8,41249,38836.1,35341.1,29619.3,45376.4,38112.7,21268.5,48080.3,41197.1,10966.3,46997,47341,5654.34,42105.8,52667.4,1503.24,31019.3,59955.7,399.645,22797.8,63473.1,28.2466,14530.9,64268.3,1.99645,11484.1,61768.3,0.0099734,9331.77,54999.9,0.0099734,11914.2,70379.4,0.0099734,13686.6,80935.1,0.0099734,14903,88179.9,0.0099734,15738,93152.3,0.0099734,16311,96565.1,0.0099734,16704.3,98907.4,0.0099734,16974.2,100515,0.0099734,17159.5,101618,0.0099734,17286.7,102376,0.0099734,17374,102896,0.0099734,17433.9,103252,0.0099734,17475,103497,71669.7,25563.7,103347,64121.8,32516.6,103408,57444.9,38313.8,103645,41249,50556.6,105143,29619.3,57005.4,107369,21268.5,59618.4,109913,10966.3,58355.6,114987,5654.34,53287.6,119261,1503.24,41855.9,124493,399.645,33299.8,126018,28.2466,24394.3,123010,1.99645,20747.7,116939,0.0099734,17503.2,103665,3.52144e-06,14430.6,85927.4,1.24336e-09,11953.4,71188.4,328.094,625.3,867.879,1430.57,1592.85,1770.9,1657.24,1787.83,1149.32,915.761,413.935,342.482,293.74,616.294,746.775,1270.24,1857.75,2136.45,2138.56,2123.16,1851.1,1514.29,1067.19,589.398,516.712,422.311,622.021,698.538,639.109,752.134,881.09,926.927,677.08,757.619,780.303,828.273,721.205,731.041,1092.58,1452.33,1480.52,2063.06,2880.15,3132.58,2686.63,2114.91,1920.83,1744.22,991.587,865.557,693.706,789.504,565.178
83.3967,0.900144,0.198985,4,15,0,-79.2984,4.82891,7.71406,20.21,68.5645,1.17965,0.100189,4.82891,7.71406,20.21,68.5645,1.17965,0,359.723,671.361,933.352,1496.52,1804.9,1941.08,1914.36,1705.48,1212.15,845.231,489.973,370.242,291.507,650.187,960.779,1221.75,1781.88,2087.3,2220.58,2188.22,1973.88,1470.13,1093.29,719.47,582.62,473.412,587.726,659.563,704.708,733.078,750.907,762.11,769.151,773.576,776.356,778.104,779.202,779.892,1137.01,1446.02,1705.43,2260.9,2561.71,2690.42,2649.05,2425.88,1904.96,1511.62,1106.63,940.934,780.326,616.999,489.091,359.723,671.361,933.352,1496.52,1804.9,1941.08,1914.36,1705.48,1212.15,845.231,489.973,370.242,291.507,650.187,960.779,1221.75,1781.88,2087.3,2220.58,2188.22,1973.88,1470.13,1093.29,719.47,582.62,473.412,587.726,659.563,704.708,733.078,750.907,762.11,769.151,773.576,776.356,778.104,779.202,779.892,1137.01,1446.02,1705.43,2260.9,2561.71,2690.42,2649.05,2425.88,1904.96,1511.62,1106.63,940.934,780.326,616.999,489.091,80000,0,0,72538.4,7270,117.702,65695.2,13568.2,451.908,59567.8,18863.1,961.448,44354,30244.8,3296.08,33025.8,36477.1,6378.12,24590.9,39229.4,9785.65,13633.8,38689.3,16570.2,7558.93,34467.7,22477.8,2323.52,24497.6,30661.3,714.218,17082.1,34782.4,67.4841,9902.37,36468.2,6.37635,7482.61,34892.6,0.0569263,5891.37,30230.5,72538.4,13140.3,30252.6,65695.2,19417.4,30490.4,59567.8,24691.5,30904.8,44354,36011.9,32954.5,33025.9,42184.3,35753.8,24591,44877.9,38880.8,13633.8,44223.9,45111.4,7558.94,39892.2,50474.4,2323.52,29711.3,57598,714.219,22095.5,60697.9,67.4842,14540.5,60454,6.37635,11774.8,57091.7,0.0569264,9567.67,49245.2,0.0569264,11878,61194.5,0.0569264,13329.8,68703.8,0.0569264,14242.2,73422.8,0.0569264,14815.5,76388.4,0.0569264,15175.8,78252,0.0569264,15402.3,79423.2,0.0569264,15544.6,80159.2,0.0569264,15634,80621.7,0.0569264,15690.2,80912.3,0.0569264,15725.5,81095,0.0569264,15747.7,81209.8,0.0569264,15761.6,81281.9,72538.4,22978.9,81140.3,65695.2,29224,81212.8,59567.8,34466.7,81464.6,44354,45692.9,83027.3,33025.9,51772.1,85344.3,24591,54373.4,87993.7,13633.8,53537.3,93282.8,7558.94,49027.1,97722.4,2323.52,38499.4,103052,714.219,30549.9,104426,67.4842,22365,100924,6.37635,19016.3,94546.8,0.0569264,15770.4,81327.2,4.80203e-05,12469.6,64491.9,4.05076e-08,9884.54,51125.2,401.85,604.444,918.569,1573.14,1864.79,2218.28,1548.95,1740.97,1297.14,765.427,523.255,382.92,291.365,623.51,949.648,1118.6,1746.81,1825.07,2513.08,2285.33,1815.77,1636.01,1183.2,749.636,494.2,455.778,564.869,552.731,620.048,830.221,752.715,842.77,702.303,972.509,879.613,737.433,791.609,835.57,1167.9,1706.33,1932.62,2219.15,2465.1,2358.88,2807.75,2770.33,2012.33,1873.96,1110.88,1056.55,743.589,718.116,471.343
82.8571,0.997211,0.198985,5,31,0,-81.0833,4.79396,7.51766,24.3254,80.7936,1.46696,0.116809,4.79396,7.51766,24.3254,80.7936,1.46696,0,369.058,684.134,945.064,1489.28,1770.24,1881.34,1825.51,1614.13,1151.15,813.203,472.164,345.764,264.314,632.435,946.575,1206.59,1748.14,2026.51,2135.12,2074.53,1858.63,1387.19,1041.34,685.671,545.785,440.012,559.177,640.003,694.823,732.007,757.226,774.332,785.934,793.804,799.141,802.761,805.217,806.882,1173.55,1486.22,1744.79,2282,2556.07,2660.42,2591.39,2367.2,1879.57,1518.05,1132.51,964.625,808.012,661.274,544.464,369.058,684.134,945.064,1489.28,1770.24,1881.34,1825.51,1614.13,1151.15,813.203,472.164,345.764,264.314,632.435,946.575,1206.59,1748.14,2026.51,2135.12,2074.53,1858.63,1387.19,1041.34,685.671,545.785,440.012,559.177,640.003,694.823,732.007,757.226,774.332,785.934,793.804,799.141,802.761,805.217,806.882,1173.55,1486.22,1744.79,2282,2556.07,2660.42,2591.39,2367.2,1879.57,1518.05,1132.51,964.625,808.012,661.274,544.464,80000,0,0,70829,8977.49,118.022,62617.5,16641.8,451.349,55439.2,22989.1,956.725,38418.8,36227.4,3247.77,26623.8,43061.7,6234.24,18450,45764.4,9503.81,8860.35,44406.2,15957.3,4255.05,39264.3,21567.6,981.323,28002.2,29505.3,226.318,19781.5,33829.8,12.0374,11485.6,36446.8,0.640248,8410.84,35706.6,0.00181125,6429.54,31999.2,70829,15384.2,32035.1,62617.5,23025.8,32285.3,55439.2,29350.9,32708.6,38418.8,42524.2,34752.9,26623.8,49295.7,37493.4,18450,51937.7,40518,8860.35,50463.7,46484.8,4255.05,45211.9,51613.5,981.323,33744,58605.6,226.318,25331,62009.8,12.0374,16679.2,62866.5,0.640248,13276.4,60472.7,0.00181125,10703.5,53759.9,0.00181125,13602.2,68519.4,0.00181125,15568.3,78530.2,0.00181125,16901.9,85320.2,0.00181125,17806.4,89925.6,0.00181125,18419.8,93049.2,0.00181125,18835.9,95167.9,0.00181125,19118.2,96604.9,0.00181125,19309.6,97579.6,0.00181125,19439.4,98240.7,0.00181125,19527.5,98689.1,0.00181125,19587.2,98993.2,0.00181125,19627.7,99199.5,70829,28547,99055.1,62617.5,36152.9,99123.4,55439.2,42442.7,99367.5,38418.8,55510.6,100875,26623.8,62177.5,103083,18450,64715.7,105579,8860.35,63036.6,110502,4255.05,57583.1,114603,981.323,45721.3,119590,226.318,36927.1,121053,12.0374,27548.7,118211,0.640248,23464.9,112349,0.00181125,19655.2,99339.4,2.72534e-07,16085.7,81879,4.10077e-11,13244.3,67435.1,486.392,765.658,916.596,1843.44,1497.78,1946.8,1874.28,1688.83,1146.59,773.04,501.079,368.302,239.884,803.995,1061.46,994.365,1839.85,2440.1,1863.77,2053.61,1862.96,1159.83,1251.13,593.229,625.707,442.365,514.38,757.47,851.201,666.531,701.959,741.234,614.641,726.914,746.314,952.15,825.79,961.376,1123.26,1530.64,1624.06,2098.3,2587.49,2910.4,2513.57,2520.94,1955.92,1433.59,1307.48,840.25,824.983,831.97,575.986
